Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Der Wurf von Fabian Wiede (Füchse Berlin) landet hinter dem Tor.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,1,0,0
60:00:00,,Der Schiedsrichter zeigt Mads Mensah Larsen (SG Flensburg-Handewitt) die Rote Karte.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,1,0,1
60:00:00,,Mads Mensah Larsen geht den Gegner zu stark an. SG Flensburg-Handewitt muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,1,0,1
59:59:00,,Siebter Spieler eingewechselt Füchse Berlin,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,1,0,1,0,0
59:53:00,31:31:00,Der 7-Meter wurde von Emil Jakobsen (SG Flensburg-Handewitt) erfolgreich verwandelt.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,1,0,0
59:46:00,,"Nach einem harten Foul hat Mijajlo Marsenic (Füchse Berlin) nun zwei Minuten Zeit, um sich auszuruhen.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,1,1,0
59:28:00,,Auszeit SG Flensburg-Handewitt,SG Flensburg-Handewitt,Füchse Berlin,1,0,0,0,0,0,0,0
59:23:00,30:31:00,Tor! Mathias Gidsel (Füchse Berlin) netzt ein zum neuen Spielstand von 30:31.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
58:49:00,,Zeitstrafe vorbei SG Flensburg-Handewitt,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,0,0,0
58:35:00,30:30:00,Jim Gottfridsson (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 30:30.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,0,0,0
57:17:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SG Flensburg-Handewitt,Füchse Berlin,0,0,1,0,1,0,0,0
57:14:00,29:30:00,"Neuer Spielstand in Flensburg, 29:30 durch den Treffer von Mijajlo Marsenic für Füchse Berlin.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,0,0,0
56:51:00,,Fabian Wiede (Füchse Berlin) trifft nur den Pfosten.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,0,0,0
56:37:00,,Es gibt eine 2 Minuten Strafe für Magnus Abelvik Rød (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,0,0,1
56:00:00,,"Torwurf von Johannes Golla (SG Flensburg-Handewitt), aber der Ball trifft nur die Latte.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
54:38:00,29:29:00,Tor (RM/fern)! Fabian Wiede (Füchse Berlin) netzt ein zum neuen Spielstand von 29:29.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
54:22:00,,"Der Trainer von Füchse Berlin, Jaron Siewert stellt nun Victor Kireev zwischen die Pfosten.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
54:06:00,,Gøran Søgard Johannessen (SG Flensburg-Handewitt) scheitert am Torwart Dejan Milosavljev (Füchse Berlin).,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
52:23:00,,Auszeit Füchse Berlin,SG Flensburg-Handewitt,Füchse Berlin,0,1,0,0,0,0,0,0
52:13:00,29:28:00,Johan Hansen (SG Flensburg-Handewitt) trifft von (RA). Neuer Spielstand in Campushalle: 29:28.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
52:00:00,,"Parade des Torwarts von SG Flensburg-Handewitt, Benjamin Buric.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
51:33:00,28:28:00,Johan Hansen (SG Flensburg-Handewitt) trifft zum Spielstand von 28:28 in Campushalle.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
50:34:00,,Fehlwurf von Lasse Kjær Møller (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
50:28:00,27:28:00,Mathias Gidsel (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 27:28.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
49:50:00,27:27:00,"Neuer Spielstand in Flensburg, 27:27 durch den Treffer von Johannes Golla für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
49:42:00,26:27:00,"Neuer Spielstand in Flensburg, 26:27 durch den Treffer RL/fern von Mads Mensah Larsen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
49:30:00,,Benjamin Buric (SG Flensburg-Handewitt) hält den Wurf von Jacob Holm.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
48:34:00,,"Johan Hansen (RA) wirft, jedoch neben das Tor.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
47:11:00,,"Wurf von Lasse Kjær Møller (SG Flensburg-Handewitt), aber der Ball landet nur am Pfosten.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
47:03:00,25:27:00,Tor! Mathias Gidsel (Füchse Berlin) netzt ein zum neuen Spielstand von 25:27.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
46:33:00,,Dejan Milosavljev (Füchse Berlin) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
46:25:00,25:26:00,Franz Semper (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 25:26.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
46:13:00,24:26:00,Tor! Jacob Holm (Füchse Berlin) netzt ein zum neuen Spielstand von 24:26.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
45:34:00,,Auszeit Füchse Berlin,SG Flensburg-Handewitt,Füchse Berlin,0,1,0,0,0,0,0,0
45:23:00,24:25:00,Franz Semper (SG Flensburg-Handewitt) trifft zum Spielstand von 24:25 in Campushalle.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
44:52:00,,Fehlwurf von Mathias Gidsel (Füchse Berlin).,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,0,0,0
44:43:00,,Zeitstrafe vorbei Füchse Berlin,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,1,0,0
43:56:00,23:25,"Neuer Spielstand in Flensburg, 23:25 durch den Treffer 6M von Jim Gottfridsson für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,1,0,0
43:36:00,,Mathias Gidsel von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,1,0,0
43:04:00,,Überragende Parade des Torwarts Benjamin Buric (SG Flensburg-Handewitt)! Jacob Holm kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,0,1,0,0
43:01:00,,Zeitstrafe vorbei SG Flensburg-Handewitt,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,1,0,0
42:57:00,,Siebter Spieler eingewechselt Füchse Berlin,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,1,1,1,0,0
42:53:00,22:25,Emil Jakobsen (SG Flensburg-Handewitt) trifft von der 7-Meter Linie.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,1,0,0
42:45:00,,Marko Kopljar (Füchse Berlin) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,1,1,0
42:26:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SG Flensburg-Handewitt,Füchse Berlin,0,0,1,0,1,0,0,0
42:16:00,21:25,Mathias Gidsel (Füchse Berlin) trifft von (RM/fern). Neuer Spielstand in Campushalle: 21:25.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,0,0,0
41:58:00,,Füchse Berlin wechselt den Torwart. Victor Kireev kommt für Dejan Milosavljev.,SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,0,0,0
41:43:00,21:24,"Neuer Spielstand in Flensburg, 21:24 durch den Treffer von Jim Gottfridsson für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,Füchse Berlin,0,0,0,0,1,0,0,0
