,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:53:00,,Der Wurf von Patrick Mattausch (GWD Minden) landet hinter dem Tor.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
2,59:43:00,,Fehlwurf von Lasse Kjær Møller (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
3,58:55:00,36:23:00,Teitur Örn Einarsson (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 36:23.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
4,58:23:00,35:23:00,Tor! Mathias Bitsch (GWD Minden) netzt ein zum neuen Spielstand von 35:23.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"5,58:07:00,,""Lasse Kjær Møller (6M) wirft, jedoch neben das Tor."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
6,57:00:00,35:22:00,Lasse Kjær Møller (SG Flensburg-Handewitt) trifft von (RM/fern). Neuer Spielstand in Flens-Arena: 35:22.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
7,56:46:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
8,56:01:00,34:22:00,Anton Lindskog (SG Flensburg-Handewitt) überwindet den Torwart von (6M) zum neuen Spielstand von 34:22.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
9,55:19:00,33:22:00,Magnus Holpert (GWD Minden) trifft zum Spielstand von 33:22 in Flens-Arena.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
10,54:33:00,,Auszeit GWD Minden,SG Flensburg-Handewitt,GWD Minden,0,1,0,0,0,0,0,0
11,54:27:00,33:21:00,Tor (RM/fern)! Lasse Kjær Møller (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 33:21.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
12,53:48:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"13,53:14:00,,""Der Torwart von GWD Minden, Malte Semisch hält den Wurf von Lasse Kjær Møller."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
"14,52:47:00,32:21:00,""Neuer Spielstand in Flensburg, 32:21 durch den Treffer 6M von Justus Nicolas Richtzenhain für GWD Minden."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
15,52:25:00,,Zeitstrafe vorbei GWD Minden,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0
16,52:21:00,,Siebter Spieler eingewechselt GWD Minden,SG Flensburg-Handewitt,GWD Minden,0,0,0,1,0,1,0,0
"17,52:14:00,32:20:00,""Neuer Spielstand in Flensburg, 32:20 durch den Treffer von Lasse Kjær Møller für SG Flensburg-Handewitt."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0"
18,51:33:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Magnus Holpert.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0
19,50:55:00,,Siebter Spieler eingewechselt GWD Minden,SG Flensburg-Handewitt,GWD Minden,0,0,0,1,0,1,0,0
20,50:41:00,31:20:00,Tor (LA)! August Baskar Pedersen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 31:20.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0
"21,50:23:00,,""Nach einem harten Foul hat Marko Vignjevic (GWD Minden) nun zwei Minuten Zeit, um sich auszuruhen."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,1,0"
22,49:39:00,30:20:00,Max Staar (GWD Minden) überwindet den Torwart zum neuen Spielstand von 30:20.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"23,49:03:00,30:19:00,""Neuer Spielstand in Flensburg, 30:19 durch den Treffer von Franz Semper für SG Flensburg-Handewitt."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
24,48:24:00,,Fehlwurf von Marko Vignjevic (GWD Minden).,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
25,47:07:00,29:19:00,Jim Gottfridsson (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in Flens-Arena: 29:19.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
26,46:53:00,,Parade von Torwart Kevin Møller (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
27,46:25:00,28:19:00,Tor! Emil Jakobsen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 28:19.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"28,45:48:00,27:19:00,""Neuer Spielstand in Flensburg, 27:19 durch den Treffer 6M von Marko Vignjevic für GWD Minden."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
29,45:28:00,,Auszeit GWD Minden,SG Flensburg-Handewitt,GWD Minden,0,1,0,0,0,0,0,0
30,45:23:00,27:18:00,Emil Jakobsen (SG Flensburg-Handewitt) überwindet den Torwart von (LA) zum neuen Spielstand von 27:18.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"31,44:40:00,,""Block von Johannes Golla, der den Torwurf von Marko Vignjevic verhindert."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
32,44:14:00,26:18:00,Emil Jakobsen (SG Flensburg-Handewitt) trifft zum Spielstand von 26:18 in Flens-Arena.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
33,44:05:00,,Justus Nicolas Richtzenhain (GWD Minden) scheitert am Torwart Kevin Møller (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"34,43:27:00,,""Parade des Torwarts von GWD Minden, Malte Semisch."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
35,42:51:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Mats Korte.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
36,42:43:00,,Malte Semisch (GWD Minden) mit einer Parade.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"37,41:37:00,,""Der Torwart von SG Flensburg-Handewitt, Kevin Møller hält den Wurf von Magnus Holpert."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
38,41:02:00,25:18:00,Simon Hald Jensen (SG Flensburg-Handewitt) überwindet den Torwart von (6M) zum neuen Spielstand von 25:18.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
39,40:55:00,24:18:00,Carles Asensio Cambra (GWD Minden) überwindet den Torwart zum neuen Spielstand von 24:18.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
40,40:28:00,,Überragende Parade des Torwarts Kevin Møller (SG Flensburg-Handewitt)! Marko Vignjevic kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"41,39:57:00,24:17:00,""Neuer Spielstand in Flensburg, 24:17 durch den Treffer RM/fern von Gøran Søgard Johannessen für SG Flensburg-Handewitt."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
42,39:44:00,23:17,Tor (RM/fern)! Tomas Urban (GWD Minden) netzt ein zum neuen Spielstand von 23:17.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"43,39:03:00,,""Torwurf von Emil Jakobsen (SG Flensburg-Handewitt), aber der Ball trifft nur die Latte."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
"44,38:54:00,23:16,""Neuer Spielstand in Flensburg, 23:16 durch den Treffer von Magnus Holpert für GWD Minden."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
45,38:01:00,23:15,Tor! Jim Gottfridsson (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 23:15.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
46,37:51:00,22:15,Max Staar (GWD Minden) trifft von (6M). Neuer Spielstand in Flens-Arena: 22:15.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
47,37:03:00,,Jim Gottfridsson von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
48,36:53:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
49,36:34:00,22:14,Emil Jakobsen (SG Flensburg-Handewitt) trifft zum Spielstand von 22:14 in Flens-Arena.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"50,35:44:00,,""Der Torwart von GWD Minden, Malte Semisch pariert den Wurf."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
51,34:38:00,21:14,Tomas Urban (GWD Minden) trifft von (6M). Neuer Spielstand in Flens-Arena: 21:14.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
52,33:56:00,,Simon Hald Jensen von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
53,33:47:00,,Parade von Torwart Kevin Møller (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
54,33:17:00,21:13,Franz Semper (SG Flensburg-Handewitt) überwindet den Torwart von (6M) zum neuen Spielstand von 21:13.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
55,33:08:00,20:13,Niclas Pieczkowski (GWD Minden) überwindet den Torwart zum neuen Spielstand von 20:13.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
56,32:25:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
57,31:32:00,,Malte Semisch (GWD Minden) hält den Wurf von Emil Jakobsen.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
58,,,HALBZEIT (20:12),SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
59,30:00:00,20:12,Tor! Niclas Pieczkowski (GWD Minden) netzt ein zum neuen Spielstand von 20:12.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
60,29:59:00,,GWD Minden wechselt den Torwart. Malte Semisch kommt für Lucas Grabitz.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
61,29:52:00,20:11,Tor (RM/fern)! Franz Semper (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 20:11.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
62,29:18:00,,Zeitstrafe vorbei GWD Minden,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0
63,29:11:00,,Wurfversuch von Simon Hald Jensen (SG Flensburg-Handewitt) aber der Ball landet an der Latte.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0
64,29:06:00,,Der Wurf von Niclas Pieczkowski (GWD Minden) landet hinter dem Tor.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0
65,29:01:00,,Lattenkracher von Niclas Pieczkowski (GWD Minden).,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0
66,28:27:00,,Siebter Spieler eingewechselt GWD Minden,SG Flensburg-Handewitt,GWD Minden,0,0,0,1,0,1,0,0
67,28:22:00,19:11,Simon Hald Jensen (SG Flensburg-Handewitt) trifft zum Spielstand von 19:11 in Flens-Arena.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0
"68,27:50:00,,""Gute Torchance, aber Mathias Bitsch (GWD Minden) kann diese nicht erfolgreich verwandeln."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,0,0"
69,27:28:00,,Siebter Spieler eingewechselt GWD Minden,SG Flensburg-Handewitt,GWD Minden,0,0,0,1,0,1,0,0
70,27:07:00,,Marko Vignjevic (GWD Minden) erhält eine 2 Minuten Strafe.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,1,1,0
"71,27:07:00,18:11,""Neuer Spielstand in Flensburg, 18:11 durch den Treffer LA von Emil Jakobsen für SG Flensburg-Handewitt."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
"72,27:07:00,,""Wurf von Franz Semper (SG Flensburg-Handewitt), aber der Ball landet nur am Pfosten."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
"73,26:27:00,17:11,""Neuer Spielstand in Flensburg, 17:11 durch den Treffer von Mads Mensah Larsen für SG Flensburg-Handewitt."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
74,25:51:00,,Der Wurfversuch von Niclas Pieczkowski (GWD Minden) wurde durch einen Block von Simon Hald Jensen verhindert.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
75,25:39:00,,Nun wird Lucas Grabitz für GWD Minden im Tor stehen.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
"76,24:27:00,15:11,""Neuer Spielstand in Flensburg, 15:11 durch den Treffer RM/fern von Marko Vignjevic für GWD Minden."",SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0"
77,23:58,15:10,Emil Jakobsen (SG Flensburg-Handewitt) trifft zum Spielstand von 15:10 in Flens-Arena.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
78,23:19,14:10,Niclas Pieczkowski (GWD Minden) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 14:10.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
79,23:11,,Der Wurf von SG Flensburg-Handewitt wurde geblockt.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
80,22:30,,Überragende Parade des Torwarts Malte Semisch (GWD Minden)! Franz Semper kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
81,21:54,14:09,Johannes Golla (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in Flens-Arena: 14:9.,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,0,0,0,0
82,21:27,,Zeitstrafe vorbei SG Flensburg-Handewitt,SG Flensburg-Handewitt,GWD Minden,0,0,0,0,1,0,0,0
