,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:49:00,,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie und bringt den Spielstand auf 31:29.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
2,59:31:00,,Siebter Spieler eingewechselt HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,0,0,1,0,1,0,0
3,59:21:00,,Es gibt eine 2 Minuten Strafe für Johannes Sellin (HC Erlangen).,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,1,0
4,59:21:00,31:28:00,Tor! Gøran Søgard Johannessen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 31:28.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
5,59:03:00,,Auszeit SG Flensburg-Handewitt,SG Flensburg-Handewitt,HC Erlangen,1,0,0,0,0,0,0,0
6,58:41:00,,Fehlwurf von Antonio Metzner (HC Erlangen).,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
7,58:19:00,,Siebter Spieler eingewechselt HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,0,0,1,0,0,0,0
8,58:01:00,30:28:00,"Neuer Spielstand in Flensburg, 30:28 durch den Treffer von Johannes Golla für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
9,57:59:00,,Überragende Parade des Torwarts Klemen Ferlin (HC Erlangen)! Lasse Kjær Møller kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
10,57:09:00,,"Gute Torchance, aber Simon Jeppsson (HC Erlangen) kann diese nicht erfolgreich verwandeln.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
11,57:01:00,,Auszeit HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,1,0,0,0,0,0,0
12,56:40:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
13,55:56:00,29:28:00,Gøran Søgard Johannessen (SG Flensburg-Handewitt) trifft zum Spielstand von 29:28 in Flens-Arena.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
14,55:49:00,,Tor (RL/fern)! Steffen Fäth (HC Erlangen) netzt ein zum neuen Spielstand von 28:28.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
15,54:52:00,28:27:00,"Neuer Spielstand in Flensburg, 28:27 durch den Treffer RM/fern von Gøran Søgard Johannessen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
16,54:24:00,27:27:00,Christoph Steinert (HC Erlangen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 27:27.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
17,54:10:00,27:26:00,54:10:00 27:26:00 Teitur Örn Einarsson (SG Flensburg-Handewitt) trifft von (RR/fern). Neuer Spielstand in Flens-Arena: 27:26.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
18,53:56:00,,Auszeit SG Flensburg-Handewitt,SG Flensburg-Handewitt,HC Erlangen,1,0,0,0,0,0,0,0
19,53:24:00,,Zeitstrafe vorbei HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
20,53:23:00,26:26:00,Tor! Steffen Fäth (HC Erlangen) netzt ein zum neuen Spielstand von 26:26.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
21,52:36:00,,Siebter Spieler eingewechselt HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,0,0,1,0,1,0,0
22,52:27:00,,Gøran Søgard Johannessen (SG Flensburg-Handewitt) überwindet den Torwart von (6M) zum neuen Spielstand von 26:25.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
23,52:00:00,26:25:00,Christopher Bissel (HC Erlangen) trifft von (LA). Neuer Spielstand in Flens-Arena: 25:25.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
24,51:20:00,,Siebter Spieler eingewechselt HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,0,0,1,0,1,0,0
25,51:20:00,,Antonio Metzner (HC Erlangen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,1,0
26,51:20:00,25:24:00,"Neuer Spielstand in Flensburg, 25:24 durch den Treffer 6M von Gøran Søgard Johannessen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
27,51:11:00,24:24:00,Simon Jeppsson (HC Erlangen) trifft zum Spielstand von 24:24 in Flens-Arena.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
28,50:03:00,,Gøran Søgard Johannessen von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
29,49:41:00,24:23:00,"Neuer Spielstand in Flensburg, 24:23 durch den Treffer von Simon Jeppsson für HC Erlangen.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
30,49:08:00,,Klemen Ferlin (HC Erlangen) mit einer Parade.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
31,48:54:00,,"Parade des Torwarts von SG Flensburg-Handewitt, Kevin Møller.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
32,48:18:00,,Teitur Örn Einarsson (SG Flensburg-Handewitt) scheitert am Torwart Klemen Ferlin (HC Erlangen).,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
33,47:44:00,,Parade von Torwart Kevin Møller (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
34,46:39:00,24:22:00,Lasse Kjær Møller (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 24:22.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
35,46:26:00,23:22,Tor (6M)! Antonio Metzner (HC Erlangen) netzt ein zum neuen Spielstand von 23:22.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
36,45:47:00,23:21,Antonio Metzner (HC Erlangen) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 23:21.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
37,45:05:00,23:20,Der 7-Meter wurde von Emil Jakobsen (SG Flensburg-Handewitt) erfolgreich verwandelt.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
38,43:41:00,22:20,Johannes Golla (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 22:20.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
39,43:14:00,,"Der Torwart von HC Erlangen, Klemen Ferlin pariert den Wurf.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
40,43:05:00,21:20,Tor (6M)! Tim Zechel (HC Erlangen) netzt ein zum neuen Spielstand von 21:20.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
41,42:33:00,,Überragende Parade des Torwarts Klemen Ferlin (HC Erlangen)! Franz Semper kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
42,41:47:00,21:19,"Neuer Spielstand in Flensburg, 21:19 durch den Treffer von Steffen Fäth für HC Erlangen.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
43,41:25:00,,Auszeit HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,1,0,0,0,0,0,0
44,41:21:00,21:18,Tor! Lasse Kjær Møller (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 21:18.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
45,41:07:00,,Christopher Bissel (HC Erlangen) scheitert am Torwart Kevin Møller (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
46,40:59:00,,"Der Torwart von HC Erlangen, Klemen Ferlin hält den Wurf von Teitur Örn Einarsson.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
47,40:25:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
48,39:54:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
49,39:29:00,,Zeitstrafe vorbei HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
50,39:22:00,20:18,"Neuer Spielstand in Flensburg, 20:18 durch den Treffer RA von Johan Hansen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
51,39:03:00,,Simon Hald Jensen blockt den Wurf von Nico Büdel.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
52,38:06:00,,Siebter Spieler eingewechselt HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,0,0,1,0,1,0,0
53,37:54:00,19:18,Johannes Golla (SG Flensburg-Handewitt) trifft zum Spielstand von 19:18 in Flens-Arena.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
54,37:24:00,,"Nach einem harten Foul hat Lutz Heiny (HC Erlangen) nun zwei Minuten Zeit, um sich auszuruhen.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,1,0
55,37:20:00,,Lutz Heiny von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
56,36:32:00,,"Wurf von Johan Hansen (SG Flensburg-Handewitt), aber der Ball landet nur am Pfosten.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
57,36:01:00,,"Chance für Lasse Kjær Møller (SG Flensburg-Handewitt), er trifft aber nur den Pfosten.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,0,0,0
58,35:58:00,,Zeitstrafe vorbei HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
59,35:56:00,,Johannes Sellin (HC Erlangen) trifft von (6M). Neuer Spielstand in Flens-Arena: 18:18.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
60,35:48:00,,Gøran Søgard Johannessen von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
61,35:23:00,18:17,"Neuer Spielstand in Flensburg, 18:17 durch den Treffer 6M von Lutz Heiny für HC Erlangen.",SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
62,34:36:00,18:16,Tor (RM/fern)! Johannes Golla (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 18:16.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,0,0
63,33:55:00,,Siebter Spieler eingewechselt HC Erlangen,SG Flensburg-Handewitt,HC Erlangen,0,0,0,1,0,1,0,0
64,33:55:00,,Tim Zechel (HC Erlangen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,SG Flensburg-Handewitt,HC Erlangen,0,0,0,0,0,1,1,0
