Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,34:24:00,Tor (6M)! Gøran Søgard Johannessen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 34:24.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
59:19:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Radojica Cepic.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
58:25:00,33:24:00,Johannes Golla (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in Campushalle: 33:24.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
57:55:00,,Erik Schmidt (HSG Wetzlar) trifft zum Spielstand von 32:24 in Campushalle.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
57:49:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
57:37:00,32:23:00,"Neuer Spielstand in Flensburg, 32:23 durch den Treffer von August Baskar Pedersen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
57:11:00,,Lars Weissgerber von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
57:04:00,,Auszeit HSG Wetzlar,SG Flensburg-Handewitt,HSG Wetzlar,0,1,0,0,0,0,0,0
56:33:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
56:00:00,31:23:00,Tor! Johannes Golla (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 31:23.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
55:52:00,,Erik Schmidt (HSG Wetzlar) trifft zum Spielstand von 30:23 in Campushalle.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
55:28:00,,Siebter Spieler eingewechselt HSG Wetzlar,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,1,0,0,0,0
55:14:00,30:22:00,"Neuer Spielstand in Flensburg, 30:22 durch den Treffer von Emil Jakobsen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
54:46:00,,Kevin Møller (SG Flensburg-Handewitt) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
54:26:00,,Der Wurfversuch von Lenny Rubin (HSG Wetzlar) wurde durch einen Block von Magnus Abelvik Rød verhindert.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
53:46:00,,Siebter Spieler eingewechselt HSG Wetzlar,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,1,0,0,0,0
53:30:00,,"Der Torwart von HSG Wetzlar, Till Klimpke hält den Wurf von Johan Hansen.",SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
52:59:00,,Adam Nyfjäll (HSG Wetzlar) trifft von (6M). Neuer Spielstand in Campushalle: 29:22.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
52:29:00,,Siebter Spieler eingewechselt HSG Wetzlar,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,1,0,0,0,0
52:16:00,29:21:00,Johan Hansen (SG Flensburg-Handewitt) überwindet den Torwart von (RA) zum neuen Spielstand von 29:21.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
51:58:00,,Lenny Rubin blockt den Wurf von Franz Semper.,SG Flensburg-Handewitt,HSG Wetzlar,0,0,0,0,0,0,0,0
