,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,35:34:00,"Neuer Spielstand in Flensburg, 35:34 durch den Treffer RM/fern von Mads Mensah Larsen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
2,59:57:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SG Flensburg-Handewitt,SC Magdeburg,0,0,1,0,0,0,0,0
3,59:47:00,34:34:00,"Neuer Spielstand in Flensburg, 34:34 durch den Treffer von Tim Hornke für SC Magdeburg.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
4,58:56:00,,Lukas Mertens (SC Magdeburg) scheitert am Torwart Benjamin Buric (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
5,58:29:00,,Auszeit SG Flensburg-Handewitt,SG Flensburg-Handewitt,SC Magdeburg,1,0,0,0,0,0,0,0
6,58:14:00,,Es gibt Gelb für Mark Bult (SG Flensburg-Handewitt) von Kinzel/Grobe.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
7,58:13:00,34:33:00,Michael Damgaard (SC Magdeburg) trifft von (LA). Neuer Spielstand in Flens-Arena: 34:33.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
8,58:08:00,,Zeitstrafe vorbei SC Magdeburg,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,1,0,0
9,57:52:00,34:32:00,Jim Gottfridsson (SG Flensburg-Handewitt) trifft zum Spielstand von 34:32 in Flens-Arena.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,1,0,0
10,57:25:00,33:32:00,"Neuer Spielstand in Flensburg, 33:32 durch den Treffer von Lukas Mertens für SC Magdeburg.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,1,0,0
11,56:47:00,,Siebter Spieler eingewechselt SC Magdeburg,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,1,0,1,0,0
12,56:39:00,,"Der Torwart von SC Magdeburg, Nikola Portner pariert den Wurf.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,1,0,0
13,56:09:00,33:31:00,Michael Damgaard (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 33:31.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,1,0,0
14,55:55:00,,Siebter Spieler eingewechselt SC Magdeburg,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,1,0,1,1,0
15,55:45:00,,Kinzel/Grobe verwarnen Bennet Wiegert (SC Magdeburg) mit einer Gelben Karte.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
16,55:45:00,33:30:00,Tor! Magnus Abelvik Rød (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 33:30.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
17,54:51:00,32:30:00,"Neuer Spielstand in Flensburg, 32:30 durch den Treffer von Omar Ingi Magnusson für SC Magdeburg.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
18,54:36:00,,SC Magdeburg wechselt den Torwart. Nikola Portner kommt für Mike Jensen.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
19,54:21:00,32:29:00,Tor (LA)! Emil Jakobsen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 32:29.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
20,53:42:00,31:29:00,Lukas Mertens (SC Magdeburg) trifft zum Spielstand von 31:29 in Flens-Arena.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
21,53:27:00,31:28:00,Mads Mensah Larsen (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 31:28.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
22,52:54:00,30:28:00,Gisli Thorgeir Kristjansson (SC Magdeburg) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 30:28.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
24,51:45:00,30:27:00,Tor! Mads Mensah Larsen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 30:27.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
23,51:02:00,29:27:00,Omar Ingi Magnusson (SC Magdeburg) trifft von (6M). Neuer Spielstand in Flens-Arena: 29:27.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
25,50:52:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
26,50:16:00,,Parade von Torwart Benjamin Buric (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
27,49:47:00,29:26:00,"Neuer Spielstand in Flensburg, 29:26 durch den Treffer RM/fern von Mads Mensah Larsen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
28,48:59:00,,"Der Torwart von SG Flensburg-Handewitt, Benjamin Buric hält den Wurf von Christian O'Sullivan.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
29,48:56:00,,"Der Trainer von SG Flensburg-Handewitt, Maik Machulla stellt nun Benjamin Buric zwischen die Pfosten.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
30,48:51:00,28:26:00,Mads Mensah Larsen (SG Flensburg-Handewitt) trifft zum Spielstand von 28:26 in Flens-Arena.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
31,48:39:00,27:26:00,"Neuer Spielstand in Flensburg, 27:26 durch den Treffer 6M von Michael Damgaard für SC Magdeburg.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
32,47:23:00,,Der Wurfversuch von Michael Damgaard (SC Magdeburg) wurde durch einen Block von Simon Hald Jensen verhindert.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
33,46:44:00,27:25:00,Magnus Abelvik Rød (SG Flensburg-Handewitt) überwindet den Torwart von (6M) zum neuen Spielstand von 27:25.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
34,46:33:00,26:25:00,Tor (6M)! Gisli Thorgeir Kristjansson (SC Magdeburg) netzt ein zum neuen Spielstand von 26:25.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
35,46:05:00,26:24:00,Emil Jakobsen (SG Flensburg-Handewitt) trifft von der 7-Meter Linie.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
36,45:39:00,25:23:00,Johannes Golla (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 25:23.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
37,45:04:00,24:23:00,"Neuer Spielstand in Flensburg, 24:23 durch den Treffer von Michael Damgaard für SC Magdeburg.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
38,44:31:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
39,44:01:00,24:22:00,Tor! Gisli Thorgeir Kristjansson (SC Magdeburg) netzt ein zum neuen Spielstand von 24:22.,SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
40,43:21:00,,"Parade des Torwarts von SG Flensburg-Handewitt, Kevin Møller.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
41,42:56:00,24:21:00,"Tor von der 7-Meter Linie von Emil Jakobsen (SG Flensburg-Handewitt), neuer Spielstand 24:21.",SG Flensburg-Handewitt,SC Magdeburg,0,0,0,0,0,0,0,0
