Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:43:00,36:23:00,Lasse Kjær Møller (SG Flensburg-Handewitt) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 36:23.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
58:51:00,35:23:00,Karl Wallinius (THW Kiel) trifft zum Spielstand von 35:23 in Campushalle.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
58:34:00,,Siebter Spieler eingewechselt THW Kiel,SG Flensburg-Handewitt,THW Kiel,0,0,0,1,0,0,0,0
58:18:00,,Simon Hald Jensen von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
56:47:00,,"Parade des Torwarts von SG Flensburg-Handewitt, Benjamin Buric.",SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
56:33:00,35:22:00,Lasse Kjær Møller (SG Flensburg-Handewitt) trifft von (RL/fern). Neuer Spielstand in Campushalle: 35:22.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
56:02:00,34:22:00,Henri Pabst (THW Kiel) überwindet den Torwart zum neuen Spielstand von 34:22.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
55:25:00,,Siebter Spieler eingewechselt THW Kiel,SG Flensburg-Handewitt,THW Kiel,0,0,0,1,0,0,0,0
55:04:00,34:21:00,Tor (6M)! Johannes Golla (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 34:21.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
54:32:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
54:17:00,33:21:00,Tor! Johannes Golla (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 33:21.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
54:17:00,,"Torwurf von Lasse Kjær Møller (SG Flensburg-Handewitt), aber der Ball trifft nur die Latte.",SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
54:02:00,,Patrick Wiencek blockt den Wurf von Teitur Örn Einarsson.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
53:20:00,,Karl Wallinius (THW Kiel) überwindet den Torwart zum neuen Spielstand von 32:21.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
53:13:00,,Zeitstrafe vorbei THW Kiel,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,1,0,0
52:50:00,,Auszeit THW Kiel,SG Flensburg-Handewitt,THW Kiel,0,1,0,0,0,1,0,0
52:49:00,,Siebter Spieler eingewechselt THW Kiel,SG Flensburg-Handewitt,THW Kiel,0,0,0,1,0,1,0,0
52:34:00,32:20:00,Tor! Teitur Örn Einarsson (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 32:20.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,1,0,0
52:04:00,,Tomas Mrkva (THW Kiel) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,1,0,0
51:58:00,,Benjamin Buric (SG Flensburg-Handewitt) hält den Wurf von Karl Wallinius.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,1,0,0
51:32:00,,Siebter Spieler eingewechselt THW Kiel,SG Flensburg-Handewitt,THW Kiel,0,0,0,1,0,1,0,0
51:24:00,31:20:00,"Neuer Spielstand in Flensburg, 31:20 durch den Treffer RM/fern von Lasse Kjær Møller für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,1,0,0
51:07:00,,2-Minuten-Strafe für Magnus Landin. THW Kiel muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,1,1,0
50:34:00,,Überragende Parade des Torwarts Benjamin Buric (SG Flensburg-Handewitt)! Harald Reinkind kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,THW Kiel,0,0,0,0,0,0,0,0
50:21:00,,Siebter Spieler eingewechselt THW Kiel,SG Flensburg-Handewitt,THW Kiel,0,0,0,1,0,0,0,0
