,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:30:00,,"Parade des Torwarts von TVB Stuttgart, Silvio Heinevetter.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
2,58:54:00,29:25:00,"Neuer Spielstand in Flensburg, 29:25 durch den Treffer von Max Häfner für TVB Stuttgart.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
3,58:28:00,,Siebter Spieler eingewechselt TVB Stuttgart.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,1,0,0,0,0
4,58:15:00,,Überragende Parade des Torwarts Silvio Heinevetter (TVB Stuttgart)! Teitur Örn Einarsson kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
5,57:46:00,29:24:00,Tor (RM/fern)! Adam Lönn (TVB Stuttgart) netzt ein zum neuen Spielstand von 29:24.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
6,57:25:00,,Der Wurfversuch von Nico Schöttle (TVB Stuttgart) wurde durch einen Block von Johannes Golla verhindert.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
7,57:22:00,,Siebter Spieler eingewechselt TVB Stuttgart.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,1,0,0,0,0
8,56:53:00,,Parade von Torwart Kevin Møller (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
9,56:37:00,,Samuel Röthlisberger blockt den Wurf von Gøran Søgard Johannessen.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
10,56:28:00,,"Chance für Gøran Søgard Johannessen (SG Flensburg-Handewitt), er trifft aber nur den Pfosten.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
11,55:20:00,29:23:00,Der 7-Meter wurde von Sascha Pfattheicher (TVB Stuttgart) erfolgreich verwandelt.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
12,54:53:00,,Siebter Spieler eingewechselt TVB Stuttgart.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,1,0,0,0,0
13,54:26:00,,Der Wurf von TVB Stuttgart wurde geblockt.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
14,54:18:00,,"Der Torwart von TVB Stuttgart, Silvio Heinevetter pariert den Wurf.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
15,53:25:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Nico Schöttle.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
16,52:36:00,29:22:00,Johannes Golla (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 29:22.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
17,51:58:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller hält den Wurf von Adam Lönn.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
18,51:49:00,,"Block von Johannes Golla, der den Torwurf von Adam Lönn verhindert.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
19,51:49:00,,Siebter Spieler eingewechselt TVB Stuttgart.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,1,0,0,0,0
20,50:50:00,,50:23:00 Siebter Spieler eingewechselt TVB Stuttgart.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,1,0,0,0,0
21,50:23:00,28:22:00,"Jim Gottfridsson (SG Flensburg-Handewitt) scores, bringing the score to 28:22 in Flens-Arena.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
22,50:19:00,,August Baskar Pedersen (SG Flensburg-Handewitt) fails to score against goalkeeper Silvio Heinevetter (TVB Stuttgart).,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
23,49:32:00,27:22:00,"New score in Flensburg, 27:22 through a 6-meter goal by Fynn-Luca Nicolaus for TVB Stuttgart.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
24,49:20:00,,Seventh player substituted for TVB Stuttgart.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
25,48:47:00,27:21:00,Johan Hansen (SG Flensburg-Handewitt) scores from a 6-meter shot. New score in Flens-Arena: 27:21.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
26,48:15:00,26:21:00,"Goal (LW)! Patrick Zieker (TVB Stuttgart) scores, bringing the score to 26:21.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
27,47:40:00,,Timeout called by TVB Stuttgart.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
28,47:34:00,,Jerome Müller from TVB Stuttgart makes a technical error. Possession changes.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
29,47:26:00,26:20:00,"August Baskar Pedersen (SG Flensburg-Handewitt) scores, bringing the score to 26:20.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
30,47:04:00,,Timeout over for SG Flensburg-Handewitt.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
31,47:00:00,,Seventh player substituted for SG Flensburg-Handewitt.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
32,46:23:00,,Timeout over for TVB Stuttgart.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
33,46:17:00,25:20:00,"Teitur Örn Einarsson (SG Flensburg-Handewitt) scores from a 6-meter shot, bringing the score to 25:20.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
34,45:59:00,,Yellow card for Michael Schweikardt (TVB Stuttgart) by Standke/Heine.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
35,45:34:00,,Seventh player substituted for SG Flensburg-Handewitt.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
36,45:25:00,,Sascha Pfattheicher shoots at the goal but hits the post.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
37,44:59:00,,2-minute penalty for Johan Hansen. SG Flensburg-Handewitt will play with one player less for the next two minutes.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
38,44:19:00,,Seventh player substituted for TVB Stuttgart.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
39,44:18:00,,Jerome Müller (TVB Stuttgart) receives a 2-minute penalty.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
40,44:18:00,24:20:00,"Neuer Spielstand in Flensburg, 24:20 durch den Treffer von Gøran Søgard Johannessen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
41,44:05:00,23:20,Tor! Jerome Müller (TVB Stuttgart) netzt ein zum neuen Spielstand von 23:20.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
42,43:30:00,23:19,"Neuer Spielstand in Flensburg, 23:19 durch den Treffer LA von August Baskar Pedersen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
43,42:57:00,,Nico Schöttle von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
44,42:17:00,,Der Wurf von Teitur Örn Einarsson (SG Flensburg-Handewitt) landet hinter dem Tor.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
45,41:55:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
46,41:12:00,22:19,Sascha Pfattheicher (TVB Stuttgart) trifft von (RA). Neuer Spielstand in Flens-Arena: 22:19.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
47,40:58:00,22:18,Tor (6M)! Johannes Golla (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 22:18.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
48,40:09:00,21:18,Sascha Pfattheicher (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 21:18.,SG Flensburg-Handewitt,TVB Stuttgart,0,0,0,0,0,0,0,0
