Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:51:00,,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft nur den Pfosten.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:42:00,,Der Wurfversuch von Dominik Axmann (Handball Sport Verein Hamburg) wurde durch einen Block von Magnus Abelvik Rød verhindert.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:49:00,34:32:00,Andreas Magaard (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 34:32.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:44:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,1,0,0,0,0
58:35:00,34:31:00,"Neuer Spielstand in Flensburg, 34:31 durch den Treffer von Johannes Golla für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:08:00,33:31:00,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft zum Spielstand von 33:31 in Campushalle.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:54:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,1,0,0,0,0
57:44:00,33:30:00,Hans Aaron Mensing (SG Flensburg-Handewitt) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 33:30.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:36:00,32:30:00,Leif Tissier (Handball Sport Verein Hamburg) tankt sich durch und trifft!,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:20:00,,Auszeit Handball Sport Verein Hamburg.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
56:14:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:04:00,,Magnus Abelvik Rød blockt den Wurf von Dani Baijens.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:50:00,32:29:00,"Tor! Es war Magnus Abelvik Rød (SG Flensburg-Handewitt), der das Tor von Johannes Golla vorbereitete.",SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:54:00,,Dani Baijens (Handball Sport Verein Hamburg) scheitert am Torwart Benjamin Buric (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:22:00,,Auszeit Handball Sport Verein Hamburg.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
54:04:00,,Nun wird Jens Vortmann für Handball Sport Verein Hamburg im Tor stehen.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:41:00,31:29:00,"Neuer Spielstand in Flensburg, 31:29 durch den Treffer von Hans Aaron Mensing für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:10:00,,Torsten Jansen (Handball Sport Verein Hamburg) bekommt die Gelbe Karte von Tonnies/Schulze gezeigt.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:24:00,,"Dominik Axmann wirft auf das Tor, trifft aber nur den Pfosten.",SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:49:00,30:29:00,Tor! Hans Aaron Mensing (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 30:29.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:09:00,29:29:00,"Neuer Spielstand in Flensburg, 29:29 durch den Treffer RA von Thies Bergemann für Handball Sport Verein Hamburg.",SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:03:00,,Emil Jakobsen (SG Flensburg-Handewitt) trifft nur den Pfosten.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
50:12:00,,Parade von Torwart Johannes Bitter (Handball Sport Verein Hamburg).,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:40:00,,Andreas Magaard von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:04:00,29:28:00,Tor (RA)! Johan Hansen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 29:28.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
47:51:00,28:28:00,Tor. Mads Mensah Larsen (SG Flensburg-Handewitt) bereitet vor und Johan Hansen vollendet zum 28:28.,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
