Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,Teitur Örn Einarsson (SG Flensburg-Handewitt) scheitert am Torwart Dario Quenstedt (Hannover-Burgdorf).,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,1,0,0
59:37:00,30:35:00,Marius Steinhauser (Hannover-Burgdorf) trifft zum Spielstand von 30:35 in Campushalle.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,1,0,0
59:29:00,,Dario Quenstedt (Hannover-Burgdorf) hält den Wurf von Gøran Søgard Johannessen.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,1,0,0
59:08:00,,Parade von Torwart Benjamin Buric (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,1,0,0
58:42:00,,Lasse Kjær Møller vergibt den Strafwurf für SG Flensburg-Handewitt.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,1,0,0
58:36:00,,Veit Mävers (Hannover-Burgdorf) erhält eine 2 Minuten Strafe.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,1,1,0
58:19:00,,"Branko Vujovic (6M) wirft, jedoch neben das Tor.",SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:26:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade beim 7-Meter.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:52:00,,Auszeit Hannover-Burgdorf,SG Flensburg-Handewitt,Hannover-Burgdorf,0,1,0,0,0,0,0,0
56:37:00,30:34:00,Magnus Abelvik Rød (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 30:34.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:28:00,,Marian Michalczik von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:52:00,29:34:00,Magnus Abelvik Rød (SG Flensburg-Handewitt) trifft zum Spielstand von 29:34 in Campushalle.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:40:00,28:33:00,"Neuer Spielstand in Flensburg, 28:34 durch den Treffer von Hannes Feise für Hannover-Burgdorf.",SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:21:00,28:33:00,Hans Aaron Mensing (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in Campushalle: 28:33.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:02:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,1,0,0,0,0,0
54:55:00,,Hannes Feise von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:11:00,,Uladzislau Kulesh von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:01:00,,"Parade des Torwarts von Hannover-Burgdorf, Dario Quenstedt.",SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53:46:00,,Auszeit SG Flensburg-Handewitt,SG Flensburg-Handewitt,Hannover-Burgdorf,1,0,0,0,0,0,0,0
53:46:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,1,0,0,0,0,0
53:36:00,27:33:00,Uladzislau Kulesh (Hannover-Burgdorf) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 27:33.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:58:00,27:32:00,Tor (6M)! Hans Aaron Mensing (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 27:32.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:40:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,1,0,0,0,0,0
52:31:00,26:32:00,Marian Michalczik (Hannover-Burgdorf) legt den Treffer von Maximilian Gerbl auf. Es steht 26:32.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:57:00,26:31:00,"Neuer Spielstand in Flensburg, 26:31 durch den Treffer 6M von August Baskar Pedersen für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:11:00,25:31:00,Hannes Feise (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 25:31.,SG Flensburg-Handewitt,Hannover-Burgdorf,0,0,0,0,0,0,0,0
