Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:43:00,,"Parade des Torwarts von Rhein-Neckar Löwen, David Späth.",SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
58:51:00,34:31:00,Kristjan Horzen (Rhein-Neckar Löwen) trifft zum Spielstand von 34:31 in Campushalle.,SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
58:43:00,,Überragende Parade des Torwarts David Späth (Rhein-Neckar Löwen)! Franz Semper kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
58:09:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller pariert den Wurf.",SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57:34:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller hält den Wurf von Niclas Kirkelokke.",SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57:24:00,,Hans Aaron Mensing (SG Flensburg-Handewitt) scheitert am Torwart David Späth (Rhein-Neckar Löwen).,SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
56:49:00,34:30:00,"Neuer Spielstand in Flensburg, 34:30 durch den Treffer 6M von Kristjan Horzen für Rhein-Neckar Löwen.",SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
56:39:00,34:29:00,Franz Semper (SG Flensburg-Handewitt) trifft von (RM/fern). Neuer Spielstand in Campushalle: 34:29.,SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
56:20:00,,Parade von Torwart David Späth (Rhein-Neckar Löwen).,SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
55:45:00,33:29:00,Tor (6M)! Albin Lagergren (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 33:29.,SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
55:38:00,33:28:00,"Neuer Spielstand in Flensburg, 33:28 durch den Treffer von Lasse Kjær Møller für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
54:56:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Albin Lagergren.,SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
54:41:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
54:23:00,,Auszeit Rhein-Neckar Löwen,SG Flensburg-Handewitt,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
