Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås pariert den Wurf.",SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:47:00,,"Lovro Jotić (RR/fern) wirft, jedoch neben das Tor.",SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:21:00,,Maciej Gebala blockt den Wurf von Franz Semper.,SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:54:00,,Auszeit SG Flensburg-Handewitt,SG Flensburg-Handewitt,SC DHfK Leipzig,1,0,0,0,0,0,0,0
58:16:00,30:27:00,"Neuer Spielstand in Flensburg, 30:27 durch den Treffer RM/fern von Lukas Binder für SC DHfK Leipzig.",SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:13:00,,Gøran Søgard Johannessen von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:34:00,,Überragende Parade des Torwarts Benjamin Buric (SG Flensburg-Handewitt)! Simon Ernst kann den Ball nicht im Tor unterbringen!,SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:29:00,,SC DHfK Leipzig wechselt den Torwart. Kristian Sæverås kommt für Mohamed Essam Moustafa El-Tayar.,SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:11:00,,Fehlwurf von Lovro Jotić (SC DHfK Leipzig).,SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:01:00,30:26:00,Franz Semper (SG Flensburg-Handewitt) trifft von (RM/fern). Neuer Spielstand in Campushalle: 30:26.,SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:56:00,,"Der Torwart von SG Flensburg-Handewitt, Benjamin Buric hält den Wurf von Lovro Jotić.",SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:38:00,,Zeitstrafe vorbei SG Flensburg-Handewitt,SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,1,0,0,0
55:58:00,29:26:00,Tor! Gøran Søgard Johannessen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 29:26.,SG Flensburg-Handewitt,SC DHfK Leipzig,0,0,0,0,1,0,0,0
