Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,"Teitur Örn Einarsson (RM/fern) wirft, jedoch neben das Tor.",SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,1,0,0,0
59:54:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,1,0,1,0,0,0
59:53:00,,Es gibt eine 2 Minuten Strafe für Magnus Abelvik Rød (SG Flensburg-Handewitt).,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,1,0,0,1
59:52:00,31:26:00,Miro Schluroff (VfL Gummersbach) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 31:26.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
58:48:00,,"Hans Aaron Mensing (RM/fern) wirft, jedoch neben das Tor.",SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
58:14:00,31:25:00,Miro Schluroff (VfL Gummersbach) trifft von (RM/fern). Neuer Spielstand in Campushalle: 31:25.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
57:36:00,31:24:00,Simon Hald Jensen (SG Flensburg-Handewitt) verwandelt einen Tempogegenstoß.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
56:44:00,30:24:00,Hans Aaron Mensing (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 30:24.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
55:52:00,29:24:00,Tor (6M)! Emil Jakobsen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 29:24.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
55:46:00,,Lukas Blohme von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
54:52:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
54:44:00,,"Block von Johannes Golla, der den Torwurf von Ole Pregler verhindert.",SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
54:33:00,28:24:00,Tor (6M)! Simon Hald Jensen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 28:24.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
54:20:00,27:24:00,Tor! Miro Schluroff (VfL Gummersbach) netzt ein zum neuen Spielstand von 27:24.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
54:04:00,27:23:00,"Neuer Spielstand in Flensburg, 27:23 durch den Treffer RM/fern von Hans Aaron Mensing für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
53:13:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
52:31:00,,Hans Aaron Mensing von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
51:43:00,,"Parade des Torwarts von SG Flensburg-Handewitt, Kevin Møller.",SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
50:53:00,26:23:00,Teitur Örn Einarsson (SG Flensburg-Handewitt) trifft von (RM/fern). Neuer Spielstand in Campushalle: 26:23.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
50:17:00,25:23:00,Miro Schluroff (VfL Gummersbach) trifft zum Spielstand von 25:23 in Campushalle.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
49:41:00,,Lasse Kjær Møller von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
49:34:00,25:22:00,Julian Köster (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 25:22.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
49:07:00,,Der Wurf von Mads Mensah Larsen (SG Flensburg-Handewitt) landet hinter dem Tor.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
48:01:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller pariert den Wurf.",SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
47:24:00,25:21:00,"Neuer Spielstand in Flensburg, 25:21 durch den Treffer von Lasse Kjær Møller für SG Flensburg-Handewitt.",SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
46:35:00,24:21:00,Julian Köster (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 24:21.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
44:37:00,24:20:00,Miro Schluroff (VfL Gummersbach) trifft von (RM/fern). Neuer Spielstand in Campushalle: 24:20.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
44:12:00,,Parade von Torwart Tibor Ivanisevic (VfL Gummersbach).,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
43:38:00,24:19:00,"Neuer Spielstand in Flensburg, 24:19 durch den Treffer 6M von Tilen Kodrin für VfL Gummersbach.",SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
42:39:00,24:18:00,Johannes Golla (SG Flensburg-Handewitt) trifft zum Spielstand von 24:18 in Campushalle.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,0,0,0
42:16:00,,Zeitstrafe vorbei VfL Gummersbach,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,1,0,0
42:10:00,23:18,Tor! Miro Schluroff (VfL Gummersbach) netzt ein zum neuen Spielstand von 23:18.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,1,0,0
41:41:00,,Siebter Spieler eingewechselt VfL Gummersbach,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,1,0,1,0,0
41:33:00,23:17,Tor (RA)! Johan Hansen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 23:17.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,1,0,0
41:12:00,,VfL Gummersbach wechselt den Torwart. Tibor Ivanisevic kommt für Fabian Norsten.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,1,0,0
41:06:00,22:17,Tilen Kodrin (VfL Gummersbach) überwindet den Torwart von (LA) zum neuen Spielstand von 22:17.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,1,0,0
40:38:00,,Auszeit VfL Gummersbach,SG Flensburg-Handewitt,VfL Gummersbach,0,1,0,0,0,1,0,0
40:35:00,22:16,Johan Hansen (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 22:16.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,1,0,0
40:28:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Tom Jansen.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,1,0,0
40:00:00,,Siebter Spieler eingewechselt VfL Gummersbach,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,1,0,1,0,0
39:53:00,21:16,Johan Hansen (SG Flensburg-Handewitt) trifft von der 7-Meter Linie und bringt den Spielstand auf 21:16.,SG Flensburg-Handewitt,VfL Gummersbach,0,0,0,0,0,1,0,0
