,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:51:00,,"Neuer Spielstand in Lemgo, 30:27 durch den Treffer RM/fern von Philipp Ahouansou für GWD Minden.",TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
2,59:12:00,30:26:00,Tor (RA)! Lukas Zerbe (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 30:26.,TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
3,58:32:00,,Auszeit GWD Minden,TBV Lemgo Lippe,GWD Minden,0,1,0,0,0,0,0,0
4,58:29:00,29:26:00,Tor! Lukas Zerbe (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 29:26.,TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
5,57:37:00,28:26:00,"Tor Luka Sebetic, GWD Minden",TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
6,56:56:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,GWD Minden,0,0,1,0,0,0,0,0
7,56:48:00,,"Neuer Spielstand in Lemgo, 28:25 durch den Treffer von Philipp Ahouansou für GWD Minden.",TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
8,56:40:00,28:24:00,Emil Buhl Lærke (TBV Lemgo Lippe) trifft zum Spielstand von 28:24 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
9,56:17:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,GWD Minden,0,0,1,0,0,0,0,0
10,56:04:00,,Borko Ristovski (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
11,56:00:00,27:24:00,Samuel Zehnder (TBV Lemgo Lippe) überwindet den Torwart von (LA) zum neuen Spielstand von 27:24.,TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
12,55:31:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,GWD Minden,0,0,1,0,0,0,0,0
13,55:14:00,,Der Wurf von Mohamed Amine Darmoul (GWD Minden) landet hinter dem Tor.,TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
14,54:36:00,26:24:00,Tor (6M)! Gedeon Guardiola (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 26:24.,TBV Lemgo Lippe,GWD Minden,0,0,0,0,0,0,0,0
15,54:17:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,GWD Minden,1,0,0,0,0,0,0,0
16,53:58:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,GWD Minden,0,0,1,0,0,0,0,0
