,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:38:00,,Zeitstrafe vorbei HC Erlangen,TBV Lemgo Lippe,HC Erlangen,0,0,0,0,0,1,0,0
2,59:35:00,34:27:00,Simon Jeppsson (HC Erlangen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 34:27.,TBV Lemgo Lippe,HC Erlangen,0,0,0,0,0,1,0,0
3,58:29:00,34:26:00,Der 7-Meter wurde von Christoph Steinert (HC Erlangen) erfolgreich verwandelt.,TBV Lemgo Lippe,HC Erlangen,0,0,0,0,0,1,0,0
4,57:38:00,,Siebter Spieler eingewechselt HC Erlangen,TBV Lemgo Lippe,HC Erlangen,0,0,0,1,0,1,0,0
5,57:37:00,,"Der disqualifizierte Lutz Heiny muss das Spielfeld verlassen, aber HC Erlangen wird nach 2 Minuten wieder auffüllen dürfen.",TBV Lemgo Lippe,HC Erlangen,0,0,0,0,0,1,1,0
6,57:37:00,34:25:00,Gedeon Guardiola (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT arena: 34:25.,TBV Lemgo Lippe,HC Erlangen,0,0,0,0,0,0,0,0
7,57:06:00,33:25:00,Tor! Manuel Zehnder (HC Erlangen) netzt ein zum neuen Spielstand von 33:25.,TBV Lemgo Lippe,HC Erlangen,0,0,0,0,0,0,0,0
8,56:46:00,,"Gute Torchance, aber Christoph Steinert (HC Erlangen) kann diese nicht erfolgreich verwandeln.",TBV Lemgo Lippe,HC Erlangen,0,0,0,0,0,0,0,0
9,55:59:00,,Auszeit HC Erlangen,TBV Lemgo Lippe,HC Erlangen,0,1,0,0,0,0,0,0
10,55:57:00,,Siebter Spieler eingewechselt HC Erlangen,TBV Lemgo Lippe,HC Erlangen,0,0,0,1,0,0,0,0
