,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:56:00,34:29:00,Tor! Niko Blaauw (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 34:29.,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,0,0,0,0
2,59:27:00,,Zeitstrafe vorbei HSG Wetzlar,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,0,1,0,0
3,59:12:00,,Siebter Spieler eingewechselt HSG Wetzlar,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,1,0,1,0,0
4,58:56:00,33:29:00,Lukas Zerbe (TBV Lemgo Lippe) trifft von (RA). Neuer Spielstand in PHOENIX CONTACT arena: 33:29.,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,0,1,0,0
5,58:23:00,32:29:00,Vladan Lipovina (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 32:29.,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,0,1,0,0
6,57:53:00,,Siebter Spieler eingewechselt HSG Wetzlar,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,1,0,1,0,0
7,57:43:00,32:28:00,"Neuer Spielstand in Lemgo, 32:28 durch den Treffer 6M von Lukas Hutecek für TBV Lemgo Lippe.",TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,0,1,0,0
8,57:26:00,,Jovica Nikolic (HSG Wetzlar) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,0,1,1,0
9,56:31:00,,Auszeit HSG Wetzlar,TBV Lemgo Lippe,HSG Wetzlar,0,1,0,0,0,0,0,0
10,55:58:00,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,1,0,0,0
11,55:55:00,31:28:00,Tim Suton (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 31:28.,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,1,0,0,0
12,55:35:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,HSG Wetzlar,0,0,1,0,1,0,0,0
13,55:09:00,30:28:00,Tor (RM/fern)! Hendrik Wagner (HSG Wetzlar) netzt ein zum neuen Spielstand von 30:28.,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,1,0,0,0
14,55:01:00,30:27:00,Tim Suton (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 30:27.,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,1,0,0,0
15,54:22:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,HSG Wetzlar,0,0,1,0,1,0,0,0
16,54:09:00,,Fehlwurf von Lenny Rubin (HSG Wetzlar).,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,1,0,0,0
17,53:54:00,,2-Minuten-Strafe für Frederik Simak. TBV Lemgo Lippe muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TBV Lemgo Lippe,HSG Wetzlar,0,0,0,0,1,0,0,1
