,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:53:00,,Johannes Bitter (Handball Sport Verein Hamburg) mit einer Parade.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
2,59:29:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
3,59:12:00,,Casper Ulrich Mortensen von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
4,58:38:00,,Dani Baijens (Handball Sport Verein Hamburg) trifft nur den Pfosten.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
5,57:37:00,28:32:00,Tor! Lukas Hutecek (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 28:32.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
6,57:30:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
7,57:19:00,,"Neuer Spielstand in Lemgo, 27:32 durch den Treffer von Dani Baijens für Handball Sport Verein Hamburg.",TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
8,56:54:00,,"Parade von Johannes Bitter, Samuel Zehnder vergibt von der 7-Meter Linie!",TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
9,56:39:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
10,56:39:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
11,56:23:00,27:31:00,Jacob Arenth Lassen (Handball Sport Verein Hamburg) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 27:31.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
12,55:50:00,,"Wurf von Lukas Zerbe (TBV Lemgo Lippe), aber der Ball landet nur am Pfosten.",TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
13,55:33:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
14,55:18:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
15,54:55:00,,Auszeit Handball Sport Verein Hamburg,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
16,54:49:00,27:30:00,Bobby Schagen (TBV Lemgo Lippe) trifft zum Spielstand von 27:30 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
17,54:18:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
18,54:13:00,26:30:00,"Tor von der 7-Meter Linie von Casper Ulrich Mortensen (Handball Sport Verein Hamburg), neuer Spielstand 26:30.",TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
19,53:30:00,26:29:00,Tor (6M)! Gedeon Guardiola (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 26:29.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
20,53:25:00,,Finn Zecher (TBV Lemgo Lippe) hält den Wurf von Azat Valiullin.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
21,52:43:00,,TBV Lemgo Lippe wechselt den Torwart. Finn Zecher kommt für Leon Goldbecker.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
22,52:37:00,,Samuel Zehnder (TBV Lemgo Lippe) scheitert am Torwart Johannes Bitter (Handball Sport Verein Hamburg).,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
23,52:22:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
24,52:17:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
25,52:08:00,25:29:00,"Neuer Spielstand in Lemgo, 25:29 durch den Treffer 6M von Azat Valiullin für Handball Sport Verein Hamburg.",TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
26,51:34:00,25:28:00,Frederik Simak (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 25:28.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
27,51:29:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
28,51:18:00,24:28:00,Jacob Arenth Lassen (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT...,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
29,50:33:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
30,50:32:00,,Torwartwechsel bei TBV Lemgo Lippe. Leon Goldbecker kommt für Finn Zecher.,TBV Lemgo Lippe,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
