Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,29:29:00,"Tor von der 7-Meter Linie von Viggó Kristjánsson (SC DHfK Leipzig), neuer Spielstand 29:29.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
60:00:00,,Der eingewechselte Torwart Urh Kastelic (TBV Lemgo Lippe) steht nun zwischen den Pfosten.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:29:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,1,0,0,0,0
59:21:00,29:28:00,"Tor von der 7-Meter Linie von Samuel Zehnder (TBV Lemgo Lippe), neuer Spielstand 29:28.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:39:00,28:28:00,Luca Witzke (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 28:28.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:28:00,,"Parade des Torwarts von SC DHfK Leipzig, Mohamed Essam Moustafa El-Tayar.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:12:00,28:27:00,Patrick Wiesmach (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 28:27.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:53:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,SC DHfK Leipzig,1,0,0,0,0,0,0,0
57:25:00,,Überragende Parade des Torwarts Finn Zecher (TBV Lemgo Lippe)! Sime Ivic kann den Ball nicht im Tor unterbringen!,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:09:00,,Auszeit SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,1,0,0,0,0,0,0
56:59:00,28:26:00,"Neuer Spielstand in Lemgo, 28:26 durch den Treffer von Tim Suton für TBV Lemgo Lippe.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:16:00,,"Wurf von Jan Brosch (TBV Lemgo Lippe), aber der Ball landet nur am Pfosten.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:49:00,27:26:00,Tor! Maciej Gebala (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 27:26.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:40:00,27:25:00,Tor (6M)! Lukas Hutecek (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 27:25.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:29:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,1,0,0,0,0,0
55:15:00,,André Haber (SC DHfK Leipzig) bekommt die Gelbe Karte von Schmidt/Linker gezeigt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:58:00,,Marko Mamic von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:46:00,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) hält den Wurf von Niels Gerardus Versteijnen.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:13:00,,Luca Witzke von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:00:00,,Jan Brosch von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:34:00,,"Der Trainer von SC DHfK Leipzig, André Haber stellt nun Mohamed Essam Moustafa El-Tayar zwischen die Pfosten.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:12:00,26:25:00,Marko Mamic (SC DHfK Leipzig) trifft zum Spielstand von 26:25 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:49:00,26:24:00,Lukas Binder (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT arena: 26:24.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:10:00,,Sime Ivic mit dem Lattenkracher. Was für ein Pech.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:29:00,26:23:00,"Neuer Spielstand in Lemgo, 26:23 durch den Treffer 6M von Tim Suton für TBV Lemgo Lippe.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:56:00,,Patrick Wiesmach von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:43:00,,"Der Torwart von TBV Lemgo Lippe, Finn Zecher pariert den Wurf.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:14:00,25:23:00,Bobby Schagen (TBV Lemgo Lippe) trifft von (RA). Neuer Spielstand in PHOENIX CONTACT arena: 25:23.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:01:00,24:23:00,Tor! Luca Witzke (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 24:23.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
49:41:00,,Der eingewechselte Torwart Kristian Sæverås (SC DHfK Leipzig) steht nun zwischen den Pfosten.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
49:32:00,24:22:00,Der 7-Meter wurde von Samuel Zehnder (TBV Lemgo Lippe) erfolgreich verwandelt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
49:26:00,,Torwartwechsel bei SC DHfK Leipzig. Mohamed Essam Moustafa El-Tayar kommt für Kristian Sæverås.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:34:00,23:22,Viggó Kristjánsson (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 23:22.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:25:00,23:21,Niels Gerardus Versteijnen (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 23:21.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:46:00,22:21,Samuel Zehnder (TBV Lemgo Lippe) trifft von der 7-Meter Linie und bringt den Spielstand auf 22:21.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:47:00,21:21,Tor (RR/fern)! Luca Witzke (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 21:21.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:13:00,21:20,Samuel Zehnder (TBV Lemgo Lippe) trifft zum Spielstand von 21:20 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:12:00,,Isaias Guardiola (TBV Lemgo Lippe) scheitert am Torwart Kristian Sæverås (SC DHfK Leipzig).,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:16:00,20:20,"Neuer Spielstand in Lemgo, 20:20 durch den Treffer von Julius Meyer-Siebert für SC DHfK Leipzig.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
44:22:00,,Auszeit SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,1,0,0,0,0,0,0
44:09:00,20:19,"Neuer Spielstand in Lemgo, 20:19 durch den Treffer 6M von Frederik Simak für TBV Lemgo Lippe.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
43:19:00,19:19,Bobby Schagen (TBV Lemgo Lippe) trifft zum Spielstand von 19:19 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
43:02:00,,TBV Lemgo Lippe wechselt den Torwart. Finn Zecher kommt für Urh Kastelic.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
42:45:00,18:19,Viggó Kristjánsson (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 18:19.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
40:16:00,18:18,Tor (RM/fern)! Tim Suton (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 18:18.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
39:18:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,SC DHfK Leipzig,1,0,0,0,0,0,0,0
39:09:00,17:18,Viggó Kristjánsson (SC DHfK Leipzig) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 17:18.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
38:22:00,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,1,0,0,0
38:03:00,17:17,Lukas Binder (SC DHfK Leipzig) trifft im Tempogegenstoß zum neuen Spielstand von 17:17.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,1,0,0,0
37:25:00,17:16,"Neuer Spielstand in Lemgo, 17:16 durch den Treffer 6M von Patrick Wiesmach für SC DHfK Leipzig.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,1,0,0,0
36:50:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,1,0,1,0,0,0
36:37:00,17:15,Viggó Kristjánsson (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT arena: 17:15.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,1,0,0,0
36:20:00,,Es gibt eine 2 Minuten Strafe für Niels Gerardus Versteijnen (TBV Lemgo Lippe).,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,1,0,0,1
35:26:00,,Niels Gerardus Versteijnen von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
34:54:00,17:14,"Neuer Spielstand in Lemgo, 17:14 durch den Treffer von Lukas Binder für SC DHfK Leipzig.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
33:31:00,17:13,Tor! Samuel Zehnder (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 17:13.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
32:37:00,16:13,Maciej Gebala (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT arena: 16:13.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
32:17:00,16:12,Tor! Viggó Kristjánsson (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 16:12.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
31:15:00,,Der Wurf von Niels Gerardus Versteijnen (TBV Lemgo Lippe) landet hinter dem Tor.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
30:07:00,,Nun wird Kristian Sæverås für SC DHfK Leipzig im Tor stehen.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
HALBZ,16:11,,TBV Lemgo Lippe,SC DHfK Leipzig,,,,,,,,
30:00:00,,Der Wurfversuch von Lukas Hutecek (TBV Lemgo Lippe) wurde durch einen Block von Marino Maric verhindert.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
29:25:00,16:11,Tor (RA)! Patrick Wiesmach (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 16:11.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
28:54:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,1,0,0,0,0
28:45:00,16:10,Jan Brosch (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 16:10.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
28:19:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,SC DHfK Leipzig,1,0,0,0,0,0,0,0
28:12:00,,"Der Torwart von TBV Lemgo Lippe, Urh Kastelic hält den Wurf von Simon Ernst.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
28:03:00,,Zeitstrafe vorbei SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
27:39:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,1,0,1,0,0
27:30:00,15:10,"Neuer Spielstand in Lemgo, 15:10 durch den Treffer RA von Bobby Schagen für TBV Lemgo Lippe.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
26:45:00,,"Parade des Torwarts von TBV Lemgo Lippe, Urh Kastelic.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
26:15:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,1,0,1,0,0
26:07:00,14:10,Samuel Zehnder (TBV Lemgo Lippe) trifft von der 7-Meter Linie.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
26:02:00,,Marko Mamic (SC DHfK Leipzig) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,1,0
25:53:00,13:10,"Neuer Spielstand in Lemgo, 13:10 durch den Treffer von Sime Ivic für SC DHfK Leipzig.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
25:46:00,,Zeitstrafe vorbei SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
25:23:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,1,0,1,0,0
25:15:00,13:09,Bobby Schagen (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 13:9.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
24:41:00,12:09,Patrick Wiesmach (SC DHfK Leipzig) trifft zum Spielstand von 12:9 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
23:43,,"Nach einem harten Foul hat Simon Ernst (SC DHfK Leipzig) nun zwei Minuten Zeit, um sich auszuruhen.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,1,0
23:42,12:08,Tor! Lukas Hutecek (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 12:8.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
22:34,11:08,"Tor von der 7-Meter Linie von Viggó Kristjánsson (SC DHfK Leipzig), neuer Spielstand 11:8.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
22:02,11:07,"Neuer Spielstand in Lemgo, 11:7 durch den Treffer von Samuel Zehnder für TBV Lemgo Lippe.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
21:53,,Viggó Kristjánsson von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
21:34,,"Sime Ivic (RR/fern) wirft, jedoch neben das Tor.",TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
21:21,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
21:08,10:07,Samuel Zehnder (TBV Lemgo Lippe) trifft von der 7-Meter Linie.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
20:17,9:07,Patrick Wiesmach (SC DHfK Leipzig) trifft von (RA). Neuer Spielstand in PHOENIX CONTACT arena: 9:7.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
20:14,,Urh Kastelic (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
19:28,9:06,Niels Gerardus Versteijnen (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 9:6.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
18:35,,Der Wurf von Niels Gerardus Versteijnen (TBV Lemgo Lippe) landet hinter dem Tor.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
18:16,,Der Wurf von TBV Lemgo Lippe wurde geblockt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
17:18,8:06,Viggó Kristjánsson (SC DHfK Leipzig) trifft zum Spielstand von 8:6 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
17:01,,Zeitstrafe vorbei SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
16:28,,Fehlwurf von Tim Suton (TBV Lemgo Lippe).,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
16:20,,Parade von Torwart Urh Kastelic (TBV Lemgo Lippe).,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
15:37,,Siebter Spieler eingewechselt SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,1,0,1,0,0
15:26,8:05,Samuel Zehnder (TBV Lemgo Lippe) trifft von der 7-Meter Linie und bringt den Spielstand auf 8:5.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,0,0
14:58,,Patrick Wiesmach geht den Gegner zu stark an. SC DHfK Leipzig muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,1,1,0
14:40,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,1,0,0,0
14:06,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,1,0,1,0,0,0
13:51,,Viggó Kristjánsson von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,1,0,0,0
12:30,7:05,Der 7-Meter wurde von Viggó Kristjánsson (SC DHfK Leipzig) erfolgreich verwandelt.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,1,0,0,0
12:26,,Frederik Simak (TBV Lemgo Lippe) erhält eine 2 Minuten Strafe.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,1,0,0,1
12:02,,Auszeit SC DHfK Leipzig,TBV Lemgo Lippe,SC DHfK Leipzig,0,1,0,0,0,0,0,0
11:52,7:04,Samuel Zehnder (TBV Lemgo Lippe) überwindet den Torwart von (LA) zum neuen Spielstand von 7:4.,TBV Lemgo Lippe,SC DHfK Leipzig,0,0,0,0,0,0,0,0
