Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:51:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SC Magdeburg,0,0,1,0,0,0,0,0
59:33:00,28:34:00,Gisli Thorgeir Kristjansson (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 28:34.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,0,0,0,0
58:51:00,,"Chance für Niels Gerardus Versteijnen (TBV Lemgo Lippe), er trifft aber nur den Pfosten.",TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,0,0,0,0
58:38:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SC Magdeburg,0,0,1,0,0,0,0,0
58:22:00,28:33:00,Tor! Tim Hornke (SC Magdeburg) netzt ein zum neuen Spielstand von 28:33.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,0,0,0,0
57:52:00,28:32:00,Niels Gerardus Versteijnen (TBV Lemgo Lippe) trifft zum Spielstand von 28:32 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,0,0,0,0
56:50:00,27:32:00,"Neuer Spielstand in Lemgo, 27:32 durch den Treffer LA von Kian Schwarzer für TBV Lemgo Lippe.",TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,0,0,0,0
56:32:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SC Magdeburg,0,0,1,0,0,0,0,0
56:15:00,,"Der Torwart von TBV Lemgo Lippe, Finn Zecher pariert den Wurf.",TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,0,0,0,0
55:34:00,,Nikola Portner (SC Magdeburg) hält den Wurf von Gedeon Guardiola.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,0,0,0,0
54:23:00,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,1,0,0,0
54:12:00,26:32:00,Tor (6M)! Gisli Thorgeir Kristjansson (SC Magdeburg) netzt ein zum neuen Spielstand von 26:32.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,1,0,0,0
53:59:00,26:31:00,Niels Gerardus Versteijnen (TBV Lemgo Lippe) trifft von (RM/fern). Neuer Spielstand in PHOENIX CONTACT Arena: 26:31.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,1,0,0,0
53:47:00,25:31:00,Vladan Lipovina (SC Magdeburg) trifft zum Spielstand von 25:31 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,1,0,0,0
53:18:00,,"Der Torwart von SC Magdeburg, Nikola Portner hält den Wurf von Jan Brosch.",TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,1,0,0,0
52:58:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SC Magdeburg,0,0,1,0,1,0,0,0
52:21:00,,Tim Suton (TBV Lemgo Lippe) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,1,0,0,1
52:21:00,25:30:00,Oscar Bergendahl (SC Magdeburg) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 25:30.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,0,0,0,0
51:15:00,25:29:00,Tor (LA)! Kian Schwarzer (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 25:29.,TBV Lemgo Lippe,SC Magdeburg,0,0,0,0,0,0,0,0
