Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:29:00,26:21:00,"Neuer Spielstand in Lemgo, 26:21 durch den Treffer von Johan Hansen für SG Flensburg-Handewitt.",TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:10:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
58:51:00,26:20:00,Tor! Lukas Hutecek (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 26:20.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:25:00,,"Parade des Torwarts von SG Flensburg-Handewitt, Benjamin Buric.",TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:16:00,,Parade von Torwart Benjamin Buric (SG Flensburg-Handewitt).,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:45:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
57:35:00,25:20:00,Franz Semper (SG Flensburg-Handewitt) trifft zum Spielstand von 25:20 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:24:00,25:19:00,"Neuer Spielstand in Lemgo, 25:19 durch den Treffer 6M von Bobby Schagen für TBV Lemgo Lippe.",TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:47:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
56:37:00,24:19:00,Tor (LA)! Emil Jakobsen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 24:19.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:31:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
56:18:00,24:18:00,Frederik Simak (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 24:18.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
55:54:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
55:32:00,23:18,Johannes Golla (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT arena: 23:18.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
55:02:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
54:53:00,23:17,Tor (RA)! Lukas Zerbe (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 23:17.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
54:35:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
54:21:00,22:17,Simon Hald Jensen (SG Flensburg-Handewitt) überwindet den Torwart von (6M) zum neuen Spielstand von 22:17.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
54:01:00,22:16,"Tor Gedeon Guardiola, TBV Lemgo Lippe",TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
54:00:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
53:05:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
52:53:00,21:16,Lukas Hutecek (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT arena: 21:16.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
52:09:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
51:59:00,20:16,Lasse Kjær Møller (SG Flensburg-Handewitt) trifft zum Spielstand von 20:16 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
51:47:00,,Auszeit SG Flensburg-Handewitt,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
51:47:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
51:33:00,20:15,Samuel Zehnder (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 20:15.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
51:15:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
50:52:00,,Urh Kastelic (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
50:50:00,,Parade von Torwart Urh Kastelic (TBV Lemgo Lippe).,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
50:20:00,19:15,Lukas Hutecek (TBV Lemgo Lippe) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 19:15.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
50:08:00,,"Der Torwart von TBV Lemgo Lippe, Urh Kastelic pariert den Wurf.",TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
49:55:00,,Nun wird Benjamin Buric für SG Flensburg-Handewitt im Tor stehen.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
49:42:00,,"Der Torwart von TBV Lemgo Lippe, Urh Kastelic hält den Wurf von Franz Semper.",TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
48:40:00,,Gedeon Guardiola von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
48:15:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
48:03:00,18:15,Tor! Simon Hald Jensen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 18:15.,TBV Lemgo Lippe,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
