,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:51:00,,Tilen Kodrin (VfL Gummersbach) trifft zum Spielstand von 26:30 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
2,59:37:00,26:29:00,Tor! Gedeon Guardiola (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 26:29.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
3,59:26:00,,Überragende Parade des Torwarts Tibor Ivanisevic (VfL Gummersbach)! Samuel Zehnder kann den Ball nicht im Tor unterbringen!,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
4,58:55:00,25:29:00,Tor (6M)! Lukas Blohme (VfL Gummersbach) netzt ein zum neuen Spielstand von 25:29.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
5,58:47:00,,Lukas Hutecek (TBV Lemgo Lippe) trifft nur den Pfosten.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
6,58:19:00,25:28:00,Samuel Zehnder (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 25:28.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
7,58:04:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,VfL Gummersbach,0,0,1,0,0,0,0,0
8,58:02:00,,Zeitstrafe vorbei VfL Gummersbach,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,1,0,0
9,57:47:00,24:28:00,Tor (6M)! Tilen Kodrin (VfL Gummersbach) netzt ein zum neuen Spielstand von 24:28.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,1,0,0
10,57:37:00,,Siebter Spieler eingewechselt VfL Gummersbach,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,1,0,1,0,0
11,57:35:00,,Auszeit VfL Gummersbach,TBV Lemgo Lippe,VfL Gummersbach,0,1,0,0,0,1,0,0
12,57:15:00,,Niels Gerardus Versteijnen von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,1,0,0
13,56:59:00,,Julian Köster von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,1,0,0
14,56:32:00,,Siebter Spieler eingewechselt VfL Gummersbach,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,1,0,1,0,0
15,56:00:00,24:27:00,"Tor von der 7-Meter Linie von Samuel Zehnder (TBV Lemgo Lippe), neuer Spielstand 24:27.",TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,1,0,0
16,55:56:00,,Es gibt eine 2 Minuten Strafe für Tom Kiesler (VfL Gummersbach).,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,1,1,0
17,55:38:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,VfL Gummersbach,0,0,1,0,0,0,0,0
18,55:33:00,23:27,Dominik Mappes (VfL Gummersbach) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 23:27.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
19,55:00:00,,Emil Buhl Lærke (TBV Lemgo Lippe) trifft nur den Pfosten.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
20,54:45:00,,Siebter Spieler eingewechselt TBV Lemgo Lip,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
21,54:29:00,,Fehlwurf von Tom Jansen (VfL Gummersbach).,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
22,54:04:00,,Siebter Spieler eingewechselt VfL Gummersbach,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,1,0,0,0,0
23,54:00:00,,Zeitstrafe vorbei VfL Gummersbach,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,1,0,0
24,53:48:00,23:26,"Neuer Spielstand in Lemgo, 23:26 durch den Treffer LA von Samuel Zehnder für TBV Lemgo Lippe.",TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,1,0,0
25,53:42:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,VfL Gummersbach,0,0,1,0,0,1,0,0
26,53:34:00,22:26,Miro Schluroff (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 22:26.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,1,0,0
27,53:06:00,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,1,1,0,0
28,53:06:00,22:25,"Tor Niels Gerardus Versteijnen, TBV Lemgo Lippe",TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,1,1,0,0
29,53:04:00,,Siebter Spieler eingewechselt VfL Gummersbach,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,1,1,1,0,0
30,52:47:00,21:25,Tor! Miro Schluroff (VfL Gummersbach) netzt ein zum neuen Spielstand von 21:25.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,1,1,0,0
31,52:20:00,,Siebter Spieler eingewechselt VfL Gummersbach,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,1,1,1,0,0
32,51:53:00,,"Nach einem harten Foul hat Julian Köster (VfL Gummersbach) nun zwei Minuten Zeit, um sich auszuruhen.",TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,1,1,1,0
33,51:37:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,VfL Gummersbach,0,0,1,0,1,0,0,0
34,51:06:00,,Emil Buhl Lærke (TBV Lemgo Lippe) erhält eine 2 Minuten Strafe.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,1,0,0,1
35,51:05:00,21:24,Tom Jansen (VfL Gummersbach) trifft zum Spielstand von 21:24 in PHOENIX CONTACT arena.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
36,50:44:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
37,50:12:00,21:23,"Neuer Spielstand in Lemgo, 21:23 durch den Treffer von Gedeon Guardiola für TBV Lemgo Lippe.",TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
38,49:52:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,VfL Gummersbach,1,0,0,0,0,0,0,0
39,49:52:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,VfL Gummersbach,0,0,1,0,0,0,0,0
40,49:17:00,20:23,Ellidi Snaer Vidarsson (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 20:23.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
41,48:14:00,,"Der Towart von TBV Lemgo Lippe, Finn Zecher pariert den gegebenen 7-Meter.",TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
42,48:08:00,,TBV Lemgo Lippe wechselt den Torwart. Finn Zecher kommt für Urh Kastelic.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
43,47:27:00,20:22,Der 7-Meter wurde von Samuel Zehnder (TBV Lemgo Lippe) erfolgreich verwandelt.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
44,47:02:00,,Der Wurf von Tom Jansen (VfL Gummersbach) landet hinter dem Tor.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
45,45:52:00,,Tibor Ivanisevic (VfL Gummersbach) hält den Wurf von Gedeon Guardiola.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
46,45:16:00,19:22,Tor (RL/fern)! Julian Köster (VfL Gummersbach) netzt ein zum neuen Spielstand von 19:22.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
47,44:43:00,,"Niels Gerardus Versteijnen (RR/fern) wirft, jedoch neben das Tor.",TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
48,44:30:00,,Ellidi Snaer Vidarsson von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
49,43:53:00,19:21,Bobby Schagen (TBV Lemgo Lippe) trifft von (RA). Neuer Spielstand in PHOENIX CONTACT arena: 19:21.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
50,43:41:00,18:21,Ellidi Snaer Vidarsson (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 18:21.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
51,43:17:00,,Auszeit VfL Gummersbach,TBV Lemgo Lippe,VfL Gummersbach,0,1,0,0,0,0,0,0
52,43:02:00,,Gedeon Guardiola (TBV Lemgo Lippe) scheitert am Torwart Tibor Ivanisevic (VfL Gummersbach).,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
53,42:30:00,,"Dominik Mappes wirft auf das Tor, trifft aber nur den Pfosten.",TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
54,41:32:00,18:20,Tor! Niels Gerardus Versteijnen (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 18:20.,TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
55,41:02:00,17:20,"Neuer Spielstand in Lemgo, 17:20 durch den Treffer RM/fern von Dominik Mappes für VfL Gummersbach.",TBV Lemgo Lippe,VfL Gummersbach,0,0,0,0,0,0,0,0
