Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:53:00,30:25:00,Samuel Zehnder (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 30:25.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:21:00,29:25:00,Lukas Hutecek (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 29:25.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:48:00,,Björn Zintel (ASV Hamm-Westfalen) scheitert am Torwart Urh Kastelic (TBV Lemgo Lippe).,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:37:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:25:00,,Fehlwurf von Alexander Schulze (ASV Hamm-Westfalen).,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:25:00,28:25:00,Jan Pretzewofsky (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 28:25.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:40:00,28:24:00,"Neuer Spielstand in Lemgo, 28:24 durch den Treffer von Emil Buhl Lærke für TBV Lemgo Lippe.",TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:26:00,,Auszeit ASV Hamm-Westfalen,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
57:12:00,28:24:00,28:24 durch den Treffer von Emil Buhl Lærke für TBV Lemgo Lippe.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:37:00,,Alexander Schulze von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:59:00,,"Der Torwart von ASV Hamm-Westfalen, Felix Hertlein pariert den Wurf.",TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:25:00,,"Parade des Torwarts von TBV Lemgo Lippe, Urh Kastelic.",TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:19:00,,Bobby Schagen mit dem Lattenkracher. Was für ein Pech.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:42:00,27:24:00,"Neuer Spielstand in Lemgo, 27:24 durch den Treffer 6M von Stefan Bauer für ASV Hamm-Westfalen.",TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:31:00,27:23:00,Emil Buhl Lærke (TBV Lemgo Lippe) trifft zum Spielstand von 27:23 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:53:00,,Urh Kastelic (TBV Lemgo Lippe) hält den Wurf von Jan Von Boenigk.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:24:00,,ASV Hamm-Westfalen wechselt den Torwart. Felix Hertlein kommt für Vladimir Bozic.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:22:00,26:23:00,"Tor von der 7-Meter Linie von Samuel Zehnder (TBV Lemgo Lippe), neuer Spielstand 26:23.",TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:14:00,,Der eingewechselte Torwart Vladimir Bozic (ASV Hamm-Westfalen) steht nun zwischen den Pfosten.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
52:30:00,,Tor (6M)! Stefan Bauer (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 25:23.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
52:04:00,,Felix Hertlein (ASV Hamm-Westfalen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
51:56:00,25:22:00,Der 7-Meter wurde von Samuel Zehnder (TBV Lemgo Lippe) erfolgreich verwandelt.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
51:52:00,,Nun wird Vladimir Bozic für ASV Hamm-Westfalen im Tor stehen.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
51:16:00,,Yonatan Dayan (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 24:22.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
50:46:00,,Parade von Torwart Felix Hertlein (ASV Hamm-Westfalen).,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
50:31:00,,Der Wurfversuch von Emil Buhl Lærke (TBV Lemgo Lippe) wurde durch einen Block von Jan Von Boenigk verhindert.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
50:02:00,,Florian Kehrmann von TBV Lemgo Lippe wurde mit der Gelben Karte von Dorff/Dorff verwarnt.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:59:00,24:21:00,Tor! Yonatan Dayan (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 24:21.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:27:00,,Lukas Hutecek von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
48:13:00,24:20:00,Jan Von Boenigk (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 24:20.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
47:25:00,24:19:00,Tor! Lukas Zerbe (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 24:19.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
47:10:00,,"Wurf von Lukas Zerbe (TBV Lemgo Lippe), aber der Ball landet nur am Pfosten.",TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
46:49:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
46:31:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
46:18:00,,Urh Kastelic (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
45:51:00,,Auszeit ASV Hamm-Westfalen,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,1,0,0,0,1,0,0
45:45:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
45:12:00,23:19,"Neuer Spielstand in Lemgo, 23:19 durch den Treffer RA von Lukas Zerbe für TBV Lemgo Lippe.",TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
44:57:00,,Michael Lerscht (ASV Hamm-Westfalen) bekommt die Gelbe Karte von Dorff/Dorff gezeigt.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
44:47:00,,Stefan Bauer von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
