Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,38:28:00,Die Vorbereitung von Bobby Schagen (TBV Lemgo Lippe) führt zum Treffer durch Jan Brosch.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
59:10:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
59:00:00,,"Niko Blaauw (RM/fern) wirft, jedoch neben das Tor.",TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
58:21:00,37:28:00,Tomas Babak (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 37:28.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
57:40:00,37:27:00,Tor! Niels Gerardus Versteijnen (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 37:27.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
56:59:00,36:27:00,Tor (6M)! Frederik Ladefoged (Bergischer HC) netzt ein zum neuen Spielstand von 36:27.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
56:28:00,36:26:00,"Neuer Spielstand in Lemgo, 36:26 durch den Treffer von Kian Schwarzer für TBV Lemgo Lippe.",TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
55:51:00,35:26:00,Tor! Arnor Thor Gunnarsson (Bergischer HC) netzt ein zum neuen Spielstand von 35:26.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
54:58:00,35:25:00,"Neuer Spielstand in Lemgo, 35:25 durch den Treffer 6M von Arnor Thor Gunnarsson für Bergischer HC.",TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
54:54:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade beim 7-Meter.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
54:10:00,,Bergischer HC wechselt den Torwart. Peter Johannesson kommt für Christopher Rudeck.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
53:56:00,35:24:00,Samuel Zehnder (TBV Lemgo Lippe) trifft von der 7-Meter Linie und bringt den Spielstand auf 35:24.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
53:46:00,,Torwartwechsel bei Bergischer HC. Christopher Rudeck kommt für Peter Johannesson.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
53:35:00,,Überragende Parade des Torwarts Finn Zecher (TBV Lemgo Lippe)! Tomas Babak kann den Ball nicht im Tor unterbringen!,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
53:19:00,,Zeitstrafe vorbei Bergischer HC,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,1,0,0
53:08:00,,Siebter Spieler eingewechselt Bergischer HC,TBV Lemgo Lippe,Bergischer HC,0,0,0,1,0,1,0,0
52:55:00,34:24:00,Samuel Zehnder (TBV Lemgo Lippe) trifft von der 7-Meter Linie und bringt den Spielstand auf 34:24.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,1,0,0
52:00:00,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,1,0,0
51:50:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Bergischer HC,0,0,1,0,1,1,0,0
51:44:00,,Parade von Torwart Finn Zecher (TBV Lemgo Lippe).,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,1,0,0
51:17:00,,Siebter Spieler eingewechselt Bergischer HC,TBV Lemgo Lippe,Bergischer HC,0,0,0,1,1,1,0,0
51:16:00,,2-Minuten-Strafe für Alexander Weck. Bergischer HC muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,1,1,0
51:15:00,33:24:00,Lukas Zerbe (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 33:24.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,0
50:30:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Bergischer HC,0,0,1,0,1,0,0,0
50:22:00,32:24:00,"Neuer Spielstand in Lemgo, 32:24 durch den Treffer von Alexander Weck für Bergischer HC.",TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,0
49:57:00,,Niels Gerardus Versteijnen geht den Gegner zu stark an. TBV Lemgo Lippe muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,1
49:56:00,,Niels Gerardus Versteijnen von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
49:14:00,32:23:00,Linus Arnesson (Bergischer HC) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 32:23.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
48:43:00,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,0
48:42:00,32:22:00,Lukas Zerbe (TBV Lemgo Lippe) trifft zum Spielstand von 32:22 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,0
48:02:00,31:22:00,Gedeon Guardiola (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 31:22.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,0
47:38:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Bergischer HC,0,0,1,0,1,0,0,0
47:33:00,30:22:00,Tor (RA)! Arnor Thor Gunnarsson (Bergischer HC) netzt ein zum neuen Spielstand von 30:22.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,0
47:25:00,,Gedeon Guardiola (TBV Lemgo Lippe) scheitert am Torwart Peter Johannesson (Bergischer HC).,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,0
47:21:00,,"Parade des Torwarts von Bergischer HC, Peter Johannesson.",TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,0
46:39:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,TBV Lemgo Lippe,Bergischer HC,0,0,1,0,1,0,0,0
46:39:00,30:21:00,"Neuer Spielstand in Lemgo, 30:21 durch den Treffer 6M von Elias Scholtes für Bergischer HC.",TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,0
46:38:00,,Jan Brosch (TBV Lemgo Lippe) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,1,0,0,1
45:45:00,30:20:00,Jan Brosch (TBV Lemgo Lippe) trifft zum Spielstand von 30:20 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
45:11:00,,Elias Scholtes mit dem Lattenkracher. Was für ein Pech.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
44:09:00,29:20:00,"Neuer Spielstand in Lemgo, 29:20 durch den Treffer von Niels Gerardus Versteijnen für TBV Lemgo Lippe.",TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,0,0,0
43:53:00,,Zeitstrafe vorbei Bergischer HC,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,1,0,0
43:48:00,28:20:00,Tor! Tomas Babak (Bergischer HC) netzt ein zum neuen Spielstand von 28:20.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,1,0,0
43:19:00,28:19:00,Tor (6M)! Lukas Zerbe (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 28:19.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,1,0,0
42:55:00,,Auszeit Bergischer HC,TBV Lemgo Lippe,Bergischer HC,0,1,0,0,0,1,0,0
42:47:00,27:19:00,Frederik Simak (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 27:19.,TBV Lemgo Lippe,Bergischer HC,0,0,0,0,0,1,0,0
42:22:00,,Siebter Spieler eingewechselt Bergischer HC.,TBV Lemgo Lippe,Bergischer HC,0,0,0,1,0,1,0,0
