Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:56:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:25:00,,Jaka Malus (FRISCH AUF! Göppingen) scheitert am Torwart Finn Zecher (TBV Lemgo Lippe).,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:10:00,36:33:00,Niels Gerardus Versteijnen (TBV Lemgo Lippe) trifft zum Spielstand von 36:33 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:44:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,FRISCH AUF! Göppingen,1,0,0,0,0,0,0,0
58:14:00,35:33:00,Lukas Hutecek (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 35:33.,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:13:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
57:49:00,,Überragende Parade des Torwarts Daniel Rebmann (FRISCH AUF! Göppingen)! Bobby Schagen kann den Ball nicht im Tor unterbringen!,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
57:13:00,34:33:00,"Neuer Spielstand in Lemgo, 34:33 durch den Treffer 6M von Jaka Malus für FRISCH AUF! Göppingen.",TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
56:51:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
56:50:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
56:33:00,,Niels Gerardus Versteijnen von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
56:10:00,,Kresimir Kozina (FRISCH AUF! Göppingen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
56:51:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
55:54:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
55:42:00,34:32:00,Lukas Hutecek (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 34:32.,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
55:35:00,,Parade von Torwart Finn Zecher (TBV Lemgo Lippe).,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
55:09:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
54:54:00,33:32:00,"Tor von der 7-Meter Linie von Samuel Zehnder (TBV Lemgo Lippe), neuer Spielstand 33:32.",TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
54:50:00,,2-Minuten-Strafe für Josip Sarac. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
54:12:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,1,0,0,0,0,0
53:57:00,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
53:31:00,,"Parade des Torwarts von FRISCH AUF! Göppingen, Daniel Rebmann.",TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
53:19:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,1,0,1,0,0,0
52:36:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,1,0,1,0,0,0
52:26:00,32:31:00,"Neuer Spielstand in Lemgo, 32:31 durch den Treffer von Kevin Maageroe Gulliksen für FRISCH AUF! Göppingen.",TBV Lemgo Lippe,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
