Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade beim 7-Meter.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
59:30:00,,"Der Torwart von Füchse Berlin, Dejan Milosavljev pariert den Wurf.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
58:53:00,,"Mathias Gidsel (RM/fern) wirft, jedoch neben das Tor.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
58:41:00,35:32:00,Niels Gerardus Versteijnen (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 35:32.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
58:04:00,,Mathias Gidsel (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 34:32.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
58:01:00,,Matthes Langhoff (Füchse Berlin) scheitert am Torwart Finn Zecher (TBV Lemgo Lippe).,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
57:45:00,34:31:00,Tor! Gedeon Guardiola (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 34:31.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
56:33:00,,"Neuer Spielstand in Lemgo, 33:31 durch den Treffer von Matthes Langhoff für Füchse Berlin.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
56:16:00,33:30:00,Jan Brosch (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 33:30.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
55:40:00,,"Der Torwart von TBV Lemgo Lippe, Finn Zecher hält den Wurf von Max Darj.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
54:53:00,32:30:00,"Neuer Spielstand in Lemgo, 32:30 durch den Treffer 6M von Tim Suton für TBV Lemgo Lippe.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
54:20:00,31:30:00,Tor (6M)! Mathias Gidsel (Füchse Berlin) netzt ein zum neuen Spielstand von 31:30.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
54:02:00,31:29:00,Niels Gerardus Versteijnen (TBV Lemgo Lippe) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 31:29.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
53:20:00,30:29:00,Jacob Holm (Füchse Berlin) trifft zum Spielstand von 30:29 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
53:02:00,,Auszeit Füchse Berlin,TBV Lemgo Lippe,Füchse Berlin,0,1,0,0,0,0,0,0
52:28:00,30:28:00,Kian Schwarzer (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 30:28.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
52:20:00,,Parade von Torwart Finn Zecher (TBV Lemgo Lippe).,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
51:52:00,,"Gute Torchance, aber Lukas Hutecek (TBV Lemgo Lippe) kann diese nicht erfolgreich verwandeln.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
50:29:00,,"Der Trainer von Füchse Berlin, Jaron Siewert stellt nun Dejan Milosavljev zwischen die Pfosten.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
50:15:00,29:28:00,Niels Gerardus Versteijnen (TBV Lemgo Lippe) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 29:28.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
49:47:00,,Fehlwurf von Mijajlo Marsenic (Füchse Berlin).,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
49:35:00,,"Parade des Torwarts von Füchse Berlin, Victor Kireev.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
49:15:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,Füchse Berlin,1,0,0,0,0,0,0,0
49:08:00,,"Nils Lichtlein (6M) wirft, jedoch neben das Tor.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
48:45:00,,Zeitstrafe vorbei Füchse Berlin,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,1,0,0
48:22:00,,Der Wurf von Finn Zecher (TBV Lemgo Lippe) landet hinter dem Tor.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,1,0,0
48:15:00,,Der Wurf von Füchse Berlin wurde geblockt.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,1,0,0
48:05:00,,Siebter Spieler eingewechselt Füchse Berlin,TBV Lemgo Lippe,Füchse Berlin,0,0,0,1,0,1,0,0
47:26:00,28:28:00,"Neuer Spielstand in Lemgo, 28:28 durch den Treffer 6M von Jan Brosch für TBV Lemgo Lippe.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,1,0,0
46:40:00,,Tim Freihöfer geht den Gegner zu stark an. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,1,1,0
45:56:00,,Zeitstrafe vorbei Füchse Berlin,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,1,0,0
45:52:00,27:28:00,"Neuer Spielstand in Lemgo, 27:28 durch den Treffer von Mijajlo Marsenic für Füchse Berlin.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,1,0,0
45:34:00,,Siebter Spieler eingewechselt Füchse Berlin,TBV Lemgo Lippe,Füchse Berlin,0,0,0,1,0,1,0,0
45:16:00,27:27:00,Kian Schwarzer (TBV Lemgo Lippe) trifft zum Spielstand von 27:27 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,1,0,0
45:00:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Füchse Berlin,0,0,1,0,0,1,0,0
44:56:00,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,1,1,0,0
44:47:00,,Finn Zecher (TBV Lemgo Lippe) hält den Wurf von Lasse Bredekjaer Andersson.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,1,1,0,0
44:10:00,26:27:00,Tor (6M)! Niels Gerardus Versteijnen (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 26:27.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,1,1,0,0
43:50:00,,Es gibt eine 2 Minuten Strafe für Marko Kopljar (Füchse Berlin).,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,1,1,1,0
43:45:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Füchse Berlin,0,0,1,0,1,0,0,0
43:06:00,,Tor! Lasse Bredekjaer Andersson (Füchse Berlin) netzt ein zum neuen Spielstand von 25:27.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,1,0,0,0
42:53:00,,Jan Brosch (TBV Lemgo Lippe) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,1,0,0,1
41:57:00,25:26:00,Kian Schwarzer (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 25:26.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
41:44:00,,Überragende Parade des Torwarts Finn Zecher (TBV Lemgo Lippe)! Lasse Bredekjaer Andersson kann den Ball nicht im Tor unterbringen!,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
40:50:00,24:26:00,Hans Lindberg (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 24:26.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
40:21:00,,Der eingewechselte Torwart Victor Kireev (Füchse Berlin) steht nun zwischen den Pfosten.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
40:11:00,24:25:00,"Neuer Spielstand in Lemgo, 24:25 durch den Treffer RA von Lukas Zerbe für TBV Lemgo Lippe.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
39:59:00,,Mathias Gidsel (Füchse Berlin) trifft zum Spielstand von 23:25 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
39:18:00,23:24,Tor! Gedeon Guardiola (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 23:24.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
39:03:00,,Mijajlo Marsenic blockt den Wurf von Niels Gerardus Versteijnen.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
38:56:00,,Der Wurf von TBV Lemgo Lippe wurde geblockt.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
38:08:00,22:24,Mijajlo Marsenic (Füchse Berlin) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 22:24.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
37:57:00,22:23,Tor (6M)! Kian Schwarzer (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 22:23.,TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
37:28:00,,Auszeit Füchse Berlin,TBV Lemgo Lippe,Füchse Berlin,0,1,0,0,0,0,0,0
37:18:00,21:23,"Tor von der 7-Meter Linie von Samuel Zehnder (TBV Lemgo Lippe), neuer Spielstand 21:23.",TBV Lemgo Lippe,Füchse Berlin,0,0,0,0,0,0,0,0
