Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:28:00,,Urh Kastelic (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:20:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,1,0,0,0,0
59:03:00,35:30:00,Emil Buhl Lærke (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 35:30.,TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:14:00,,Marius Steinhauser von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:06:00,34:30:00,Tor für TBV Lemgo Lippe durch Lukas Zerbe nach einem Pass von Emil Buhl Lærke.,TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:32:00,33:30:00,Renars Uscins (Hannover-Burgdorf) durchbricht die Abwehr und trifft zum 33:30.,TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:23:00,,Der Wurf von Niels Gerardus Versteijnen (TBV Lemgo Lippe) landet hinter dem Tor.,TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:18:00,,Justus Fischer blockt den Wurf von Emil Buhl Lærke.,TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:32:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,Hannover-Burgdorf,0,0,1,0,0,0,0,0
56:14:00,,"Der Towart von TBV Lemgo Lippe, Urh Kastelic pariert den gegebenen 7-Meter.",TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:31:00,33:29:00,"Neuer Spielstand in Lemgo, 33:29 durch den Treffer von Emil Buhl Lærke für TBV Lemgo Lippe.",TBV Lemgo Lippe,Hannover-Burgdorf,0,0,0,0,0,0,0,0
