Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:48:00,22:28,Lukas Zerbe (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 22:28.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
59:39:00,,"Parade des Torwarts von TBV Lemgo Lippe, Urh Kastelic.",TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
58:57:00,21:28,Lukas Zerbe (TBV Lemgo Lippe) trifft von (RA). Neuer Spielstand in PHOENIX CONTACT Arena: 21:28.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
58:21:00,20:28,"Neuer Spielstand in Lemgo, 20:28 durch den Treffer von Sander Sagosen für THW Kiel.",TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
57:42:00,20:27,"Neuer Spielstand in Lemgo, 20:27 durch den Treffer RM/fern von Sander Sagosen für THW Kiel.",TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
57:03:00,,Der Wurf von Niels Gerardus Versteijnen (TBV Lemgo Lippe) landet hinter dem Tor.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
56:25:00,20:26,Domagoj Duvnjak (THW Kiel) trifft zum Spielstand von 20:26 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
55:42:00,20:25,"Tor von der 7-Meter Linie von Magnus Landin (THW Kiel), neuer Spielstand 20:25.",TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
54:34:00,20:24,Sander Sagosen (THW Kiel) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 20:24.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
54:07:00,,Siebter Spieler eingewechselt THW Kiel,TBV Lemgo Lippe,THW Kiel,0,0,0,1,0,0,0,0
54:03:00,,Der eingewechselte Torwart Urh Kastelic (TBV Lemgo Lippe) steht nun zwischen den Pfosten.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
53:52:00,,"Der Torwart von THW Kiel, Niklas Landin pariert den Wurf.",TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
53:19:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,THW Kiel,0,0,1,0,0,0,0,0
52:38:00,20:22,"Tor Gedeon Guardiola, TBV Lemgo Lippe",TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
52:19:00,19:22,Harald Reinkind (THW Kiel) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 19:22.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
51:55:00,,Siebter Spieler eingewechselt THW Kiel,TBV Lemgo Lippe,THW Kiel,0,0,0,1,0,0,0,0
51:40:00,19:21,Lukas Zerbe (TBV Lemgo Lippe) trifft zum Spielstand von 19:21 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
51:35:00,,Lukas Hutecek (TBV Lemgo Lippe) trifft nur den Pfosten.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
50:54:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,THW Kiel,0,0,1,0,0,0,0,0
50:44:00,18:21,Tor (6M)! Sander Sagosen (THW Kiel) netzt ein zum neuen Spielstand von 18:21.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
50:21:00,,Siebter Spieler eingewechselt THW Kiel,TBV Lemgo Lippe,THW Kiel,0,0,0,1,0,0,0,0
50:20:00,,Auszeit THW Kiel,TBV Lemgo Lippe,THW Kiel,0,1,0,0,0,0,0,0
50:04:00,,Zeitstrafe vorbei TBV Lemgo Lippe,TBV Lemgo Lippe,THW Kiel,0,0,0,0,1,0,0,0
50:02:00,,"Parade von Niklas Landin, Niels Gerardus Versteijnen vergibt von der 7-Meter Linie!",TBV Lemgo Lippe,THW Kiel,0,0,0,0,1,0,0,0
49:18:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,THW Kiel,0,0,1,0,1,0,0,0
49:09:00,,"Eric Johansson (RM/fern) wirft, jedoch neben das Tor.",TBV Lemgo Lippe,THW Kiel,0,0,0,0,1,0,0,0
48:59:00,18:20,"Tor Harald Reinkind, THW Kiel",TBV Lemgo Lippe,THW Kiel,0,0,0,0,1,0,0,0
48:47:00,18:19,"Tor Lukas Zerbe, TBV Lemgo Lippe",TBV Lemgo Lippe,THW Kiel,0,0,0,0,1,0,0,0
48:01:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,THW Kiel,0,0,1,0,1,0,0,0
47:41:00,,Siebter Spieler eingewechselt THW Kiel,TBV Lemgo Lippe,THW Kiel,0,0,0,1,1,0,0,0
47:01:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,THW Kiel,0,0,1,0,1,0,0,0
47:00:00,,Es gibt eine 2 Minuten Strafe für Tim Suton (TBV Lemgo Lippe).,TBV Lemgo Lippe,THW Kiel,0,0,0,0,1,0,0,1
46:50:00,,"Der Torwart von TBV Lemgo Lippe, Finn Zecher hält den Wurf von Eric Johansson.",TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
46:43:00,,Lukas Hutecek blockt den Wurf von Miha Zarabec.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
46:19:00,,Siebter Spieler eingewechselt THW Kiel,TBV Lemgo Lippe,THW Kiel,0,0,0,1,0,0,0,0
46:01:00,17:19,"Neuer Spielstand in Lemgo, 17:19 durch den Treffer 6M von Gedeon Guardiola für TBV Lemgo Lippe.",TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
45:21:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,TBV Lemgo Lippe,THW Kiel,0,0,1,0,0,0,0,0
45:18:00,,Auszeit TBV Lemgo Lippe,TBV Lemgo Lippe,THW Kiel,1,0,0,0,0,0,0,0
45:10:00,,"Neuer Spielstand in Lemgo, 16:19 durch den Treffer von Harald Reinkind für THW Kiel.",TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
45:01:00,,Siebter Spieler eingewechselt THW Kiel,TBV Lemgo Lippe,THW Kiel,0,0,0,1,0,0,0,0
44:37:00,,Wurf gehalten TBV Lemgo Lippe,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
44:30:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,THW Kiel,0,0,0,0,0,0,0,0
44:08:00,,Siebter Spieler eingewechselt THW Kiel,TBV Lemgo Lippe,THW Kiel,0,0,0,1,0,0,0,0
