Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,"Wurf von Jan Luca Mauch (TVB Stuttgart), aber der Ball landet nur am Pfosten.",TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,1,0,0
59:28:00,29:24:00,Lukas Zerbe (TBV Lemgo Lippe) trifft zum Spielstand von 29:24 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,1,0,0
59:06:00,28:24:00,Tor! Adam Lönn (TVB Stuttgart) netzt ein zum neuen Spielstand von 28:24.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,1,0,0
58:13:00,,Der Spieler Samuel Zehnder von TBV Lemgo Lippe vergibt den 7-Meter.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,1,0,0
58:06:00,,Nico Schöttle (TVB Stuttgart) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,1,1,0
57:20:00,28:23:00,Tor (6M)! Sascha Pfattheicher (TVB Stuttgart) netzt ein zum neuen Spielstand von 28:23.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
56:41:00,28:22:00,Nico Schöttle (TVB Stuttgart) trifft von (6M). Neuer Spielstand in PHOENIX CONTACT Arena: 28:22.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
56:27:00,,Der Wurf von Gedeon Guardiola (TBV Lemgo Lippe) landet hinter dem Tor.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
56:13:00,,TBV Lemgo Lippe wechselt den Torwart. Finn Zecher kommt für Urh Kastelic.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
55:56:00,,"Parade des Torwarts von TBV Lemgo Lippe, Urh Kastelic.",TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
54:54:00,,"Der Torwart von TBV Lemgo Lippe, Urh Kastelic hält den Wurf von Nico Schöttle.",TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
54:25:00,28:21:00,Der 7-Meter wurde von Samuel Zehnder (TBV Lemgo Lippe) erfolgreich verwandelt.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
53:46:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,TBV Lemgo Lippe,TVB Stuttgart,0,0,1,0,0,0,0,0
53:33:00,,"Max Häfner (RM/fern) wirft, jedoch neben das Tor.",TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
53:05:00,,Urh Kastelic (TBV Lemgo Lippe) mit einer Parade.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
53:02:00,,Parade von Torwart Urh Kastelic (TBV Lemgo Lippe).,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
52:28:00,27:21:00,Lukas Hutecek (TBV Lemgo Lippe) trifft zum Spielstand von 27:21 in PHOENIX CONTACT Arena.,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
52:05:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,TBV Lemgo Lippe,TVB Stuttgart,0,0,1,0,0,0,0,0
51:56:00,,"Neuer Spielstand in Lemgo, 26:21 durch den Treffer RA von Sascha Pfattheicher für TVB Stuttgart.",TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
51:41:00,,Gedeon Guardiola (TBV Lemgo Lippe) scheitert am Torwart Silvio Heinevetter (TVB Stuttgart).,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
51:20:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,TBV Lemgo Lippe,TVB Stuttgart,0,0,1,0,0,0,0,0
51:07:00,,Überragende Parade des Torwarts Urh Kastelic (TBV Lemgo Lippe)! Adam Lönn kann den Ball nicht im Tor unterbringen!,TBV Lemgo Lippe,TVB Stuttgart,0,0,0,0,0,0,0,0
50:44:00,,Auszeit TVB Stuttgart,TBV Lemgo Lippe,TVB Stuttgart,0,1,0,0,0,0,0,0
