Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:21:00,40:29:00,"Neuer Spielstand in Kiel, 40:29 durch den Treffer 6M von Yannick Fraatz für THW Kiel.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:36:00,39:29:00,Tor (RR/fern)! Harald Reinkind (THW Kiel) netzt ein zum neuen Spielstand von 39:29.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:28:00,,"Wurf von Alexander Schulze (ASV Hamm-Westfalen), aber der Ball landet nur am Pfosten.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:52:00,38:29:00,Sander Sagosen (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 38:29.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:40:00,37:29:00,"Neuer Spielstand in Kiel, 37:29 durch den Treffer von Alexander Schulze für ASV Hamm-Westfalen.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:38:00,,Parade von Torwart Tomas Mrkva (THW Kiel).,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:04:00,,Magnus Landin (THW Kiel) vergibt den 7-Meter.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:26:00,37:28:00,Björn Zintel (ASV Hamm-Westfalen) trifft zum Spielstand von 37:28 in Wunderino Arena.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:09:00,37:27:00,Tor! Harald Reinkind (THW Kiel) netzt ein zum neuen Spielstand von 37:27.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:09:00,36:27:00,Jan Pretzewofsky (ASV Hamm-Westfalen) trifft von (RA). Neuer Spielstand in Wunderino Arena: 36:27.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:30:00,36:26:00,Yannick Fraatz (THW Kiel) überwindet den Torwart zum neuen Spielstand von 36:26.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:11:00,,Jan Von Boenigk von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:42:00,,Magnus Landin (THW Kiel) scheitert am Torwart Vladimir Bozic (ASV Hamm-Westfalen).,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:28:00,,Überragende Parade des Torwarts Tomas Mrkva (THW Kiel)! Stefan Bauer kann den Ball nicht im Tor unterbringen!,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:48:00,,"Gute Torchance, aber Harald Reinkind (THW Kiel) kann diese nicht erfolgreich verwandeln.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:30:00,35:26:00,Tor (RA)! Jan Pretzewofsky (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 35:26.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:19:00,,Vladimir Bozic (ASV Hamm-Westfalen) mit einer Parade.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:12:00,,Auszeit THW Kiel,THW Kiel,ASV Hamm-Westfalen,1,0,0,0,0,0,0,0
52:28:00,35:25:00,"Neuer Spielstand in Kiel, 35:25 durch den Treffer von Alexander Schulze für ASV Hamm-Westfalen.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
52:09:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
51:36:00,,Steffen Weinhold (THW Kiel) trifft nur den Pfosten.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
51:13:00,35:24:00,Marian Orlowski (ASV Hamm-Westfalen) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 35:24.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
50:50:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,THW Kiel,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
50:38:00,,"Der Torwart von ASV Hamm-Westfalen, Vladimir Bozic hält den Wurf von Harald Reinkind.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
50:12:00,35:23:00,Jan Von Boenigk (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 35:23.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
50:09:00,,Nikola Bilyk von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
50:07:00,,Der eingewechselte Torwart Vladimir Bozic (ASV Hamm-Westfalen) steht nun zwischen den Pfosten.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
50:07:00,,2-Minuten-Strafe für Markus Fuchs. ASV Hamm-Westfalen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
50:05:00,,Felix Hertlein (ASV Hamm-Westfalen) hält den Wurf von Yannick Fraatz.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:56:00,35:22:00,"Neuer Spielstand in Kiel, 35:22 durch den Treffer 6M von Marian Orlowski für ASV Hamm-Westfalen.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
48:55:00,35:21:00,Sander Sagosen (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 35:21.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
47:30:00,34:21:00,Tor! Benjamin Meschke (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 34:21.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
47:05:00,34:20:00,Yannick Fraatz (THW Kiel) trifft zum Spielstand von 34:20 in Wunderino Arena.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
47:28:00,33:20:00,Fabian Huesmann (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 33:20.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
46:50:00,33:19:00,"Neuer Spielstand in Kiel, 33:19 durch den Treffer 6M von Patrick Wiencek für THW Kiel.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
46:50:00,,"Nach einem harten Foul hat Domagoj Duvnjak (THW Kiel) nun zwei Minuten Zeit, um sich auszuruhen.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,1
45:37:00,,Auszeit ASV Hamm-Westfalen,THW Kiel,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
45:33:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
45:27:00,32:19:00,Tor! Yannick Fraatz (THW Kiel) netzt ein zum neuen Spielstand von 32:19.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
44:35:00,,Tomas Mrkva mit dem Lattenkracher. Was für ein Pech.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
44:29:00,,Benjamin Meschke von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
43:47:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,THW Kiel,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
43:35:00,31:19:00,"Tor von der 7-Meter Linie von Magnus Landin (THW Kiel), neuer Spielstand 31:19.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
43:34:00,,Markus Fuchs (ASV Hamm-Westfalen) erhält eine 2 Minuten Strafe.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
43:20:00,,"Der Torwart von THW Kiel, Tomas Mrkva hält den Wurf von Andreas Bornemann.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:32:00,30:19:00,Tor (RR/fern)! Steffen Weinhold (THW Kiel) netzt ein zum neuen Spielstand von 30:19.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:24:00,29:19:00,Benjamin Meschke (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 29:19.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:11:00,29:18:00,Yannick Fraatz (THW Kiel) trifft von (RA). Neuer Spielstand in Wunderino Arena: 29:18.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
41:33:00,28:18:00,"Neuer Spielstand in Kiel, 28:18 durch den Treffer von Savvas Savvas für ASV Hamm-Westfalen.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
41:23:00,28:17:00,Patrick Wiencek (THW Kiel) trifft zum Spielstand von 28:17 in Wunderino Arena.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
41:20:00,,"Der Torwart von THW Kiel, Tomas Mrkva pariert den Wurf.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
40:46:00,,Patrick Wiencek von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
40:05:00,,"Fabian Huesmann (LA) wirft, jedoch neben das Tor.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
39:27:00,27:17:00,Steffen Weinhold (THW Kiel) überwindet den Torwart zum neuen Spielstand von 27:17.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
38:26:00,,Tomas Mrkva (THW Kiel) hält den Wurf von Tim Wieling.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
38:17:00,,"Wurf von Magnus Landin (THW Kiel), aber der Ball landet nur am Pfosten.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
38:06:00,,Savvas Savvas von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
37:52:00,,Der Wurf von Savvas Savvas (ASV Hamm-Westfalen) landet hinter dem Tor.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
37:21:00,,Es gibt Gelb für Michael Lerscht (ASV Hamm-Westfalen) von Fedtke/Wienrich.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
37:19:00,26:17:00,Sander Sagosen (THW Kiel) überwindet den Torwart zum neuen Spielstand von 26:17.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
37:14:00,,Yonatan Dayan von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
36:51:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Felix Hertlein.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
36:12:00,,"Neuer Spielstand in Kiel, 25:17 durch den Treffer von Andreas Bornemann für ASV Hamm-Westfalen.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
36:12:00,25:17:00,"Neuer Spielstand in Kiel, 25:17 durch den Treffer von Andreas Bornemann für ASV Hamm-Westfalen.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
35:41:00,25:16:00,Tor! Miha Zarabec (THW Kiel) netzt ein zum neuen Spielstand von 25:16.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
34:41:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
34:36:00,24:16:00,Savvas Savvas (ASV Hamm-Westfalen) trifft zum Spielstand von 24:16 in Wunderino Arena.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
34:25:00,24:15:00,"Neuer Spielstand in Kiel, 24:15 durch den Treffer 6M von Eric Johansson für THW Kiel.",THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
34:19:00,23:15,Fabian Huesmann (ASV Hamm-Westfalen) trifft von (LA). Neuer Spielstand in Wunderino Arena: 23:15.,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
33:52:00,,33:52:00,THW Kiel,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
