,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:16:00,35:29:00,Tom Bergner (Bergischer HC) trifft von (6M). Neuer Spielstand in Wunderino Arena: 35:29.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
2,58:34:00,35:28:00,Tor! Karl Wallinius (THW Kiel) netzt ein zum neuen Spielstand von 35:28.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
3,57:44:00,,Noah Beyer von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
4,57:34:00,,Fehlwurf von Karl Wallinius (THW Kiel).,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
5,57:01:00,34:28:00,Tom Bergner (Bergischer HC) trifft zum Spielstand von 34:28 in Wunderino Arena.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
6,55:18:00,34:27:00,Noah Beyer (Bergischer HC) trifft von der 7-Meter Linie.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
7,55:01:00,34:26:00,"Neuer Spielstand in Kiel, 34:26 durch den Treffer RL/fern von Eric Johansson für THW Kiel.",THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
8,54:33:00,,Zeitstrafe vorbei Bergischer HC,THW Kiel,Bergischer HC,0,0,0,0,0,1,0,0
9,54:12:00,33:26:00,Tom Bergner (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 33:26.,THW Kiel,Bergischer HC,0,0,0,0,0,1,0,0
10,53:49:00,,Siebter Spieler eingewechselt Bergischer HC,THW Kiel,Bergischer HC,0,0,0,1,0,1,0,0
11,53:40:00,33:25:00,"Neuer Spielstand in Kiel, 33:25 durch den Treffer von Patrick Wiencek für THW Kiel.",THW Kiel,Bergischer HC,0,0,0,0,0,1,0,0
12,53:19:00,32:25:00,Tom Bergner (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 32:25.,THW Kiel,Bergischer HC,0,0,0,0,0,1,0,0
13,52:37:00,,Siebter Spieler eingewechselt Bergischer HC,THW Kiel,Bergischer HC,0,0,0,1,0,1,0,0
14,52:29:00,32:24:00,Tor (RM/fern)! Karl Wallinius (THW Kiel) netzt ein zum neuen Spielstand von 32:24.,THW Kiel,Bergischer HC,0,0,0,0,0,1,0,0
15,52:28:00,,Tom Kare Nikolaisen (Bergischer HC) erhält eine 2 Minuten Strafe.,THW Kiel,Bergischer HC,0,0,0,0,0,1,1,0
16,52:25:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Bergischer HC,0,0,1,0,0,0,0,0
17,52:16:00,31:24:00,Yannick Fraatz (Bergischer HC) überwindet den Torwart von (RA) zum neuen Spielstand von 31:24.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
18,51:39:00,,Steffen Weinhold von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
19,51:13:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Bergischer HC,0,0,1,0,0,0,0,0
20,50:59:00,,"Der Torwart von THW Kiel, Tomas Mrkva pariert den Wurf.",THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
21,50:51:00,31:23:00,"Neuer Spielstand in Kiel, 31:23 durch den Treffer 6M von Petter Øverby für THW Kiel.",THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
22,50:47:00,,Karl Wallinius (THW Kiel) scheitert am Torwart Christopher Rudeck (Bergischer HC).,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
23,50:27:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Bergischer HC,0,0,1,0,0,0,0,0
24,50:25:00,,Torwartwechsel bei THW Kiel. Tomas Mrkva kommt für Niklas Landin.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
25,50:18:00,30:23:00,Der 7-Meter wurde von Noah Beyer (Bergischer HC) erfolgreich verwandelt.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
26,50:07:00,,THW Kiel wechselt den Torwart. Niklas Landin kommt für Tomas Mrkva.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
27,49:21:00,,"Gute Torchance, aber Sven Ehrig (THW Kiel) kann diese nicht erfolgreich verwandeln.",THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
28,48:49:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Bergischer HC,0,0,1,0,0,0,0,0
29,48:34:00,30:22:00,Tor (RA)! Yannick Fraatz (Bergischer HC) netzt ein zum neuen Spielstand von 30:22.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
30,48:10:00,,"Der Trainer von Bergischer HC, Jamal Naji stellt nun Christopher Rudeck zwischen die Pfosten.",THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
31,48:08:00,,Auszeit Bergischer HC,THW Kiel,Bergischer HC,0,1,0,0,0,0,0,0
32,47:53:00,30:21:00,Patrick Wiencek (THW Kiel) trifft zum Spielstand von 30:21 in Wunderino Arena.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
33,47:31:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Bergischer HC,0,0,1,0,0,0,0,0
34,47:19:00,29:21:00,Simen Schönningsen (Bergischer HC) trifft von (6M). Neuer Spielstand in Wunderino Arena: 29:21.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
35,46:46:00,29:20:00,Tor! Harald Reinkind (THW Kiel) netzt ein zum neuen Spielstand von 29:20.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
36,46:26:00,28:20:00,"Neuer Spielstand in Kiel, 28:20 durch den Treffer von Tom Kare Nikolaisen für Bergischer HC.",THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
37,45:50:00,28:19:00,Patrick Wiencek (THW Kiel) überwindet den Torwart zum neuen Spielstand von 28:19.,THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
38,45:08:00,,"Der Torwart von THW Kiel, Tomas Mrkva hält den Wurf von Tom Kare Nikolaisen.",THW Kiel,Bergischer HC,0,0,0,0,0,0,0,0
