,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,,"Neuer Spielstand in Kiel, 30:26 durch den Treffer von Blaz Blagotinsek für FRISCH AUF! Göppingen.",THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
2,59:51:00,,Karl Wallinius (THW Kiel) trifft nur den Pfosten.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
3,59:50:00,30:25:00,Domagoj Duvnjak (THW Kiel) überwindet den Torwart zum neuen Spielstand von 30:25.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
4,59:20:00,,Blaz Blagotinsek von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
5,58:27:00,,Marin Sego (FRISCH AUF! Göppingen) mit einer Parade.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
6,57:42:00,,Tor (6M)! Tim Kneule (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 29:25.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
7,57:02:00,29:24:00,"Neuer Spielstand in Kiel, 29:24 durch den Treffer RA von Axel Goller für FRISCH AUF! Göppingen.",THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
8,56:25:00,,Niclas Ekberg von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
9,55:49:00,,Blaz Blagotinsek (FRISCH AUF! Göppingen) überwindet den Torwart von (6M) zum neuen Spielstand von 29:23.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
10,55:16:00,29:22:00,Tor! Domagoj Duvnjak (THW Kiel) netzt ein zum neuen Spielstand von 29:22.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
11,54:47:00,,"Der Torwart von THW Kiel, Tomas Mrkva pariert den Wurf.",THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
12,54:22:00,28:22:00,Harald Reinkind (THW Kiel) legt den Treffer von Niclas Ekberg auf. Es steht 28:22.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
13,53:37:00,,Blaz Blagotinsek von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
14,53:00:00,27:22:00,Harald Reinkind (THW Kiel) trifft von (RM/fern). Neuer Spielstand in Wunderino Arena: 27:22.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
15,52:28:00,,Die Vorbereitung von Jaka Malus (FRISCH AUF! Göppingen) führt zum Treffer durch Kevin Maageroe Gulliksen.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
16,52:00:00,,FRISCH AUF! Göppingen wechselt den Torwart. Marin Sego kommt für Daniel Rebmann.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
17,51:53:00,26:21:00,Nikola Bilyk (THW Kiel) trifft zum Spielstand von 26:21 in Wunderino Arena.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
18,51:04:00,,"Neuer Spielstand in Kiel, 25:21 durch den Treffer 6M von Blaz Blagotinsek für FRISCH AUF! Göppingen.",THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
19,50:29:00,,25:20:00 Niclas Ekberg (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 25:20.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
20,49:53:00,,"Neuer Spielstand in Kiel, 24:20 durch den Treffer von Harald Reinkind für THW Kiel.",THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
21,48:58:00,,Überragende Parade des Torwarts Tomas Mrkva (THW Kiel)! Tobias Ellebaek kann den Ball nicht im Tor unterbringen!,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
22,48:18:00,23:20,Nikola Bilyk (THW Kiel) überwindet den Torwart zum neuen Spielstand von 23:20.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
23,47:42:00,22:20,Tobias Ellebaek (FRISCH AUF! Göppingen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 22:20.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
24,47:11:00,22:19,Tor (6M)! Niclas Ekberg (THW Kiel) netzt ein zum neuen Spielstand von 22:19.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
25,46:35:00,21:19,Kevin Maageroe Gulliksen (FRISCH AUF! Göppingen) trifft zum Spielstand von 21:19 in Wunderino Arena.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
26,46:22:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
27,45:12:00,21:18,Tor nach Tempogegenstoß. Die Abwehr von THW Kiel steht gut und Domagoj Duvnjak trifft souverän zum 21:18.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
28,44:40:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,THW Kiel,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
29,44:37:00,20:18,Niclas Ekberg (THW Kiel) trifft von der 7-Meter Linie.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
30,44:29:00,,2-Minuten-Strafe für David Schmidt. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
31,44:20:00,,Parade von Torwart Tomas Mrkva (THW Kiel).,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
32,44:10:00,19:18,Tor! Domagoj Duvnjak (THW Kiel) netzt ein zum neuen Spielstand von 19:18.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
33,43:54:00,,Tomas Mrkva (THW Kiel) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
34,43:41:00,18:18,Kevin Maageroe Gulliksen (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 18:18.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
35,43:32:00,,Domagoj Duvnjak (THW Kiel) trifft die Latte.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
36,43:19:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
37,42:27:00,,Rune Dahmke von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
38,42:16:00,18:17,Tor (RM/fern)! Jaka Malus (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 18:17.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
39,41:42:00,18:16,Tor! Domagoj Duvnjak (THW Kiel) netzt ein zum neuen Spielstand von 18:16.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
40,41:05:00,17:16,Till Hermann (FRISCH AUF! Göppingen) trifft von (LA). Neuer Spielstand in Wunderino Arena: 17:16.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
41,40:57:00,17:15,"Neuer Spielstand in Kiel, 17:15 durch den Treffer von Niclas Ekberg für THW Kiel.",THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
42,40:18:00,16:15,Der 7-Meter wurde von Kevin Maageroe Gulliksen (FRISCH AUF! Göppingen) erfolgreich verwandelt.,THW Kiel,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
