Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,40:28:00,Luca Alexander Schwormstede (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 40:28.,THW Kiel,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:37:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
59:18:00,39:28:00,Karl Wallinius (THW Kiel) überwindet den Torwart zum neuen Spielstand von 39:28.,THW Kiel,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
58:48:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Handball Sport Verein Hamburg,0,0,1,0,1,0,0,0
58:37:00,38:28:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von (LA). Neuer Spielstand in Wunderino Arena: 38:28.,THW Kiel,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
58:17:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
57:58:00,,Fehlwurf von Karl Wallinius (THW Kiel).,THW Kiel,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
57:35:00,,Eric Johansson (THW Kiel) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,THW Kiel,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,1
57:32:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
57:29:00,38:27:00,"Neuer Spielstand in Kiel, 38:27 durch den Treffer 6M von Azat Valiullin für Handball Sport Verein Hamburg.",THW Kiel,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:14:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,THW Kiel,Handball Sport Verein Hamburg,0,0,0,1,0,0,0,0
