,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:48:00,24:22:00,Nikola Bilyk (THW Kiel) trifft zum Spielstand von 24:22 in Wunderino Arena.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
2,59:41:00,,Auszeit THW Kiel,THW Kiel,MT Melsungen,1,0,0,0,0,0,0,0
3,59:07:00,23:22,"Neuer Spielstand in Kiel, 23:22 durch den Treffer RM/fern von Kai Häfner für MT Melsungen.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
4,58:59:00,,Siebter Spieler eingewechselt MT Melsungen,THW Kiel,MT Melsungen,0,0,0,1,0,0,0,0
5,58:48:00,,Nikola Bilyk von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
6,58:01:00,,André Gomes von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
7,57:38:00,,Siebter Spieler eingewechselt MT Melsungen,THW Kiel,MT Melsungen,0,0,0,1,0,0,0,0
8,57:20:00,,Adam Morawski (MT Melsungen) hält den Wurf von Miha Zarabec.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
9,57:00:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
10,56:46:00,23:21,André Gomes (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 23:21.,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
11,56:07:00,,Adam Morawski (MT Melsungen) mit einer Parade.,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
12,55:44:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,MT Melsungen,0,0,1,0,1,0,0,0
13,55:29:00,,"Der Torwart von THW Kiel, Niklas Landin pariert den Wurf.",THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
14,54:57:00,,Patrick Wiencek geht den Gegner zu stark an. THW Kiel muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,1
15,54:39:00,,"Der Torwart von THW Kiel, Niklas Landin hält den Wurf von André Gomes.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
16,54:03:00,,Harald Reinkind (THW Kiel) scheitert am Torwart Adam Morawski (MT Melsungen).,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
17,53:54:00,23:20,Aidenas Malasinskas (MT Melsungen) trifft von (LA). Neuer Spielstand in Wunderino Arena: 23:20.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
18,53:20:00,23:19,"Tor von der 7-Meter Linie von Niclas Ekberg (THW Kiel), neuer Spielstand 23:19.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
19,52:37:00,,"Neuer Spielstand in Kiel, 22:19 durch den Treffer von Kai Häfner für MT Melsungen.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
20,51:46:00,,Überragende Parade des Torwarts Adam Morawski (MT Melsungen)! Harald Reinkind kann den Ball nicht im Tor unterbringen!,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
21,51:34:00,,Torwartwechsel bei THW Kiel. Niklas Landin kommt für Tomas Mrkva.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
22,50:25:00,,Dimitri Ignatow (MT Melsungen) trifft zum Spielstand von 22:18 in Wunderino Arena.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
23,50:20:00,22:18,Adam Morawski (MT Melsungen) hält den Wurf von Karl Wallinius.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
24,50:07:00,,Petter Øverby blockt den Wurf von Aidenas Malasinskas.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
25,49:10:00,,Patrick Wiencek von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
26,48:15:00,22:17,Elvar Örn Jonsson (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 22:17.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
27,47:42:00,22:16,Niclas Ekberg (THW Kiel) trifft von der 7-Meter Linie und bringt den Spielstand auf 22:16.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
28,47:13:00,,Adam Morawski (MT Melsungen) mit einer Parade.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
29,46:39:00,21:16,Tor! André Gomes (MT Melsungen) netzt ein zum neuen Spielstand von 21:16.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
30,45:46:00,,Parade von Torwart Adam Morawski (MT Melsungen).,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
31,45:14:00,,Dimitri Ignatow von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
32,44:25:00,,"Gute Torchance, aber Karl Wallinius (THW Kiel) kann diese nicht erfolgreich verwandeln.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
33,44:11:00,21:15,"Neuer Spielstand in Kiel, 21:15 durch den Treffer RM/fern von Kai Häfner für MT Melsungen.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
34,42:57:00,21:14,Tor (LA)! Rune Dahmke (THW Kiel) netzt ein zum neuen Spielstand von 21:14.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
35,42:44:00,,"Der Torwart von THW Kiel, Tomas Mrkva hält den Wurf von Kai Häfner.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
36,42:08:00,,Patrick Wiencek von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
37,40:31:00,,Aidenas Malasinskas (MT Melsungen) trifft nur den Pfosten.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
38,40:11:00,20:14,Rune Dahmke (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 20:14.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
39,39:35:00,,"Der Torwart von MT Melsungen, Adam Morawski pariert den Wurf.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
40,39:20:00,,Auszeit THW Kiel.,THW Kiel,MT Melsungen,1,0,0,0,0,0,0,0
41,39:07:00,19:14,Kai Häfner (MT Melsungen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 19:14.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
42,38:32:00,,Adam Morawski (MT Melsungen) mit einer Parade.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
43,38:17:00,19:13,Aidenas Malasinskas (MT Melsungen) trifft von (6M). Neuer Spielstand in Wunderino Arena: 19:13.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
44,37:27:00,,Rune Dahmke (THW Kiel) scheitert am Torwart Adam Morawski (MT Melsungen).,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
45,36:55:00,19:12,"Neuer Spielstand in Kiel, 19:12 durch den Treffer 6M von Gleb Kalarash für MT Melsungen.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
46,36:49:00,,"Parade des Torwarts von MT Melsungen, Adam Morawski.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
47,36:21:00,19:11,Aidenas Malasinskas (MT Melsungen) trifft von der 7-Meter Linie.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
48,35:02:00,19:10,Niclas Ekberg (THW Kiel) überwindet den Torwart zum neuen Spielstand von 19:10.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
49,34:56:00,,"Parade des Torwarts von MT Melsungen, Adam Morawski.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
50,34:30:00,,Sander Sagosen (THW Kiel) scheitert am Torwart Adam Morawski (MT Melsungen).,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
51,33:26:00,,Domagoj Duvnjak von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
52,32:09:00,18:10,"Neuer Spielstand in Kiel, 18:10 durch den Treffer von Nikola Bilyk für THW Kiel.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
53,31:35:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
54,31:13:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,MT Melsungen,0,0,1,0,1,0,0,0
55,30:53:00,,"Der Torwart von MT Melsungen, Adam Morawski pariert den Wurf.",THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
56,30:02:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,MT Melsungen,0,0,1,0,1,0,0,0
57,HALBZ,17:10,,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
58,29:31:00,,Karl Wallinius (THW Kiel) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,1
59,29:06:00,,Überragende Parade des Torwarts Tomas Mrkva (THW Kiel)! Kai Häfner kann den Ball nicht im Tor unterbringen!,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
60,28:04:00,17:10,Tor (RR/fern)! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 17:10.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
61,27:48:00,,Tomas Mrkva (THW Kiel) mit einer Parade.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
62,27:37:00,,Adam Morawski (MT Melsungen) hält den Wurf von Nikola Bilyk.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
63,26:57:00,16:10,Kai Häfner (MT Melsungen) trifft zum Spielstand von 16:10 in Wunderino Arena.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
64,26:28:00,16:09,Tor! Karl Wallinius (THW Kiel) netzt ein zum neuen Spielstand von 16:9.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
65,26:17:00,,Der Wurf von Elvar Örn Jonsson (MT Melsungen) landet hinter dem Tor.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
66,25:18:00,,Zeitstrafe vorbei MT Melsungen,THW Kiel,MT Melsungen,0,0,0,0,0,1,0,0
67,25:10:00,15:09,Tor (RA)! Niclas Ekberg (THW Kiel) netzt ein zum neuen Spielstand von 15:9.,THW Kiel,MT Melsungen,0,0,0,0,0,1,0,0
68,24:43:00,,"Block von Ben Beekmann, der den Torwurf von Hendrik Pekeler verhindert.",THW Kiel,MT Melsungen,0,0,0,0,0,1,0,0
69,24:18:00,,Siebter Spieler eingewechselt MT Melsungen,THW Kiel,MT Melsungen,0,0,0,1,0,1,0,0
70,24:03:00,14:09,Nikola Bilyk (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 14:9.,THW Kiel,MT Melsungen,0,0,0,0,0,1,0,0
71,23:36,13:09,"Neuer Spielstand in Kiel, 13:9 durch den Treffer RM/fern von André Gomes für MT Melsungen.",THW Kiel,MT Melsungen,0,0,0,0,0,1,0,0
72,23:27,,Auszeit MT Melsungen,THW Kiel,MT Melsungen,0,1,0,0,0,1,0,0
73,23:17,,Siebter Spieler eingewechselt MT Melsungen,THW Kiel,MT Melsungen,0,0,0,1,0,1,0,0
74,23:05,13:08,Karl Wallinius (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 13:8.,THW Kiel,MT Melsungen,0,0,0,0,0,1,0,0
75,23:04,,2-Minuten-Strafe für Gleb Kalarash. MT Melsungen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,THW Kiel,MT Melsungen,0,0,0,0,0,1,1,0
76,22:58,,André Gomes von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
77,22:50,12:08,"Neuer Spielstand in Kiel, 12:8 durch den Treffer von Harald Reinkind für THW Kiel.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
78,22:20,,Parade von Torwart Tomas Mrkva (THW Kiel).,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
79,22:10,,"Der Torwart von MT Melsungen, Adam Morawski hält den Wurf von Niclas Ekberg.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
80,21:27,11:08,Tor! Gleb Kalarash (MT Melsungen) netzt ein zum neuen Spielstand von 11:8.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
81,21:12,11:07,Patrick Wiencek (THW Kiel) überwindet den Torwart zum neuen Spielstand von 11:7.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
82,20:15,,Tomas Mrkva (THW Kiel) mit einer Parade.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
83,19:34,10:07,Karl Wallinius (THW Kiel) trifft zum Spielstand von 10:7 in Wunderino Arena.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
84,19:25,9:07,Tor! Julius Kühn (MT Melsungen) netzt ein zum neuen Spielstand von 9:7.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
85,18:52,9:06,"Neuer Spielstand in Kiel, 9:6 durch den Treffer von Karl Wallinius für THW Kiel.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
86,18:41,,Lattenkracher von Ben Beekmann (MT Melsungen).,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
87,18:01,,Es gibt Gelb für Petter Øverby (THW Kiel) von Kuttler/Merz.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
88,17:44,8:06,Niclas Ekberg (THW Kiel) überwindet den Torwart zum neuen Spielstand von 8:6.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
89,16:58,7:06,André Gomes (MT Melsungen) trifft zum Spielstand von 7:6 in Wunderino Arena.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
90,16:05,7:05,"Neuer Spielstand in Kiel, 7:5 durch den Treffer RM/fern von Nikola Bilyk für THW Kiel.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
91,15:24,,Zeitstrafe vorbei THW Kiel,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
92,13:55,,"Der Torwart von MT Melsungen, Adam Morawski hält den Wurf von Sander Sagosen.",THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
93,13:27,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,MT Melsungen,0,0,1,0,1,0,0,0
94,13:16,6:05,Gleb Kalarash (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 6:5.,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
95,12:48,,"Der Torwart von MT Melsungen, Adam Morawski pariert den Wurf.",THW Kiel,MT Melsungen,0,0,0,0,1,0,0,0
96,11:59,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,MT Melsungen,0,0,1,0,1,0,0,0
97,11:46,,Magnus Landin (THW Kiel) erhält eine 2 Minuten Strafe.,THW Kiel,MT Melsungen,0,0,0,0,1,0,0,1
98,11:46,6:04,Elvar Örn Jonsson (MT Melsungen) trifft von (6M). Neuer Spielstand in Wunderino Arena: 6:4.,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
99,11:03,,"Torwurf von Harald Reinkind (THW Kiel), aber der Ball trifft nur die Latte.",THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
100,10:30,,Parade von Torwart Tomas Mrkva (THW Kiel).,THW Kiel,MT Melsungen,0,0,0,0,0,0,0,0
