,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,"Neuer Spielstand in Kiel, 32:29 durch den Treffer RM/fern von Juri Knorr für Rhein-Neckar Löwen.",THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
2,59:39:00,32:28:00,Patrick Wiencek (THW Kiel) überwindet den Torwart zum neuen Spielstand von 32:28.,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
3,59:06:00,,Mikael Appelgren (Rhein-Neckar Löwen) mit einer Parade.,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
4,58:46:00,,Auszeit THW Kiel,THW Kiel,Rhein-Neckar Löwen,1,0,0,0,0,0,0,0
5,57:06:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
6,57:00:00,31:28:00,Halil Jaganjac (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in Wunderino Arena: 31:28.,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
7,56:07:00,,Mikael Appelgren (Rhein-Neckar Löwen) hält den Wurf von Patrick Wiencek.,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
8,56:03:00,,Mikael Appelgren (Rhein-Neckar Löwen) mit einer Parade.,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
9,55:47:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
10,55:14:00,31:27:00,"Neuer Spielstand in Kiel, 31:27 durch den Treffer von Patrick Wiencek für THW Kiel.",THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
11,54:53:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
12,54:34:00,30:27:00,Benjamin Helander (Rhein-Neckar Löwen) überwindet den Torwart von (LA) zum neuen Spielstand von 30:27.,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
13,54:20:00,,Auszeit Rhein-Neckar Löwen,THW Kiel,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
14,54:02:00,,"Parade des Torwarts von Rhein-Neckar Löwen, Mikael Appelgren.",THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
15,53:10:00,,Patrick Groetzki (Rhein-Neckar Löwen) scheitert am Torwart Niklas Landin (THW Kiel).,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
16,52:44:00,,"Parade des Torwarts von Rhein-Neckar Löwen, Mikael Appelgren.",THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
17,52:01:00,,Niklas Landin (THW Kiel) hält den Wurf von Patrick Groetzki.,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
18,51:17:00,30:26:00,Tor (6M)! Patrick Wiencek (THW Kiel) netzt ein zum neuen Spielstand von 30:26.,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
19,51:15:00,,Jannik Kohlbacher blockt den Wurf von Eric Johansson.,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
20,50:11:00,,Parade von Torwart Niklas Landin (THW Kiel).,THW Kiel,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
21,49:35:00,,Auszeit Rhein-Neckar Löwen,THW Kiel,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
