,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:58:00,,Der Wurfversuch von Miha Zarabec (THW Kiel) wurde durch einen Block von Lukas Zerbe verhindert.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
2,59:44:00,,Auszeit THW Kiel,THW Kiel,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
3,59:44:00,,Lukas Zerbe von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
4,59:20:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,THW Kiel,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
5,59:14:00,32:33:00,"Neuer Spielstand in Kiel, 32:33 durch den Treffer von Nikola Bilyk für THW Kiel.",THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
6,58:57:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
7,58:24:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,THW Kiel,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
8,58:23:00,31:33:00,Nikola Bilyk (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 31:33.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
9,58:10:00,,Samuel Zehnder (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 30:33.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
10,57:31:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,THW Kiel,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
11,57:15:00,,Borko Ristovski (TBV Lemgo Lippe) hält den Wurf von Nikola Bilyk.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
12,57:13:00,30:32:00,Samuel Zehnder (TBV Lemgo Lippe) trifft von der 7-Meter Linie und bringt den Spielstand auf 30:32.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
13,56:05:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,THW Kiel,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
14,56:02:00,30:31:00,Tor! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 30:31.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
15,55:42:00,,Der Wurf von THW Kiel wurde geblockt.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
16,55:28:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
17,55:22:00,29:31:00,Lukas Zerbe (TBV Lemgo Lippe) trifft von (RA). Neuer Spielstand in Wunderino Arena: 29:31.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
18,55:08:00,,Christian Sprenger von THW Kiel wurde mit der Gelben Karte von Schmidt/Linker verwarnt.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
19,54:24:00,29:30:00,"Neuer Spielstand in Kiel, 29:30 durch den Treffer von Harald Reinkind für THW Kiel.",THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
20,54:21:00,,Auszeit TBV Lemgo Lippe,THW Kiel,TBV Lemgo Lippe,0,1,0,0,0,0,0,0
21,53:55:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
22,53:41:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
23,53:25:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
24,53:02:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
25,52:54:00,,Niels Gerardus Versteijnen von TBV Lemgo Lippe unterläuft ein technischer Fehler.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
26,52:50:00,28:30:00,Tor (6M)! Rune Dahmke (THW Kiel) netzt ein zum neuen Spielstand von 28:30.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
27,51:58:00,,"Der disqualifizierte Steffen Weinhold muss das Spielfeld verlassen, aber THW Kiel wird nach 2 Minuten wieder auffüllen dürfen.",THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,1
28,51:58:00,,Steffen Weinhold geht den Gegner zu stark an. THW Kiel muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,1
29,51:54:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
30,51:48:00,,Parade von Torwart Niklas Landin (THW Kiel).,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
31,51:43:00,,Patrick Wiencek (THW Kiel) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,1
32,50:39:00,27:30:00,"Neuer Spielstand in Kiel, 27:30 durch den Treffer 6M von Petter Øverby für THW Kiel.",THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
33,49:51:00,26:30:00,Steffen Weinhold (THW Kiel) überwindet den Torwart zum neuen Spielstand von 26:30.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
34,49:19:00,26:30:00,Jan Brosch (TBV Lemgo Lippe) trifft zum Spielstand von 25:30 in Wunderino Arena.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
35,49:15:00,25:29:00,Harald Reinkind (THW Kiel) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 25:29.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
36,49:02:00,,"Parade des Torwarts von THW Kiel, Niklas Landin.",THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
37,48:48:00,24:29:00,Niels Gerardus Versteijnen (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in Wunderino Arena: 24:29.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
38,48:47:00,,Torwartwechsel bei TBV Lemgo Lippe. Borko Ristovski kommt für Finn Zecher.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
39,48:47:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
40,48:47:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
41,48:18:00,24:28:00,or (RM/fern)! Harald Reinkind (THW Kiel) netzt ein zum neuen Spielstand von 24:28.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
42,48:05:00,,Auszeit THW Kiel,THW Kiel,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
43,48:05:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
44,47:47:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
45,47:42:00,23:28,Lukas Zerbe (TBV Lemgo Lippe) überwindet den Torwart von (RA) zum neuen Spielstand...,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
46,46:34:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
47,46:28:00,23:27,Tor! Niels Gerardus Versteijnen (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von...,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
48,46:06:00,,2-Minuten-Strafe für Steffen Weinhold. THW Kiel muss nun die nächsten zwei Minuten m...,THW Kiel,TBV Lemgo Lippe,0,0,0,0,1,0,0,1
49,45:52:00,,Auszeit TBV Lemgo Lippe,THW Kiel,TBV Lemgo Lippe,0,1,0,0,0,0,0,0
50,45:02:00,23:26,"Neuer Spielstand in Kiel, 22:26 durch den Treffer LA von Samuel Zehnder für TBV Lemgo...",THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
51,44:13:00,22:26,"Neuer Spielstand in Kiel, 22:26 durch den Treffer LA von Samuel Zehnder für TBV Lemgo...",THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
52,44:10:00,,Zeitstrafe vorbei TBV Lemgo Lippe,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
53,43:26:00,22:25,"43:26:00 22:25 Neuer Spielstand in Kiel, 22:25 durch den Treffer von Domagoj Duvnjak...",THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
54,43:23:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,THW Kiel,TBV Lemgo Lippe,0,0,0,1,0,1,0,0
55,43:16:00,21:25,Lukas Hutecek (TBV Lemgo Lippe) trifft zum Spielstand von 21:25 in Wunderino Arena.,THW Kiel,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
