"","Time","Score","Event.Description","hometeam","awayteam","Timeout_Hometeam","Timeout_Awayteam","SeventhPlayer_Hometeam","SeventhPlayer_Awayteam","SixthPlayer_Hometeam","SixthPlayer_Awayteam","Penalty_Awayteam","Penalty_Hometeam"
"1","59:55","","Torwurf von Adam Lönn (TVB Stuttgart), aber der Ball trifft nur die Latte.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"2","59:36","","Tomas Mrkva (THW Kiel) hält den Wurf von Oscar Bergendahl.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"3","59:24","36:23","Neuer Spielstand in Kiel, 36:23 durch den Treffer von Nikola Bilyk für THW Kiel.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"4","58:47","","Der Wurf von Yannick Wissmann (TVB Stuttgart) landet hinter dem Tor.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"5","58:00","","Parade des Torwarts von TVB Stuttgart, Miljan Vujovic.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"6","57:53","","Der Torwart von THW Kiel, Tomas Mrkva hält den Wurf von Jorge Serrano Villalobos.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"7","57:46","35:23","Harald Reinkind (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 35:23.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"8","57:14","","Der Torwart von THW Kiel, Tomas Mrkva pariert den Wurf.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"9","56:45","34:23","Nikola Bilyk (THW Kiel) überwindet den Torwart zum neuen Spielstand von 34:23.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"10","55:59","33:23","Adam Lönn (TVB Stuttgart) trifft zum Spielstand von 33:23 in Wunderino Arena.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"11","55:33","33:22","Neuer Spielstand in Kiel, 33:22 durch den Treffer 6M von Karl Wallinius für THW Kiel.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"12","55:22","32:22","Oscar Bergendahl (TVB Stuttgart) überwindet den Torwart von (6M) zum neuen Spielstand von 32:22.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"13","54:42","32:21","Tor! Karl Wallinius (THW Kiel) netzt ein zum neuen Spielstand von 32:21.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"14","54:30","31:21","Jorge Serrano Villalobos (TVB Stuttgart) trifft von (RA). Neuer Spielstand in Wunderino Arena: 31:21.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"15","53:52","31:20","Tor Tomas Mrkva, THW Kiel","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"16","53:44","","Egon Hanusz von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"17","53:24","","Siebter Spieler eingewechselt TVB Stuttgart","THW Kiel","TVB Stuttgart",0,0,0,1,0,0,0,0
"18","53:21","30:20","Neuer Spielstand in Kiel, 30:20 durch den Treffer von Rune Dahmke für THW Kiel.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"19","53:09","29:20","Tor! Jorge Serrano Villalobos (TVB Stuttgart) netzt ein zum neuen Spielstand von 29:20.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"20","52:38","","Siebter Spieler eingewechselt TVB Stuttgart","THW Kiel","TVB Stuttgart",0,0,0,1,0,0,0,0
"21","52:30","29:19","Tor (6M)! Karl Wallinius (THW Kiel) netzt ein zum neuen Spielstand von 29:19.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"22","51:52","","Auszeit THW Kiel","THW Kiel","TVB Stuttgart",1,0,0,0,0,0,0,0
"23","51:45","","Miljan Vujovic (TVB Stuttgart) mit einer Parade.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"24","50:25","","Parade von Torwart Tomas Mrkva (THW Kiel).","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"25","49:41","28:19","Tor Patrick Wiencek, THW Kiel","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"26","49:21","","Fehlwurf von Patrick Wiencek (THW Kiel).","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"27","48:42","","Siebter Spieler eingewechselt TVB Stuttgart","THW Kiel","TVB Stuttgart",0,0,0,1,0,0,0,0
"28","48:32","27:19","Patrick Wiencek (THW Kiel) überwindet den Torwart zum neuen Spielstand von 27:19.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"29","48:18","","Max Häfner von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"30","48:00","","Siebter Spieler eingewechselt TVB Stuttgart","THW Kiel","TVB Stuttgart",0,0,0,1,0,0,0,0
"31","47:21","26:19","Der 7-Meter wurde von Niclas Ekberg (THW Kiel) erfolgreich verwandelt.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"32","46:30","25:19","Max Häfner (TVB Stuttgart) trifft zum Spielstand von 25:19 in Wunderino Arena.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"33","45:40","25:18","Patrick Zieker (TVB Stuttgart) trifft zum Spielstand von 25:18 in Wunderino Arena.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"34","45:28","","Sven Ehrig (THW Kiel) scheitert am Torwart Miljan Vujovic (TVB Stuttgart).","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"35","45:03","","Siebter Spieler eingewechselt THW Kiel","THW Kiel","TVB Stuttgart",0,0,1,0,0,0,0,0
"36","44:52","","Tomas Mrkva (THW Kiel) mit einer Parade.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"37","44:27","","Siebter Spieler eingewechselt TVB Stuttgart","THW Kiel","TVB Stuttgart",0,0,0,1,0,0,0,0
"38","44:17","","Miha Zarabec (THW Kiel) scheitert am Torwart Miljan Vujovic (TVB Stuttgart).","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"39","43:34","","Siebter Spieler eingewechselt THW Kiel","THW Kiel","TVB Stuttgart",0,0,1,0,0,0,0,0
"40","43:27","25:17","Tor! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 25:17.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"41","42:45","","Siebter Spieler eingewechselt TVB Stuttgart","THW Kiel","TVB Stuttgart",0,0,0,1,0,0,0,0
"42","42:41","25:16","Miha Zarabec (THW Kiel) trifft von (RM/fern). Neuer Spielstand in Wunderino Arena: 25:16.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"43","42:04","","Siebter Spieler eingewechselt THW Kiel","THW Kiel","TVB Stuttgart",0,0,1,0,0,0,0,0
"44","41:51","","Der Torwart von THW Kiel, Tomas Mrkva pariert den Wurf.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"45","41:22","","Siebter Spieler eingewechselt TVB Stuttgart","THW Kiel","TVB Stuttgart",0,0,0,1,0,0,0,0
"46","41:16","24:16","Petter Øverby (THW Kiel) überwindet den Torwart zum neuen Spielstand von 24:16.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"47","40:58","","Siebter Spieler eingewechselt THW Kiel","THW Kiel","TVB Stuttgart",0,0,1,0,0,0,0,0
"48","40:41","23:16","Oscar Bergendahl (TVB Stuttgart) überwindet den Torwart von (6M) zum neuen Spielstand von 23:16.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"49","40:01","23:15","Neuer Spielstand in Kiel, 23:15 durch den Treffer von Fynn-Luca Nicolaus für TVB Stuttgart.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"50","39:44","","Siebter Spieler eingewechselt TVB Stuttgart","THW Kiel","TVB Stuttgart",0,0,0,1,0,0,0,0
"51","39:35","","Tomas Mrkva (THW Kiel) hält den Wurf von Jan Forstbauer.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
"52","39:08","","Siebter Spieler eingewechselt TVB Stuttgart","THW Kiel","TVB Stuttgart",0,0,0,1,0,0,0,0
"53","38:55","23:14","Tor (RM/fern)! Eric Johansson (THW Kiel) netzt ein zum neuen Spielstand von 23:14.","THW Kiel","TVB Stuttgart",0,0,0,0,0,0,0,0
