,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,,Zeitstrafe vorbei VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
2,59:26:00,31:28:00,"Neuer Spielstand in Kiel, 31:28 durch den Treffer von Ole Pregler für VfL Gummersbach.",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
3,59:03:00,31:27:00,Harald Reinkind (THW Kiel) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 31:27.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
4,58:37:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
5,58:31:00,,Auszeit VfL Gummersbach,THW Kiel,VfL Gummersbach,0,1,0,0,0,1,0,0
6,58:27:00,,"Der Torwart von VfL Gummersbach, Fabian Norsten hält den Wurf von Domagoj Duvnjak.",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
7,57:56:00,,Stepan Zeman. VfL Gummersbach muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,1,0
8,57:22:00,,Stepan Zeman von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
9,57:12:00,,Parade von Torwart Fabian Norsten (VfL Gummersbach).,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
10,56:23:00,30:27:00,Tor (LA)! Hakon Dadi Styrmisson (VfL Gummersbach) netzt ein zum neuen Spielstand von 30:27.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
11,56:06:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,0,0,0
12,55:56:00,30:26:00,Tor! Hendrik Pekeler (THW Kiel) netzt ein zum neuen Spielstand von 30:26.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
13,54:56:00,,Auszeit THW Kiel,THW Kiel,VfL Gummersbach,1,0,0,0,0,0,0,0
14,54:47:00,29:26:00,Lukas Blohme (VfL Gummersbach) trifft von (RA). Neuer Spielstand in Wunderino Arena: 29:26.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
15,54:33:00,29:25:00,"Neuer Spielstand in Kiel, 29:25 durch den Treffer von Magnus Landin für THW Kiel.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
16,53:57:00,28:25:00,Miro Schluroff (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 28:25.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
17,53:39:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,0,0,0
18,53:33:00,28:24:00,Domagoj Duvnjak (THW Kiel) trifft zum Spielstand von 28:24 in Wunderino Arena.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
19,52:48:00,27:24:00,"Neuer Spielstand in Kiel, 27:24 durch den Treffer RA von Lukas Blohme für VfL Gummersbach.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
20,52:28:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,0,0,0
21,52:09:00,,Überragende Parade des Torwarts Tomas Mrkva (THW Kiel)! Lukas Blohme kann den Ball nicht im Tor unterbringen!,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
22,52:01:00,27:23:00,Patrick Wiencek (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 27:23.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
23,52:01:00,26:23:00,Miha Zarabec (THW Kiel) trifft zum Spielstand von 26:23 in Wunderino Arena.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
24,51:39:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,0
25,50:39:00,,Der Wurfversuch von Nikola Bilyk (THW Kiel) wurde durch einen Block von Miro Schluroff verhindert.,THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,0
26,50:16:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,VfL Gummersbach,0,0,1,0,1,0,0,0
27,50:00:00,,Miro Schluroff von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,0
28,49:35:00,,"Tor Lukas Blohme, VfL Gummersbach",THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,0
29,49:35:00,,Krag/Hurst verwarnen Filip Jicha (THW Kiel) mit einer Gelben Karte.,THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,0
30,49:35:00,,Steffen Weinhold (THW Kiel) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,1
31,49:27:00,,Der Wurf von Nikola Bilyk (THW Kiel) landet hinter dem Tor.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
32,48:56:00,25:22:00,Tor! Stepan Zeman (VfL Gummersbach) netzt ein zum neuen Spielstand von 25:22.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
33,48:31:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,0,0,0
34,48:16:00,25:21:00,Tor (6M)! Hendrik Pekeler (THW Kiel) netzt ein zum neuen Spielstand von 25:21.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
35,47:40:00,,Ole Pregler von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
36,47:27:00,,Der Wurfversuch von Ole Pregler (VfL Gummersbach) wurde durch einen Block von Domagoj Duvnjak verhindert.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
37,47:25:00,,"Der Trainer von VfL Gummersbach, Gudjon Valur Sigurdsson stellt nun Fabian Norsten zwischen die Pfosten.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
38,47:01:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,0,0,0
39,46:49:00,24:21:00,Steffen Weinhold (THW Kiel) überwindet den Torwart zum neuen Spielstand von 24:21.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
40,46:05:00,,Tomas Mrkva (THW Kiel) mit einer Parade.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
41,45:22:00,23:21,Der 7-Meter wurde von Niclas Ekberg (THW Kiel) erfolgreich verwandelt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
42,45:13:00,,Der eingewechselte Torwart Tomas Mrkva (THW Kiel) steht nun zwischen den Pfosten.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
43,44:43:00,22:21,"Neuer Spielstand in Kiel, 22:21 durch den Treffer RA von Lukas Blohme für VfL Gummersbach.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
44,44:10:00,22:20,"Neuer Spielstand in Kiel, 22:20 durch den Treffer von Nikola Bilyk für THW Kiel.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
45,43:17:00,21:20,"Neuer Spielstand in Kiel, 21:20 durch den Treffer von Hakon Dadi Styrmisson für VfL Gummersbach.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
46,42:43:00,,Zeitstrafe vorbei VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
47,42:41:00,21:19,Tor! Steffen Weinhold (THW Kiel) netzt ein zum neuen Spielstand von 21:19.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
48,42:13:00,,"Gute Torchance, aber Miro Schluroff (VfL Gummersbach) kann diese nicht erfolgreich verwandeln.",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
49,41:32:00,,Auszeit VfL Gummersbach,THW Kiel,VfL Gummersbach,0,1,0,0,0,1,0,0
50,41:29:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
51,41:11:00,20:19,Magnus Landin (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 20:19.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
52,40:59:00,,Der Wurf von Tom Jansen (VfL Gummersbach) landet hinter dem Tor.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
53,40:39:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,1,0
54,40:39:00,19:19,Domagoj Duvnjak (THW Kiel) überwindet den Torwart zum neuen Spielstand von 19:19.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
55,40:30:00,18:19,Tor (6M)! Ellidi Snaer Vidarsson (VfL Gummersbach) netzt ein zum neuen Spielstand von 18:19.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
56,39:28:00,,Fehlwurf von Steffen Weinhold (THW Kiel).,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
57,38:48:00,18:18,Tom Jansen (VfL Gummersbach) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 18:18.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
58,38:36:00,,Zeitstrafe vorbei VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
59,38:03:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
60,37:23:00,18:17,"Neuer Spielstand in Kiel, 18:17 durch den Treffer RM/fern von Ole Pregler für VfL Gummersbach.",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
61,36:50:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
62,36:46:00,18:16,Harald Reinkind (THW Kiel) trifft zum Spielstand von 18:16 in Wunderino Arena.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
63,36:32:00,,Julian Köster (VfL Gummersbach) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,1,0
64,36:20:00,,Lukas Blohme von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
65,36:16:00,,Niklas Landin (THW Kiel) hält den Wurf von Tom Jansen.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
66,35:32:00,17:16,"Neuer Spielstand in Kiel, 17:16 durch den Treffer von Niclas Ekberg für THW Kiel.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
67,34:58:00,16:16,Lukas Blohme (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 16:16.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
68,34:51:00,16:15,Tor! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 16:15.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
69,34:18:00,,Stepan Zeman blockt den Wurf von Harald Reinkind.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
70,32:16:00,15:15,Tor (6M)! Tom Jansen (VfL Gummersbach) netzt ein zum neuen Spielstand von 15:15.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
71,32:10:00,15:14,Petter Øverby (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 15:14.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
72,31:56:00,,Jonas Stüber (VfL Gummersbach) scheitert am Torwart Niklas Landin (THW Kiel).,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
73,31:17:00,,"Der Torwart von VfL Gummersbach, Tibor Ivanisevic pariert den Wurf.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
74,31:09:00,,Jonas Stüber von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
75,30:41:00,,Zeitstrafe vorbei VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
76,30:36:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
77,30:25:00,,"Parade des Torwarts von VfL Gummersbach, Tibor Ivanisevic",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
78,,,HALBZEIT (14:14),THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
79,29:58:00,,"Block von Stepan Zeman, der den Torwurf von Sander Sagosen verhindert",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
80,29:17:00,14:14,"Neuer Spielstand in Kiel, 14:14 durch den Treffer 6M von Ole Pregler für VfL Gummersbach",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
81,28:58:00,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
82,28:49:00,,Tibor Ivanisevic (VfL Gummersbach) bleibt Sieger im 7-Meter-Duell gegen Niclas Ekberg (THW Kiel),THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
83,28:41:00,,"Nach einem harten Foul hat Ellidi Snaer Vidarsson (VfL Gummersbach) nun zwei Minuten Zeit, um sich auszuruhen",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,1,0
84,28:16:00,,Der Wurf von THW Kiel wurde geblockt,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
85,26:45:00,14:13,Domagoj Duvnjak (THW Kiel) trifft zum Spielstand von 14:13 in Wunderino Arena,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
86,25:22:00,,"Julian Köster (RM/fern) wirft, jedoch neben das Tor",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
87,24:40:00,13:13,Steffen Weinhold (THW Kiel) überwindet den Torwart zum neuen Spielstand von 13:13,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
88,24:27:00,12:13,Tor! Tom Jansen (VfL Gummersbach) netzt ein zum neuen Spielstand von 12:13,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
89,24:19:00,,Torwartwechsel bei VfL Gummersbach. Tibor Ivanisevic kommt für Fabian Norsten,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
90,23:59,12:12,"Neuer Spielstand in Kiel, 12:12 durch den Treffer von Harald Reinkind für THW Kiel",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
91,23:56,,Der Wurfversuch von Sander Sagosen (THW Kiel) wurde durch einen Block von Julian Köster verhindert,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
92,23:06,11:12,Ole Pregler (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 11:12,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
93,22:23,,Steffen Weinhold von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
94,22:11,,"Der Torwart von THW Kiel, Niklas Landin pariert den Wurf",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
95,21:56,,Auszeit VfL Gummersbach,THW Kiel,VfL Gummersbach,0,1,0,0,0,0,0,0
96,21:53,11:11,Tor (6M)! Domagoj Duvnjak (THW Kiel) netzt ein zum neuen Spielstand von 11:11,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
97,21:29,,Zeitstrafe vorbei THW Kiel,THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,0
98,20:47,10:11,Harald Reinkind (THW Kiel) trifft zum Spielstand von 10:11 in Wunderino Arena.,THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,0
99,20:34,,Ellidi Snaer Vidarsson blockt den Wurf von Sander Sagosen.,THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,0
100,19:56,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,VfL Gummersbach,0,0,1,0,1,0,0,0
101,19:23,,Petter Øverby (THW Kiel) erhält eine 2 Minuten Strafe.,THW Kiel,VfL Gummersbach,0,0,0,0,1,0,0,1
102,19:23,,Zeitstrafe vorbei VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
103,19:22,,Parade von Torwart Niklas Landin (THW Kiel).,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
104,18:45,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
105,18:35,9:11,Domagoj Duvnjak (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 9:11.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
106,17:51,,"Chance für Lukas Blohme (VfL Gummersbach), er trifft aber nur den Pfosten.",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
107,17:22,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
108,17:21,8:11,Steffen Weinhold (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 8:11.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
109,17:21,,Julian Köster geht den Gegner zu stark an. VfL Gummersbach muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,1,0
110,17:18,,Zeitstrafe vorbei VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
111,17:08,7:11,"Neuer Spielstand in Kiel, 7:11 durch den Treffer RL/fern von Julian Köster für VfL Gummersbach.",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
112,16:47,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
113,16:36,7:10,"Neuer Spielstand in Kiel, 7:10 durch den Treffer RM/fern von Rune Dahmke für THW Kiel.",THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
114,16:26,,Der Wurf von VfL Gummersbach wurde geblockt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
115,15:44,,Siebter Spieler eingewechselt VfL Gummersbach,THW Kiel,VfL Gummersbach,0,0,0,1,0,1,0,0
116,15:37,6:10,Sander Sagosen (THW Kiel) trifft von (RM/fern). Neuer Spielstand in Wunderino Arena: 6:10.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,0,0
117,15:18,,2-Minuten-Strafe für Ellidi Snaer Vidarsson. VfL Gummersbach muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,THW Kiel,VfL Gummersbach,0,0,0,0,0,1,1,0
118,14:40,,Tor! Tom Jansen (VfL Gummersbach) netzt ein zum neuen Spielstand von 5:10.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
119,14:07,,Wurfversuch von Harald Reinkind (THW Kiel) aber der Ball landet an der Latte.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
120,13:33,,Julian Köster von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
121,13:28,5:09,Harald Reinkind (THW Kiel) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 5:9.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
122,13:09,,Es gibt Gelb für Ellidi Snaer Vidarsson (VfL Gummersbach) von Krag/Hurst.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
123,12:09,,"Parade des Torwarts von THW Kiel, Niklas Landin.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
124,11:55,,Patrick Wiencek (THW Kiel) bekommt die Gelbe Karte von Krag/Hurst gezeigt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
125,11:20,,Patrick Wiencek von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
126,11:13,4:09,Julian Köster (VfL Gummersbach) legt den Treffer von Ellidi Snaer Vidarsson auf. Es steht 4:9.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
127,10:39,,"Gute Torchance, aber Rune Dahmke (THW Kiel) kann diese nicht erfolgreich verwandeln.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
128,9:50,4:08,Ellidi Snaer Vidarsson (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 4:8.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
129,9:39,4:07,"Neuer Spielstand in Kiel, 3:7 durch den Treffer von Domagoj Duvnjak für THW Kiel.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
130,9:05,,Niklas Landin (THW Kiel) hält den Wurf von Hakon Dadi Styrmisson.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
131,8:33,3:07,"Neuer Spielstand in Kiel, 3:7 durch den Treffer von Domagoj Duvnjak für THW Kiel.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
132,8:10,,Fabian Norsten (VfL Gummersbach) mit einer Parade.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
133,7:51,,Auszeit THW Kiel,THW Kiel,VfL Gummersbach,1,0,0,0,0,0,0,0
134,7:41,,Überragende Parade des Torwarts Niklas Landin (THW Kiel)! Tom Jansen kann den Ball nicht im Tor unterbringen!,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
135,7:26,2:07,Tor (6M)! Tom Jansen (VfL Gummersbach) netzt ein zum neuen Spielstand von 2:7.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
136,6:51,,Hendrik Pekeler von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
137,6:46,2:06,Tor! Ellidi Snaer Vidarsson (VfL Gummersbach) netzt ein zum neuen Spielstand von 2:6.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
138,6:19,2:05,"Neuer Spielstand in Kiel, 2:5 durch den Treffer von Nikola Bilyk für THW Kiel.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
139,6:03,1:05,Domagoj Duvnjak (THW Kiel) trifft zum Spielstand von 1:5 in Wunderino Arena.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
140,5:56,0:05,Hakon Dadi Styrmisson (VfL Gummersbach) trifft von (LA). Neuer Spielstand in Wunderino Arena: 0:5.,THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
141,4:53,0:04,"Neuer Spielstand in Kiel, 0:4 durch den Treffer 6M von Lukas Blohme für VfL Gummersbach.",THW Kiel,VfL Gummersbach,0,0,0,0,0,0,0,0
