Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,36:29:00,Rune Dahmke (THW Kiel) überwindet den Torwart zum neuen Spielstand von 36:29.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
59:50:00,,Auszeit THW Kiel,THW Kiel,Füchse Berlin,1,0,0,0,0,0,0,0
59:45:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
59:20:00,,Auszeit Füchse Berlin,THW Kiel,Füchse Berlin,0,1,0,0,0,0,0,0
59:15:00,35:29:00,"Tor von der 7-Meter Linie von Niclas Ekberg (THW Kiel), neuer Spielstand 35:29.",THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
58:36:00,34:29:00,"Neuer Spielstand in Kiel, 34:29 durch den Treffer 6M von Milos Vujovic für Füchse Berlin.",THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
57:42:00,,Überragende Parade des Torwarts Niklas Landin (THW Kiel)! Robert Weber kann den Ball nicht im Tor unterbringen!,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
56:56:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
56:41:00,34:28:00,Domagoj Duvnjak (THW Kiel) überwindet den Torwart zum neuen Spielstand von 34:28.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
55:40:00,,Parade von Torwart Niklas Landin (THW Kiel).,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
55:29:00,,"Wurf von Hendrik Pekeler (THW Kiel), aber der Ball landet nur am Pfosten.",THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
54:50:00,,Milos Vujovic (Füchse Berlin) scheitert am Torwart Niklas Landin (THW Kiel).,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
54:22:00,,Dejan Milosavljev (Füchse Berlin) hält den Wurf von Niclas Ekberg.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
53:57:00,33:28:00,Domagoj Duvnjak (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 33:28.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
53:11:00,,Der eingewechselte Torwart Dejan Milosavljev (Füchse Berlin) steht nun zwischen den Pfosten.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
53:06:00,,Tor! Lasse Bredekjaer Andersson (Füchse Berlin) netzt ein zum neuen Spielstand von 32:28.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
52:53:00,32:27:00,"Neuer Spielstand in Kiel, 32:27 durch den Treffer von Domagoj Duvnjak für THW Kiel.",THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
52:17:00,,"Parade des Torwarts von THW Kiel, Niklas Landin.",THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
52:09:00,,Fehlwurf von Eric Johansson (THW Kiel).,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
51:01:00,,Milos Vujovic (Füchse Berlin) trifft von (LA). Neuer Spielstand in Wunderino Arena: 31:27.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
50:51:00,31:26:00,"Tor! Es war Nikola Bilyk (THW Kiel), der das Tor von Rune Dahmke vorbereitete.",THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
50:31:00,,Max Darj von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
50:23:00,,Victor Kireev (Füchse Berlin) mit einer Parade.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
50:05:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,Füchse Berlin,0,0,0,0,1,0,0,0
49:30:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Füchse Berlin,0,0,1,0,1,0,0,0
49:21:00,,"Der Torwart von THW Kiel, Niklas Landin hält den Wurf von Milos Vujovic.",THW Kiel,Füchse Berlin,0,0,0,0,1,0,0,0
49:12:00,30:26:00,Harald Reinkind (THW Kiel) tankt sich durch und erzielt einen Treffer zum 30:26.,THW Kiel,Füchse Berlin,0,0,0,0,1,0,0,0
48:31:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Füchse Berlin,0,0,1,0,1,0,0,0
48:17:00,,Die Vorbereitung von Lasse Bredekjaer Andersson (Füchse Berlin) führt zum Treffer durch Robert Weber.,THW Kiel,Füchse Berlin,0,0,0,0,1,0,0,0
48:03:00,,Petter Øverby (THW Kiel) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,THW Kiel,Füchse Berlin,0,0,0,0,1,0,0,1
47:52:00,,"Gute Torchance, aber Rune Dahmke (THW Kiel) kann diese nicht erfolgreich verwandeln.",THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
47:19:00,,Auszeit THW Kiel,THW Kiel,Füchse Berlin,1,0,0,0,0,0,0,0
47:19:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Füchse Berlin,0,0,1,0,0,0,0,0
46:48:00,29:25:00,Lasse Bredekjaer Andersson (Füchse Berlin) legt den Treffer von Mijajlo Marsenic auf. Es steht 29:25.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
46:17:00,29:24:00,Tor (6M)! Petter Øverby (THW Kiel) netzt ein zum neuen Spielstand von 29:24.,THW Kiel,Füchse Berlin,0,0,0,0,0,0,0,0
45:51:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,Füchse Berlin,0,0,1,0,0,0,0,0
