Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,,Der Wurf von Miha Zarabec (THW Kiel) landet hinter dem Tor.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
59:36:00,35:26:00,Christopher Bissel (HC Erlangen) überwindet den Torwart von (LA) zum neuen Spielstand von 35:26.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
58:45:00,35:25:00,Karl Wallinius (THW Kiel) trifft zum Spielstand von 35:25 in Wunderino Arena.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
58:14:00,34:25:00,Christopher Bissel (HC Erlangen) überwindet den Torwart von (LA) zum neuen Spielstand von 34:25.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
57:40:00,,Niklas Landin (THW Kiel) hält den Wurf von Christopher Bissel.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
56:43:00,34:24:00,"Neuer Spielstand in Kiel, 34:24 durch den Treffer von Sebastian Firnhaber für HC Erlangen.",THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
56:30:00,34:23:00,"Neuer Spielstand in Kiel, 34:23 durch den Treffer 6M von Hendrik Pekeler für THW Kiel.",THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
56:14:00,,"Der Torwart von THW Kiel, Niklas Landin hält den Wurf von Manuel Zehnder.",THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
55:24:00,,Siebter Spieler eingewechselt HC Erlangen,THW Kiel,HC Erlangen,0,0,0,1,0,0,0,0
55:18:00,33:23:00,Karl Wallinius (THW Kiel) überwindet den Torwart zum neuen Spielstand von 33:23.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
54:25:00,32:23:00,Lutz Heiny (HC Erlangen) trifft von (RM/fern). Neuer Spielstand in Wunderino Arena: 32:23.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
54:04:00,,Siebter Spieler eingewechselt HC Erlangen,THW Kiel,HC Erlangen,0,0,0,1,0,0,0,0
53:57:00,32:22:00,Karl Wallinius (THW Kiel) trifft zum Spielstand von 32:22 in Wunderino Arena.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
52:51:00,31:22:00,Tor (RM/fern)! Hendrik Pekeler (THW Kiel) netzt ein zum neuen Spielstand von 31:22.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
52:45:00,30:22:00,Tor! Christopher Bissel (HC Erlangen) netzt ein zum neuen Spielstand von 30:22.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
52:25:00,,Siebter Spieler eingewechselt HC Erlangen,THW Kiel,HC Erlangen,0,0,0,1,0,0,0,0
52:14:00,30:21:00,Tor! Karl Wallinius (THW Kiel) netzt ein zum neuen Spielstand von 30:21.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
51:26:00,29:21:00,Manuel Zehnder (HC Erlangen) trifft von (6M). Neuer Spielstand in Wunderino Arena: 29:21.,THW Kiel,HC Erlangen,0,0,0,0,0,0,0,0
