Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:19:00,38:23:00,Tor! Magnus Landin (THW Kiel) netzt ein zum neuen Spielstand von 38:23.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
58:23:00,,Niklas Landin (THW Kiel) hält den Wurf von Hendrik Wagner.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
57:41:00,,Überragende Parade des Torwarts Till Klimpke (HSG Wetzlar)! Sander Sagosen kann den Ball nicht im Tor unterbringen!,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
57:10:00,37:23:00,Ole Klimpke (HSG Wetzlar) trifft zum Spielstand von 37:23 in Wunderino Arena.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
56:36:00,37:22:00,"Neuer Spielstand in Kiel, 37:22 durch den Treffer 6M von Harald Reinkind für THW Kiel.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
56:29:00,,Domen Novak von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
55:58:00,36:22:00,Nikola Bilyk (THW Kiel) überwindet den Torwart zum neuen Spielstand von 36:22.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
55:16:00,35:22:00,Nikola Bilyk (THW Kiel) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 35:22.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
54:08:00,34:22:00,"Neuer Spielstand in Kiel, 34:22 durch den Treffer RM/fern von Emil Mellegard für HSG Wetzlar.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
54:01:00,34:21:00,Tor! Harald Reinkind (THW Kiel) netzt ein zum neuen Spielstand von 34:21.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
53:40:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,HSG Wetzlar,0,0,1,0,0,0,0,0
53:23:00,,Zeitstrafe vorbei THW Kiel,THW Kiel,HSG Wetzlar,0,0,0,0,1,0,0,0
53:10:00,34:19:00,Der 7-Meter wurde von Lukas Becher (HSG Wetzlar) erfolgreich verwandelt.,THW Kiel,HSG Wetzlar,0,0,0,0,1,0,0,0
51:45:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,HSG Wetzlar,0,0,0,0,1,0,0,0
50:39:00,32:18:00,Magnus Landin (THW Kiel) trifft von der 7-Meter Linie und bringt den Spielstand auf 32:18.,THW Kiel,HSG Wetzlar,0,0,0,0,1,0,0,0
49:52:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,HSG Wetzlar,0,0,1,0,1,0,0,0
49:42:00,,Es gibt eine 2 Minuten Strafe für Patrick Wiencek (THW Kiel).,THW Kiel,HSG Wetzlar,0,0,0,0,1,0,0,1
49:33:00,,"Parade des Torwarts von HSG Wetzlar, Till Klimpke.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
49:15:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,HSG Wetzlar,0,0,1,0,0,0,0,0
49:07:00,,Parade von Torwart Till Klimpke (HSG Wetzlar).,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
48:58:00,,Domen Novak (HSG Wetzlar) trifft nur den Pfosten.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
48:07:00,31:17:00,Magnus Landin (THW Kiel) trifft zum Spielstand von 31:17 in Wunderino Arena.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
47:46:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,HSG Wetzlar,0,0,1,0,0,0,0,0
47:26:00,,"Der Torwart von THW Kiel, Niklas Landin pariert den Wurf.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
47:17:00,30:17:00,"Neuer Spielstand in Kiel, 30:17 durch den Treffer von Sander Sagosen für THW Kiel.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
46:48:00,,Ole Klimpke von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
45:51:00,29:17:00,Magnus Landin (THW Kiel) trifft von (LA). Neuer Spielstand in Wunderino Arena: 29:17.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
45:15:00,,"Neuer Spielstand in Kiel, 28:17 durch den Treffer RM/fern von Adam Nyfjäll für HSG Wetzlar.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
44:49:00,28:16:00,Sander Sagosen (THW Kiel) überwindet den Torwart zum neuen Spielstand von 28:16.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
44:34:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,HSG Wetzlar,0,0,1,0,0,0,0,0
44:15:00,27:16:00,Tor! Petter Øverby (THW Kiel) netzt ein zum neuen Spielstand von 27:16.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
43:38:00,,"Tor Adam Nyfjäll, HSG Wetzlar",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
43:32:00,26:15:00,Nikola Bilyk (THW Kiel) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 26:15.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
43:20:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,HSG Wetzlar,0,0,1,0,0,0,0,0
41:54:00,25:15:00,Tor! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 25:15.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
41:43:00,24:15:00,"Neuer Spielstand in Kiel, 24:15 durch den Treffer 6M von Hendrik Wagner für HSG Wetzlar.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
40:54:00,24:14:00,Yannick Fraatz (THW Kiel) überwindet den Torwart zum neuen Spielstand von 24:14.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
40:34:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,HSG Wetzlar,0,0,1,0,0,0,0,0
40:11:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
40:02:00,23:14,Sander Sagosen (THW Kiel) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 23:14.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
39:29:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,HSG Wetzlar,0,0,1,0,0,0,0,0
39:28:00,,Tor (6M)! Domen Novak (HSG Wetzlar) netzt ein zum neuen Spielstand von 22:14.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
38:30:00,,"Parade des Torwarts von THW Kiel, Niklas Landin.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
38:07:00,22:13,Ole Klimpke (HSG Wetzlar) trifft zum Spielstand von 22:13 in Wunderino Arena.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
37:28:00,,Parade von Torwart Niklas Landin (THW Kiel).,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
37:20:00,,Hendrik Pekeler (THW Kiel) scheitert am Torwart Till Klimpke (HSG Wetzlar).,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
37:15:00,,Überragende Parade des Torwarts Till Klimpke (HSG Wetzlar)! Harald Reinkind kann den Ball nicht im Tor unterbringen!,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
36:39:00,,"Emil Mellegard (RM/fern) wirft, jedoch neben das Tor.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
35:55:00,22:12,"Neuer Spielstand in Kiel, 22:12 durch den Treffer von Sander Sagosen für THW Kiel.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
35:42:00,21:12,Hendrik Wagner (HSG Wetzlar) trifft von (RM/fern). Neuer Spielstand in Wunderino Arena: 21:12.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
35:09:00,,"Der Torwart von HSG Wetzlar, Till Klimpke hält den Wurf von Sander Sagosen.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
34:44:00,21:11,Lukas Becher (HSG Wetzlar) trifft von der 7-Meter Linie.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
33:37:00,,Auszeit HSG Wetzlar,THW Kiel,HSG Wetzlar,0,1,0,0,0,0,0,0
33:35:00,21:10,Sander Sagosen (THW Kiel) trifft zum Spielstand von 21:10 in Wunderino Arena.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
33:28:00,,Till Klimpke (HSG Wetzlar) mit einer Parade.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
33:21:00,,"Der Torwart von THW Kiel, Niklas Landin pariert den Wurf.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
33:13:00,,Till Klimpke (HSG Wetzlar) hält den Wurf von Hendrik Pekeler.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
32:08:00,20:10,"Neuer Spielstand in Kiel, 20:10 durch den Treffer 6M von Domagoj Duvnjak für THW Kiel.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
30:45:00,,Till Klimpke (HSG Wetzlar) mit einer Parade.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
,,HALBZEIT (19:10),THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
29:30:00,,HSG Wetzlar wechselt den Torwart. Till Klimpke kommt für Leonard Grazioli.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
29:22:00,19:10,"Neuer Spielstand in Kiel, 19:10 durch den Treffer von Harald Reinkind für THW Kiel.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
27:59:00,18:10,Tor (LA)! Emil Mellegard (HSG Wetzlar) netzt ein zum neuen Spielstand von 18:10.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
27:20:00,18:09,"Tor Hendrik Pekeler, THW Kiel",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
27:16:00,,"Chance für Lenny Rubin (HSG Wetzlar), er trifft aber nur den Pfosten.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
27:01:00,,Siebter Spieler eingewechselt HSG Wetzlar,THW Kiel,HSG Wetzlar,0,0,0,1,0,0,0,0
26:22:00,17:09,Domagoj Duvnjak (THW Kiel) überwindet den Torwart zum neuen Spielstand von 17:9.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
26:09:00,16:09,Tor! Sander Sagosen (THW Kiel) netzt ein zum neuen Spielstand von 16:9.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
25:32:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
25:26:00,,Siebter Spieler eingewechselt HSG Wetzlar,THW Kiel,HSG Wetzlar,0,0,0,1,0,0,0,0
25:03:00,15:09,"Neuer Spielstand in Kiel, 15:9 durch den Treffer von Magnus Landin für THW Kiel.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
24:40:00,,Auszeit THW Kiel,THW Kiel,HSG Wetzlar,1,0,0,0,0,0,0,0
24:28:00,14:09,"Neuer Spielstand in Kiel, 14:9 durch den Treffer RA von Lars Weissgerber für HSG Wetzlar.",THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
24:13:00,,Miha Zarabec von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
23:36,14:08,Lenny Rubin (HSG Wetzlar) trifft zum Spielstand von 14:8 in Wunderino Arena.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
22:59,,Der Wurf von THW Kiel wurde geblockt.,THW Kiel,HSG Wetzlar,0,0,0,0,0,0,0,0
22:52,,Zeitstrafe vorbei THW Kiel,THW Kiel,HSG Wetzlar,0,0,0,0,1,0,0,0
22:12,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,HSG Wetzlar,0,0,1,0,1,0,0,0
21:58,,Parade von Torwart Niklas Landin (THW Kiel).,THW Kiel,HSG Wetzlar,0,0,0,0,1,0,0,0
