Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,,Überragende Parade des Torwarts Niklas Landin (THW Kiel)! Martin Hanne kann den Ball nicht im Tor unterbringen!,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:01:00,33:23:00,Tor (6M)! Niclas Ekberg (THW Kiel) netzt ein zum neuen Spielstand von 33:23.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:29:00,32:23:00,Niclas Ekberg (THW Kiel) trifft zum Spielstand von 32:23 in Wunderino Arena.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:56:00,,"Parade des Torwarts von Hannover-Burgdorf, Domenico Ebner.",THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:40:00,,Martin Hanne (Hannover-Burgdorf) trifft die Latte.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:07:00,31:23:00,Niclas Ekberg (THW Kiel) überwindet den Torwart von (RA) zum neuen Spielstand von 31:23.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:20:00,30:23:00,"Neuer Spielstand in Kiel, 30:23 durch den Treffer von Martin Hanne für Hannover-Burgdorf.",THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:14:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:06:00,30:22:00,Veit Mävers (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 30:22.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:51:00,,Auszeit Hannover-Burgdorf.,THW Kiel,Hannover-Burgdorf,0,1,0,0,0,0,0,0
54:37:00,,Der Wurf von Patrick Wiencek (THW Kiel) landet hinter dem Tor.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:33:00,,"Parade des Torwarts von Hannover-Burgdorf, Domenico Ebner.",THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53:09:00,30:21:00,Tor! Sander Sagosen (THW Kiel) netzt ein zum neuen Spielstand von 30:21.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:39:00,,Zeitstrafe vorbei Hannover-Burgdorf.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,1,0,0
51:15:00,29:21:00,Rune Dahmke (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 29:21.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,1,0,0
51:09:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,1,0,0
50:18:00,,Siebter Spieler eingewechselt Hannover-Burgdorf.,THW Kiel,Hannover-Burgdorf,0,0,0,1,0,1,0,0
50:05:00,28:21:00,Sander Sagosen (THW Kiel) trifft zum Spielstand von 28:21 in Wunderino Arena.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,1,0,0
49:38:00,,Martin Hanne geht den Gegner zu stark an. Hannover-Burgdorf muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,1,1,0
49:08:00,27:21:00,Tor (RL/fern)! Martin Hanne (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 27:21.,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
48:57:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,THW Kiel,Hannover-Burgdorf,0,0,0,0,0,0,0,0
48:35:00,,Zeitstrafe vorbei THW Kiel.,THW Kiel,Hannover-Burgdorf,0,0,0,0,1,0,0,0
48:03:00,,Siebter Spieler eingewechselt THW Kiel.,THW Kiel,Hannover-Burgdorf,0,0,1,0,1,0,0,0
47:51:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,Hannover-Burgdorf,0,0,0,0,1,0,0,0
47:27:00,,Domenico Ebner (Hannover-Burgdorf) hält den Wurf von Domagoj Duvnjak.,THW Kiel,Hannover-Burgdorf,0,0,0,0,1,0,0,0
47:20:00,,Auszeit THW Kiel.,THW Kiel,Hannover-Burgdorf,1,0,0,0,1,0,0,0
46:54:00,,Siebter Spieler eingewechselt THW Kiel.,THW Kiel,Hannover-Burgdorf,0,0,1,0,1,0,0,0
46:27:00,,"Parade von Niklas Landin, Marius Steinhauser vergibt von der 7-Meter Linie!",THW Kiel,Hannover-Burgdorf,0,0,0,0,1,0,0,0
46:27:00,,Harald Reinkind (THW Kiel) erhält eine 2 Minuten Strafe.,THW Kiel,Hannover-Burgdorf,0,0,0,0,1,0,1,0
