Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:43:00,31:34:00,Sander Sagosen (THW Kiel) überwindet den Torwart zum neuen Spielstand von 31:34.,THW Kiel,SC DHfK Leipzig,0,0,0,0,1,0,0,0
59:23:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC DHfK Leipzig,0,0,1,0,1,0,0,0
59:12:00,30:34:00,Der 7-Meter wurde von Viggó Kristjánsson (SC DHfK Leipzig) erfolgreich verwandelt.,THW Kiel,SC DHfK Leipzig,0,0,0,0,1,0,0,0
59:08:00,,Magnus Landin (THW Kiel) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,THW Kiel,SC DHfK Leipzig,0,0,0,0,1,0,0,1
58:10:00,30:33:00,Nikola Bilyk (THW Kiel) tankt sich durch und trifft!,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:52:00,29:33:00,"Tor von der 7-Meter Linie von Viggó Kristjánsson (SC DHfK Leipzig), neuer Spielstand 29:33.",THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:16:00,,Nun wird Mohamed Essam Moustafa El-Tayar für SC DHfK Leipzig im Tor stehen.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:02:00,29:32:00,"Neuer Spielstand in Kiel, 29:32 durch den Treffer von Harald Reinkind für THW Kiel.",THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:52:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC DHfK Leipzig,0,0,1,0,0,0,0,0
56:39:00,28:32:00,Lukas Binder (SC DHfK Leipzig) verwandelt einen Tempogegenstoß.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:30:00,28:31:00,Simon Ernst (SC DHfK Leipzig) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 28:31.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:00:00,28:30:00,Nikola Bilyk (THW Kiel) tankt sich durch und erzielt einen Treffer zum 28:30.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:46:00,27:30:00,Simon Ernst (SC DHfK Leipzig) legt den Treffer von Maciej Gebala auf. Es steht 27:30.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:12:00,27:29:00,Tor (RM/fern)! Sander Sagosen (THW Kiel) netzt ein zum neuen Spielstand von 27:29.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:41:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC DHfK Leipzig,0,0,1,0,0,0,0,0
54:32:00,,Viggó Kristjánsson (SC DHfK Leipzig) scheitert am Torwart Niklas Landin (THW Kiel).,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:01:00,26:29:00,Harald Reinkind (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 26:29.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:28:00,,Auszeit THW Kiel,THW Kiel,SC DHfK Leipzig,1,0,0,0,0,0,0,0
53:28:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC DHfK Leipzig,0,0,1,0,0,0,0,0
53:18:00,25:29:00,"Tor! Es war Matej Klima (SC DHfK Leipzig), der das Tor von Simon Ernst vorbereitete.",THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:16:00,25:28:00,"Neuer Spielstand in Kiel, 25:28 durch den Treffer RM/fern von Sander Sagosen für THW Kiel.",THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:44:00,24:28:00,Simon Ernst (SC DHfK Leipzig) trifft zum Spielstand von 24:28 in Wunderino Arena.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:57:00,24:28:00,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:36:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC DHfK Leipzig,0,0,1,0,0,0,0,0
51:25:00,,Tor für SC DHfK Leipzig durch Patrick Wiesmach nach einem Pass von Simon Ernst.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:14:00,24:27:00,Auszeit SC DHfK Leipzig,THW Kiel,SC DHfK Leipzig,0,1,0,0,0,0,0,0
50:46:00,24:26:00,Magnus Landin (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 24:26.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:38:00,,"Der Torwart von THW Kiel, Tomas Mrkva hält den Wurf von Moritz Preuss.",THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:15:00,,Zeitstrafe vorbei SC DHfK Leipzig,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,1,0,0
49:31:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,THW Kiel,SC DHfK Leipzig,0,0,0,1,0,1,0,0
49:22:00,23:26,Tor! Magnus Landin (THW Kiel) netzt ein zum neuen Spielstand von 23:26.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,1,0,0
49:12:00,22:26,"Neuer Spielstand in Kiel, 22:26 durch den Treffer LA von Lukas Binder für SC DHfK Leipzig",THW Kiel,SC DHfK Leipzig,0,0,0,0,0,1,0,0
48:33:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,THW Kiel,SC DHfK Leipzig,0,0,0,1,0,1,0,0
48:25:00,22:25,"Neuer Spielstand in Kiel, 22:25 durch den Treffer von Sander Sagosen für THW Kiel.",THW Kiel,SC DHfK Leipzig,0,0,0,0,0,1,0,0
48:13:00,,Viggó Kristjánsson (SC DHfK Leipzig) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,1,1,0
47:57:00,,Rune Dahmke von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:44:00,,"Parade des Torwarts von THW Kiel, Tomas Mrkva.",THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:16:00,,SC DHfK Leipzig wechselt den Torwart. Kristian Sæverås kommt für Mohamed Essam Moustafa El-Tayar.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:11:00,21:25,Niclas Ekberg (THW Kiel) trifft von der 7-Meter Linie.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:02:00,,Der eingewechselte Torwart Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) steht nun zwischen den Pfosten.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:40:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC DHfK Leipzig,0,0,1,0,0,0,0,0
46:26:00,,Patrick Wiesmach von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:57:00,,SC DHfK Leipzig wechselt den Torwart. Kristian Sæverås kommt für Mohamed Essam Moustafa El-Tayar.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:37:00,20:25,Der 7-Meter wurde von Niclas Ekberg (THW Kiel) erfolgreich verwandelt.,THW Kiel,SC DHfK Leipzig,0,0,0,0,0,0,0,0
