Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:38:00,,Auszeit SC Magdeburg,THW Kiel,SC Magdeburg,0,1,0,0,0,0,0,0
59:10:00,,Sander Sagosen von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
58:48:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC Magdeburg,0,0,1,0,0,0,0,0
58:39:00,,Überragende Parade des Torwarts Niklas Landin (THW Kiel)! Kay Smits kann den Ball nicht im Tor unterbringen!,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
57:48:00,,Nikola Portner (SC Magdeburg) mit einer Parade.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
57:40:00,,"Parade des Torwarts von THW Kiel, Niklas Landin.",THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
57:06:00,34:34:00,Sander Sagosen (THW Kiel) trifft von (6M). Neuer Spielstand in Wunderino Arena: 34:34.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
56:23:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC Magdeburg,0,0,1,0,0,0,0,0
56:07:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
55:34:00,33:34:00,Tor! Rune Dahmke (THW Kiel) netzt ein zum neuen Spielstand von 33:34.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
32:34:00,55:20:00,"Neuer Spielstand in Kiel, 32:34 durch den Treffer von Kay Smits für SC Magdeburg.",THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
54:46:00,32:33:00,"Neuer Spielstand in Kiel, 32:33 durch den Treffer von Niclas Ekberg für THW Kiel.",THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
54:25:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC Magdeburg,0,0,1,0,0,0,0,0
31:33:00,54:19:00,Lucas Meister (SC Magdeburg) trifft von (6M). Neuer Spielstand in Wunderino Arena: 31:33.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
54:03:00,,Michael Damgaard (SC Magdeburg) scheitert am Torwart Niklas Landin (THW Kiel).,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
53:25:00,,Nikola Portner (SC Magdeburg) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
53:17:00,31:32:00,Hendrik Pekeler (THW Kiel) trifft zum Spielstand von 31:32 in Wunderino Arena.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
53:08:00,,"Der Torwart von THW Kiel, Niklas Landin pariert den Wurf.",THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
52:48:00,,Überragende Parade des Torwarts Niklas Landin (THW Kiel)! Kay Smits kann den Ball nicht im Tor unterbringen!,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
52:00:00,30:32:00,Sander Sagosen (THW Kiel) überwindet den Torwart zum neuen Spielstand von 30:32.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
51:46:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC Magdeburg,0,0,1,0,0,0,0,0
29:32:00,51:38:00,Tor! Lucas Meister (SC Magdeburg) netzt ein zum neuen Spielstand von 29:32.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
51:31:00,,Nikola Bilyk von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
51:19:00,,Auszeit THW Kiel,THW Kiel,SC Magdeburg,1,0,0,0,0,0,0,0
51:19:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC Magdeburg,0,0,1,0,0,0,0,0
29:31:00,50:52:00,Gisli Thorgeir Kristjansson (SC Magdeburg) überwindet den Torwart von (6M) zum neuen Spielstand von 29:31.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
50:14:00,29:30:00,"Tor! Es war Eric Johansson (THW Kiel), der das Tor von Hendrik Pekeler vorbereitete.",THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
28:30:00,50:01:00,"Neuer Spielstand in Kiel, 28:30 durch den Treffer 6M von Kay Smits für SC Magdeburg.",THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
49:13:00,,Sander Sagosen von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
48:31:00,,Siebter Spieler eingewechselt THW Kiel,THW Kiel,SC Magdeburg,0,0,1,0,0,0,0,0
28:29:00,48:12:00,Tor (6M)! Oscar Bergendahl (SC Magdeburg) netzt ein zum neuen Spielstand von 28:29.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
47:30:00,28:28:00,Eric Johansson (THW Kiel) überwindet den Torwart zum neuen Spielstand von 28:28.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
27:28:00,46:42:00,"Tor von der 7-Meter Linie von Kay Smits (SC Magdeburg), neuer Spielstand 27:28.",THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
45:30:00,,"Der Torwart von SC Magdeburg, Mike Jensen hält den Wurf von Nikola Bilyk.",THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
44:57:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
44:25:00,,"Nikola Bilyk wirft auf das Tor, trifft aber nur den Pfosten.",THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
43:57:00,27:27:00,Michael Damgaard (SC Magdeburg) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 27:27.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
43:43:00,,Harald Reinkind von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
43:32:00,,Parade von Torwart Niklas Landin (THW Kiel).,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
42:45:00,,Auszeit SC Magdeburg,THW Kiel,SC Magdeburg,0,1,0,0,0,0,0,0
42:27:00,27:26:00,Harald Reinkind (THW Kiel) trifft zum Spielstand von 27:26 in Wunderino Arena.,THW Kiel,SC Magdeburg,0,0,0,0,0,0,0,0
