Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:56:00,29:19:00,"Neuer Spielstand in Kiel, 29:19 durch den Treffer 6M von Nikola Bilyk für THW Kiel.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:38:00,28:19:00,Tor! Teitur Örn Einarsson (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 28:19.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:18:00,,Benjamin Buric (SG Flensburg-Handewitt) hält den Wurf von Hendrik Pekeler.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:45:00,28:18:00,Tor (RA)! Johan Hansen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 28:18.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:11:00,28:17:00,"Neuer Spielstand in Kiel, 28:17 durch den Treffer von Domagoj Duvnjak für THW Kiel.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:04:00,,Überragende Parade des Torwarts Niklas Landin (THW Kiel)! Teitur Örn Einarsson kann den Ball nicht im Tor unterbringen!,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:29:00,,Nikola Bilyk (THW Kiel) scheitert am Torwart Benjamin Buric (SG Flensburg-Handewitt).,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:15:00,,Simon Hald Jensen blockt den Wurf von Eric Johansson.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:38:00,,Zeitstrafe vorbei SG Flensburg-Handewitt.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
56:20:00,,"Der Torwart von THW Kiel, Niklas Landin hält den Wurf von Hans Aaron Mensing.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
56:11:00,,Der Wurfversuch von Hans Aaron Mensing (SG Flensburg-Handewitt) wurde durch einen Block von Patrick Wiencek verhindert.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
55:17:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt.,THW Kiel,SG Flensburg-Handewitt,0,0,0,1,0,1,0,0
55:01:00,27:17:00,Nikola Bilyk (THW Kiel) überwindet den Torwart zum neuen Spielstand von 27:17.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
54:36:00,,Mads Mensah Larsen (SG Flensburg-Handewitt) erhält eine 2 Minuten Strafe.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,1,1,0
53:55:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
53:48:00,26:17:00,"Neuer Spielstand in Kiel, 26:17 durch den Treffer von Patrick Wiencek für THW Kiel.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
52:42:00,,Parade von Torwart Benjamin Buric (SG Flensburg-Handewitt).,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
52:25:00,,Auszeit THW Kiel.,THW Kiel,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
52:14:00,25:17:00,August Baskar Pedersen (SG Flensburg-Handewitt) trifft zum Spielstand von 25:17 in Wunderino Arena.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
52:03:00,25:16:00,Nikola Bilyk (THW Kiel) überwindet den Torwart zum neuen Spielstand von 25:16.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
51:40:00,,"Parade des Torwarts von SG Flensburg-Handewitt, Benjamin Buric.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
50:40:00,,"Gute Torchance, aber Harald Reinkind (THW Kiel) kann diese nicht erfolgreich verwandeln.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
49:20:00,,"Hans Aaron Mensing (RM/fern) wirft, jedoch neben das Tor.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
48:00:00,,Der Wurf von THW Kiel wurde geblockt.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
47:28:00,24:16:00,"Tor Patrick Wiencek, THW Kiel.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
47:18:00,23:16,Mads Mensah Larsen (SG Flensburg-Handewitt) trifft zum Spielstand von 23:16 in Wunderino Arena.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
47:07:00,23:15,Tor! Eric Johansson (THW Kiel) netzt ein zum neuen Spielstand von 23:15.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
46:24:00,22:15,"Tor Hans Aaron Mensing, SG Flensburg-Handewitt.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
45:56:00,22:14,"Tor Eric Johansson, THW Kiel.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
45:28:00,,Niklas Landin (THW Kiel) mit einer Parade.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
45:13:00,,Auszeit SG Flensburg-Handewitt.,THW Kiel,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
45:01:00,21:13,Hendrik Pekeler (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 21:13.,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
44:23:00,,"Der Torwart von THW Kiel, Niklas Landin pariert den Wurf.",THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
44:13:00,,Harald Reinkind (THW Kiel) scheitert am Torwart Benjamin Buric (SG Flensburg-Handewitt).,THW Kiel,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
