,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:43:00,,"Parade des Torwarts von TVB Stuttgart, Silvio Heinevetter.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
2,59:08:00,29:20:00,"Neuer Spielstand in Stuttgart, 29:20 durch den Treffer von Jan Forstbauer für TVB Stuttgart.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
3,58:59:00,,Silvio Heinevetter (TVB Stuttgart) hält den Wurf von Yonatan Dayan.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
4,58:33:00,28:20:00,Tor! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 28:20.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
5,58:03:00,27:20:00,Der 7-Meter wurde von Savvas Savvas (ASV Hamm-Westfalen) erfolgreich verwandelt.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
6,57:33:00,,Parade von Torwart Felix Hertlein (ASV Hamm-Westfalen).,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
7,56:29:00,,Stefan Bauer (ASV Hamm-Westfalen) scheitert am Torwart Silvio Heinevetter (TVB Stuttgart).,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
8,56:20:00,,Auszeit ASV Hamm-Westfalen,TVB Stuttgart,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
9,55:36:00,27:19:00,Nico Schöttle (TVB Stuttgart) trifft zum Spielstand von 27:19 in Porsche-Arena.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
10,54:49:00,,Fehlwurf von Savvas Savvas (ASV Hamm-Westfalen).,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
11,54:39:00,26:19:00,Tor (6M)! Fynn-Luca Nicolaus (TVB Stuttgart) netzt ein zum neuen Spielstand von 26:19.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
12,53:38:00,25:19:00,Savvas Savvas (ASV Hamm-Westfalen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 25:19.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
13,53:04:00,25:18:00,Tor! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 25:18.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
14,52:27:00,,Überragende Parade des Torwarts Silvio Heinevetter (TVB Stuttgart)! Yonatan Dayan kann den Ball nicht im Tor unterbringen!,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
15,51:44:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
16,51:33:00,24:18:00,Patrick Zieker (TVB Stuttgart) trifft von der 7-Meter Linie.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
17,51:25:00,,Benjamin Meschke geht den Gegner zu stark an. ASV Hamm-Westfalen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
18,50:31:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
19,49:41:00,,Auszeit ASV Hamm-Westfalen,TVB Stuttgart,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
20,49:14:00,23:17,"Neuer Spielstand in Stuttgart, 23:17 durch den Treffer 6M von Jerome Müller für TVB Stuttgart.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
21,48:37:00,,"Der Torwart von TVB Stuttgart, Silvio Heinevetter pariert den Wurf.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
22,48:28:00,22:17,"Neuer Spielstand in Stuttgart, 22:17 durch den Treffer von Jerome Müller für TVB Stuttgart.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
23,47:59:00,,Benjamin Meschke von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
24,47:23:00,,"Block von Alexander Schulze, der den Torwurf von Ivan Sliskovic verhindert.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
25,46:52:00,,Andreas Bornemann von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
26,46:18:00,21:17,Jorge Serrano Villalobos (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 21:17.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
27,46:03:00,,Auszeit TVB Stuttgart,TVB Stuttgart,ASV Hamm-Westfalen,1,0,0,0,0,0,0,0
28,45:26:00,20:17,"Neuer Spielstand in Stuttgart, 20:17 durch den Treffer RM/fern von Andreas Bornemann für ASV Hamm-Westfalen.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
29,44:46:00,,Egon Hanusz von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
30,43:56:00,20:16,Alexander Schulze (ASV Hamm-Westfalen) trifft von (LA). Neuer Spielstand in Porsche-Arena: 20:16.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
31,43:09:00,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
32,42:56:00,20:15,Jan Forstbauer (TVB Stuttgart) trifft zum Spielstand von 20:15 in Porsche-Arena.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
33,41:58:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,ASV Hamm-Westfalen,0,0,1,0,1,0,0,0
34,41:48:00,19:15,"Neuer Spielstand in Stuttgart, 19:15 durch den Treffer von Alexander Schulze für ASV Hamm-Westfalen.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
35,41:30:00,,Der Wurfversuch von Marian Orlowski (ASV Hamm-Westfalen) wurde durch einen Block von Samuel Röthlisberger verhindert.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
36,41:11:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,1,1,0,0
37,41:07:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,1,1,1,0,0
38,41:06:00,,"Nach einem harten Foul hat Jerome Müller (TVB Stuttgart) nun zwei Minuten Zeit, um sich auszuruhen.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,1,1,0,1
39,39:54:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
40,39:43:00,19:14,Tor (6M)! Ivan Sliskovic (TVB Stuttgart) netzt ein zum neuen Spielstand von 19:14.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
41,39:08:00,,2-Minuten-Strafe für Benjamin Meschke. ASV Hamm-Westfalen muss nun die nächsten...,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
42,38:29:00,18:14,Marian Orlowski (ASV Hamm-Westfalen) durchbricht die Abwehr und trifft zum 18:14.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
43,37:55:00,18:13,"Tor! Es war Yonatan Dayan (ASV Hamm-Westfalen), der das Tor von Alexander Schulze...",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
44,37:06:00,18:12,Jorge Serrano Villalobos (TVB Stuttgart) überwindet den Torwart zum neuen Spielsta...,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
45,36:38:00,17:12,Andreas Bornemann (ASV Hamm-Westfalen) überwindet den Torwart von (RL/fern) zum neue...,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
46,36:01:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
47,34:55:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
48,34:27:00,17:11,Ivan Sliskovic (TVB Stuttgart) legt den Treffer von Fynn-Luca Nicolaus auf. Es ste...,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49,34:13:00,16:11,Tor! Andreas Bornemann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 16:11.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
50,33:31:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
51,32:55:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
52,32:33:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
53,32:20:00,16:10,Jerome Müller (TVB Stuttgart) tankt sich durch und erzielt einen Treffer zum 16:10.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54,31:50:00,15:10,"Tor! Es war Marian Orlowski (ASV Hamm-Westfalen), der das Tor von Stefan Bauer v...",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55,31:36:00,,Der Wurf von Ivan Sliskovic (TVB Stuttgart) landet hinter dem Tor.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56,31:27:00,,"Der Torwart von TVB Stuttgart, Silvio Heinevetter pariert den Wurf.",TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57,30:57:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen.,TVB Stuttgart,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
