Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,27:26:00,Adam Lönn (TVB Stuttgart) trifft zum Spielstand von 27:26 in Porsche-Arena.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
59:50:00,,Auszeit TVB Stuttgart,TVB Stuttgart,Bergischer HC,1,0,0,0,0,0,0,0
59:50:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,Bergischer HC,0,0,1,0,0,0,0,0
59:17:00,,Der Wurf von Lukas Stutzke (Bergischer HC) landet hinter dem Tor.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
58:37:00,,"Parade des Torwarts von Bergischer HC, Christopher Rudeck.",TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
58:17:00,,Torwartwechsel bei TVB Stuttgart. Silvio Heinevetter kommt für Miljan Vujovic.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
58:04:00,26:26:00,"Neuer Spielstand in Stuttgart, 26:26 durch den Treffer von Noah Beyer für Bergischer HC.",TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
57:43:00,,Siebter Spieler eingewechselt Bergischer HC,TVB Stuttgart,Bergischer HC,0,0,0,1,0,0,0,0
57:34:00,,Christopher Rudeck (Bergischer HC) hält den Wurf von Max Häfner.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
56:36:00,,Noah Beyer von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
56:08:00,,Siebter Spieler eingewechselt Bergischer HC,TVB Stuttgart,Bergischer HC,0,0,0,1,0,0,0,0
55:54:00,26:25:00,Jerome Müller (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 26:25.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
55:09:00,25:25:00,Yannick Fraatz (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 25:25.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
54:04:00,,Linus Arnesson von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
53:38:00,25:24:00,Max Häfner (TVB Stuttgart) trifft von (6M). Neuer Spielstand in Porsche-Arena: 25:24.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
53:05:00,,"Der Torwart von TVB Stuttgart, Miljan Vujovic pariert den Wurf.",TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
52:58:00,,Fynn-Luca Nicolaus von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
52:28:00,24:24:00,Tor (6M)! Lukas Stutzke (Bergischer HC) netzt ein zum neuen Spielstand von 24:24.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
52:16:00,,Siebter Spieler eingewechselt Bergischer HC,TVB Stuttgart,Bergischer HC,0,0,0,1,0,0,0,0
51:35:00,,"Neuer Spielstand in Stuttgart, 24:23 durch den Treffer 6M von Frederik Ladefoged für Bergischer HC.",TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
51:04:00,,Miljan Vujovic (TVB Stuttgart) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
51:04:00,,Siebter Spieler eingewechselt Bergischer HC,TVB Stuttgart,Bergischer HC,0,0,0,1,0,0,0,0
50:55:00,,Christopher Rudeck (Bergischer HC) hält den Wurf von Ivan Sliskovic.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
50:23:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
50:02:00,,Auszeit Bergischer HC,TVB Stuttgart,Bergischer HC,0,1,0,0,0,0,0,0
49:55:00,24:22:00,Tor! Ivan Sliskovic (TVB Stuttgart) netzt ein zum neuen Spielstand von 24:22.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
49:41:00,23:22,Tor (6M)! Ivan Sliskovic (TVB Stuttgart) netzt ein zum neuen Spielstand von 23:22.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
48:50:00,,Überragende Parade des Torwarts Silvio Heinevetter (TVB Stuttgart)! Yannick Fraatz kann den Ball nicht im Tor unterbringen!,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
48:22:00,,Zeitstrafe vorbei Bergischer HC,TVB Stuttgart,Bergischer HC,0,0,0,0,0,1,0,0
48:16:00,,Siebter Spieler eingewechselt Bergischer HC,TVB Stuttgart,Bergischer HC,0,0,0,1,0,1,0,0
47:36:00,,Fehlwurf von Frederik Ladefoged (Bergischer HC).,TVB Stuttgart,Bergischer HC,0,0,0,0,0,1,0,0
47:01:00,22:22,Max Häfner (TVB Stuttgart) trifft zum Spielstand von 22:22 in Porsche-Arena.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,1,0,0
46:52:00,,Tomas Babak von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,1,0,0
46:18:00,,Siebter Spieler eingewechselt Bergischer HC,TVB Stuttgart,Bergischer HC,0,0,0,1,0,1,0,0
46:18:00,,Es gibt eine 2 Minuten Strafe für Lukas Stutzke (Bergischer HC).,TVB Stuttgart,Bergischer HC,0,0,0,0,0,1,1,0
46:18:00,21:22,Tor! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 21:22.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
46:09:00,,Parade von Torwart Silvio Heinevetter (TVB Stuttgart).,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
45:39:00,,Max Häfner von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
44:53:00,20:22,Djibril M'Bengue (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 20:22.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
43:42:00,20:21,Oscar Bergendahl (TVB Stuttgart) trifft von (6M). Neuer Spielstand in Porsche-Arena: 20:21.,TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
43:27:00,,"Neuer Spielstand in Stuttgart, 19:21 durch den Treffer von Frederik Ladefoged für Bergischer HC.",TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
42:25:00,19:20,"Neuer Spielstand in Stuttgart, 19:20 durch den Treffer 6M von Adam Lönn für TVB Stuttgart.",TVB Stuttgart,Bergischer HC,0,0,0,0,0,0,0,0
