,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,27:29:00,"Neuer Spielstand in Stuttgart, 27:29 durch den Treffer 6M von Egon Hanusz für TVB Stuttgart.",TVB Stuttgart,HC Erlangen,0,0,0,0,0,0,0,0
2,59:40:00,26:29:00,"Neuer Spielstand in Stuttgart, 26:29 durch den Treffer RA von Jorge Serrano Villalobos für TVB Stuttgart.",TVB Stuttgart,HC Erlangen,0,0,0,0,0,0,0,0
3,59:22:00,25:29:00,Tor! Tim Zechel (HC Erlangen) netzt ein zum neuen Spielstand von 25:29.,TVB Stuttgart,HC Erlangen,0,0,0,0,0,0,0,0
4,58:24:00,,Adam Lönn (TVB Stuttgart) trifft nur den Pfosten.,TVB Stuttgart,HC Erlangen,0,0,0,0,0,0,0,0
5,58:15:00,,Lutz Heiny von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,HC Erlangen,0,0,0,0,0,0,0,0
6,58:02:00,25:28:00,Adam Lönn (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 25:28.,TVB Stuttgart,HC Erlangen,0,0,0,0,0,0,0,0
7,57:34:00,24:28:00,Hampus Olsson (HC Erlangen) trifft von (6M). Neuer Spielstand in Porsche-Arena: 24:28.,TVB Stuttgart,HC Erlangen,0,0,0,0,0,0,0,0
8,57:18:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,HC Erlangen,0,0,1,0,0,0,0,0
9,57:16:00,,Auszeit TVB Stuttgart,TVB Stuttgart,HC Erlangen,1,0,0,0,0,0,0,0
10,56:55:00,24:27:00,Der 7-Meter wurde von Christoph Steinert (HC Erlangen) erfolgreich verwandelt.,TVB Stuttgart,HC Erlangen,0,0,0,0,0,0,0,0
11,56:14:00,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,HC Erlangen,0,0,0,0,1,0,0,0
12,56:13:00,,Zeitstrafe vorbei HC Erlangen,TVB Stuttgart,HC Erlangen,0,0,0,0,1,1,0,0
13,56:03:00,24:26:00,"Neuer Spielstand in Stuttgart, 24:26 durch den Treffer von Jorge Serrano Villalobos für TVB Stuttgart.",TVB Stuttgart,HC Erlangen,0,0,0,0,1,1,0,0
14,55:53:00,,Tim Zechel (HC Erlangen) scheitert am Torwart Miljan Vujovic (TVB Stuttgart).,TVB Stuttgart,HC Erlangen,0,0,0,0,1,1,0,0
15,55:47:00,,Simon Jeppsson (HC Erlangen) scheitert am Torwart Miljan Vujovic (TVB Stuttgart).,TVB Stuttgart,HC Erlangen,0,0,0,0,1,1,0,0
16,55:39:00,,Siebter Spieler eingewechselt HC Erlangen,TVB Stuttgart,HC Erlangen,0,0,0,1,1,1,0,0
17,55:32:00,23:26,Tor (RA)! Jorge Serrano Villalobos (TVB Stuttgart) netzt ein zum neuen Spielstand von 23:26.,TVB Stuttgart,HC Erlangen,0,0,0,0,1,1,0,0
18,55:03:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,HC Erlangen,0,0,1,0,1,1,0,0
19,54:55:00,22:26,Simon Jeppsson (HC Erlangen) trifft zum Spielstand von 22:26 in Porsche-Arena.,TVB Stuttgart,HC Erlangen,0,0,0,0,1,1,0,0
20,54:27:00,,Siebter Spieler eingewechselt HC Erlangen,TVB Stuttgart,HC Erlangen,0,0,0,1,1,1,0,0
