Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:52:00,22:28,"Neuer Spielstand in Stuttgart, 22:28 durch den Treffer von Thies Bergemann für Handball Sport Verein Hamburg.",TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:21:00,,Ivan Budalic (Handball Sport Verein Hamburg) mit einer Parade.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:05:00,,Fehlwurf von Dani Baijens (Handball Sport Verein Hamburg).,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:22:00,22:27,58:22:00 22:27 Adam Lönn (TVB Stuttgart) trifft zum Spielstand von 22:27 in Porsche-Arena.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:05:00,,"Neuer Spielstand in Stuttgart, 21:27 durch den Treffer RM/fern von Dani Baijens für Handball Sport Verein Hamburg.",TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:46:00,,Handball Sport Verein Hamburg wechselt den Torwart. Ivan Budalic kommt für Johannes Bitter.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:25:00,21:26,57:25:00 21:26 Fynn-Luca Nicolaus (TVB Stuttgart) überwindet den Torwart von (6M) zum neuen Spielstand von 21:26.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:08:00,,"Neuer Spielstand in Stuttgart, 20:26 durch den Treffer von Andreas Magaard für Handball Sport Verein Hamburg.",TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:33:00,,"56:33:00 Gute Torchance, aber Adam Lönn (TVB Stuttgart) kann diese nicht erfolgreich verwandeln.",TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:10:00,20:25,Andreas Magaard (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Porsche-Arena: 20:25.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:25:00,,"Parade des Torwarts von Handball Sport Verein Hamburg, Johannes Bitter.",TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:01:00,20:24,Der 7-Meter wurde von Frederik Bo Andersen (Handball Sport Verein Hamburg) erfolgreich verwandelt.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:29:00,20:23,54:29:00 20:23 Tor! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 20:23.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:44:00,,Dominik Axmann von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:38:00,,"Der Torwart von Handball Sport Verein Hamburg, Johannes Bitter hält den Wurf von Max Häfner.",TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:01:00,19:23,"Neuer Spielstand in Stuttgart, 19:23 durch den Treffer 6M von Dani Baijens für Handball Sport Verein Hamburg.",TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:43:00,,Auszeit Handball Sport Verein Hamburg,TVB Stuttgart,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
51:39:00,19:22,51:39:00 19:22 Tor (6M)! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 19:22.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:24:00,,51:24:00 Miljan Vujovic (TVB Stuttgart) hält den Wurf von Leif Tissier.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
50:35:00,,50:35:00 Miljan Vujovic (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
50:04:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,1,0,0,0,0
49:06:00,,Dani Baijens von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:01:00,18:22,49:01:00 18:22 Miljan Vujovic (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 18:22.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:01:00,17:22,49:01:00 17:22 Fynn-Luca Nicolaus (TVB Stuttgart) trifft zum Spielstand von 17:22 in Porsche-Arena.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
48:31:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,1,0,0,0,0
48:06:00,16:22,48:06:00 16:22 Jorge Serrano Villalobos (TVB Stuttgart) überwindet den Torwart von (RA) zum neuen Spielstand von 16:22.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
47:23:00,,47:23:00 Auszeit TVB Stuttgart,TVB Stuttgart,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
47:15:00,15:22,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Porsche-Arena: 15:22.,TVB Stuttgart,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
