,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,30:43:00,"Neuer Spielstand in Stuttgart, 30:43 durch den Treffer RM/fern von Juri Knorr für Rhein-Neckar Löwen.",TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
2,59:56:00,,Mikael Appelgren (Rhein-Neckar Löwen) mit einer Parade.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
3,59:42:00,30:42:00,David Móré (Rhein-Neckar Löwen) trifft von (LA). Neuer Spielstand in Porsche-Arena: 30:42.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
4,59:02:00,30:41:00,Tor (6M)! Daniel Fernandez Jimenez (TVB Stuttgart) netzt ein zum neuen Spielstand von 30:41.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
5,58:31:00,29:41:00,Tor! Sascha Pfattheicher (TVB Stuttgart) netzt ein zum neuen Spielstand von 29:41.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
6,58:25:00,,Kristjan Horzen (Rhein-Neckar Löwen) scheitert am Torwart Silvio Heinevetter (TVB Stuttgart).,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
7,58:13:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,1,0,0,0,0
8,58:01:00,,"Chance für Daniel Fernandez Jimenez (TVB Stuttgart), er trifft aber nur den Pfosten.",TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
9,57:28:00,28:41:00,"Neuer Spielstand in Stuttgart, 28:41 durch den Treffer von David Móré für Rhein-Neckar Löwen.",TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
10,56:38:00,28:40:00,David Móré (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 28:40.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
11,56:10:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,1,0,0,0,0
12,55:42:00,,"Der Torwart von Rhein-Neckar Löwen, Mikael Appelgren pariert den Wurf.",TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
13,54:57:00,28:39:00,Ymir Örn Gislason (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in Porsche-Arena: 28:39.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
14,54:46:00,28:38:00,Tor! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 28:38.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
15,53:44:00,27:38:00,Juri Knorr (Rhein-Neckar Löwen) trifft von der 7-Meter Linie.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
16,52:52:00,27:37:00,Adam Lönn (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 27:37,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
17,52:44:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
18,52:33:00,26:37:00,Jannik Kohlbacher (Rhein-Neckar Löwen) überwindet den Torwart von (6M) zum neuen Spielstand von 26:37.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
19,51:55:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
20,51:47:00,,Parade von Torwart Mikael Appelgren (Rhein-Neckar Löwen).,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
21,51:20:00,26:36:00,"Neuer Spielstand in Stuttgart, 26:36 durch den Treffer RM/fern von Niclas Kirkelokke für Rhein-Neckar Löwen.",TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
22,50:55:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
23,50:51:00,26:35:00,Der 7-Meter wurde von Patrick Zieker (TVB Stuttgart) erfolgreich verwandelt.,TVB Stuttgart,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
