,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:49:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås hält den Wurf von Ivan Sliskovic.",TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
2,59:21:00,,Überragende Parade des Torwarts Miljan Vujovic (TVB Stuttgart)! Sime Ivic kann den Ball nicht im Tor unterbringen!,TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
3,58:52:00,,"Daniel Fernandez Jimenez (LA) wirft, jedoch neben das Tor.",TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
4,58:38:00,26:33:00,"Tor Sime Ivic, SC DHfK Leipzig",TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
5,58:09:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås pariert den Wurf.",TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
6,58:01:00,,"Block von Samuel Röthlisberger, der den Torwurf von Luca Witzke verhindert.",TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
7,57:22:00,26:32:00,"Neuer Spielstand in Stuttgart, 26:32 durch den Treffer 6M von Egon Hanusz für TVB Stuttgart.",TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
8,56:22:00,,Miljan Vujovic (TVB Stuttgart) hält den Wurf von Luca Witzke.,TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
9,55:58:00,,Auszeit SC DHfK Leipzig,TVB Stuttgart,SC DHfK Leipzig,0,1,0,0,0,0,0,0
10,55:53:00,25:32:00,Ivan Sliskovic (TVB Stuttgart) trifft zum Spielstand von 25:32 in Porsche-Arena.,TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
11,55:11:00,24:32:00,Jorge Serrano Villalobos (TVB Stuttgart) trifft von (RA). Neuer Spielstand in Porsche-Arena: 24:32.,TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
12,54:55:00,23:32,"Neuer Spielstand in Stuttgart, 23:32 durch den Treffer von Sime Ivic für SC DHfK Leipzig.",TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
13,54:16:00,23:31,Ivan Sliskovic (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 23:31.,TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
14,54:00:00,,"Parade des Torwarts von SC DHfK Leipzig, Kristian Sæverås.",TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
15,52:51:00,22:31,Tor! Daniel Fernandez Jimenez (TVB Stuttgart) netzt ein zum neuen Spielstand von 22:31.,TVB Stuttgart,SC DHfK Leipzig,0,0,0,0,0,0,0,0
