Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:51:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:32:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Max Häfner.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:23:00,,Auszeit TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
59:14:00,30:32:00,"Neuer Spielstand in Stuttgart, 30:32 durch den Treffer von Magnus Abelvik Rød für SG Flensburg-Handewitt.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:04:00,,Auszeit SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
58:34:00,,Adam Lönn von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:09:00,30:31:00,Simon Hald Jensen (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in Porsche-Arena: 30:31.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:36:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
57:31:00,30:30:00,30:30:00 Adam Lönn (TVB Stuttgart) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 30:30.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:59:00,29:30:00,"Neuer Spielstand in Stuttgart, 29:30 durch den Treffer 6M von Magnus Abelvik Rød für SG Flensburg-Handewitt.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:52:00,,"Chance für Magnus Abelvik Rød (SG Flensburg-Handewitt), er trifft aber nur den Pfosten.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:29:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
56:18:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
55:30:00,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
55:25:00,29:29:00,Mads Mensah Larsen (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in Porsche-Arena: 29:29.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
54:49:00,,Parade von Torwart Kevin Møller (SG Flensburg-Handewitt).,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
54:42:00,,Der Wurf von TVB Stuttgart wurde geblockt.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
53:47:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
53:31:00,29:28:00,Der 7-Meter wurde von Johan Hansen (SG Flensburg-Handewitt) erfolgreich verwandelt.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
53:25:00,,Jan Forstbauer (TVB Stuttgart) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
53:02:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
52:59:00,,Zeitstrafe vorbei SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
52:56:00,29:27:00,Die Vorbereitung von Max Häfner (TVB Stuttgart) führt zum Treffer durch Sascha Pfattheicher.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
52:16:00,28:27:00,Mads Mensah Larsen (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 28:27.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
51:03:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,1,0,0
50:50:00,,"Nach einem harten Foul hat Simon Hald Jensen (SG Flensburg-Handewitt) nun zwei Minuten Zeit, um sich auszuruhen.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,1,1,0
50:37:00,28:26:00,Tor! Marino Maric (TVB Stuttgart) netzt ein zum neuen Spielstand von 28:26.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
49:41:00,27:26:00,"Neuer Spielstand in Stuttgart, 27:26 durch den Treffer von August Baskar Pedersen für SG Flensburg-Handewitt.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
49:16:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
49:04:00,,"Parade des Torwarts von SG Flensburg-Handewitt, Kevin Møller.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
48:31:00,,August Baskar Pedersen (SG Flensburg-Handewitt) trifft zum Spielstand von 27:25 in Porsche-Arena.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
48:08:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
48:03:00,27:24:00,Tor (6M)! Marino Maric (TVB Stuttgart) netzt ein zum neuen Spielstand von 27:24.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
47:45:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
47:18:00,26:24:00,Tor! Magnus Abelvik Rød (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 26:24.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
46:48:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
46:44:00,26:23:00,Daniel Fernandez Jimenez (TVB Stuttgart) trifft von der 7-Meter Linie.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
46:11:00,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
45:27:00,25:23:00,"Tor Kevin Møller, SG Flensburg-Handewitt",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
44:24:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
44:20:00,25:22:00,"Tor von der 7-Meter Linie von Johan Hansen (SG Flensburg-Handewitt), neuer Spielstand 25:22.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
44:12:00,,Es gibt eine 2 Minuten Strafe für Samuel Röthlisberger (TVB Stuttgart).,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
44:07:00,25:21:00,Egon Hanusz (TVB Stuttgart) tankt sich durch und trifft!,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
43:36:00,,Auszeit TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
43:31:00,,"Der Torwart von TVB Stuttgart, Silvio Heinevetter pariert den Wurf.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
43:13:00,24:21:00,Tor für SG Flensburg-Handewitt durch Johannes Golla nach einem Pass von Hans Aaron Mensing.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
42:52:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
42:39:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller hält den Wurf von Jan Forstbauer.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
42:12:00,24:20:00,Hans Aaron Mensing (SG Flensburg-Handewitt) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 24:20.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
41:48:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
41:31:00,,Überragende Parade des Torwarts Kevin Møller (SG Flensburg-Handewitt)! Adam Lönn kann den Ball nicht im Tor unterbringen!,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
41:22:00,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
41:05:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
40:51:00,,"Torwurf von Hans Aaron Mensing (SG Flensburg-Handewitt), aber der Ball trifft nur die Latte.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
40:31:00,24:19:00,Jan Forstbauer (TVB Stuttgart) tankt sich durch und erzielt einen Treffer zum 24:19.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
39:55:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
39:45:00,23:19,Mads Mensah Larsen (SG Flensburg-Handewitt) durchbricht die Abwehr und trifft zum 23:19.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
39:18:00,,Samuel Röthlisberger (TVB Stuttgart) erhält eine 2 Minuten Strafe.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
38:56:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
38:05:00,,Silvio Heinevetter (TVB Stuttgart) hält den Wurf von Hans Aaron Mensing.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
37:30:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
37:24:00,,Der Wurfversuch von Adam Lönn (TVB Stuttgart) wurde durch einen Block von Magnus Abelvik Rød verhindert.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
36:47:00,23:18,"Tor! Es war Hans Aaron Mensing (SG Flensburg-Handewitt), der das Tor von Johannes Golla vorbereitete.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
36:38:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
36:30:00,,Auszeit SG Flensburg-Handewitt,TVB Stuttgart,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
36:27:00,23:17,Tor! Daniel Fernandez Jimenez (TVB Stuttgart) netzt ein zum neuen Spielstand von 23:17.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
35:43:00,22:17,"Neuer Spielstand in Stuttgart, 22:17 durch den Treffer 6M von Sascha Pfattheicher für TVB Stuttgart.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
35:29:00,21:17,Marino Maric (TVB Stuttgart) trifft zum Spielstand von 21:17 in Porsche-Arena.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
34:39:00,20:17,Johan Hansen (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 20:17.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
34:28:00,20:16,"Neuer Spielstand in Stuttgart, 20:16 durch den Treffer von Max Häfner für TVB Stuttgart.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
33:50:00,,Parade von Torwart Silvio Heinevetter (TVB Stuttgart).,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
33:39:00,,Adam Lönn (TVB Stuttgart) scheitert am Torwart Kevin Møller (SG Flensburg-Handewitt).,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
32:49:00,,Überragende Parade des Torwarts Kevin Møller (SG Flensburg-Handewitt)! Jan Forstbauer kann den Ball nicht im Tor unterbringen!,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
31:49:00,19:16,Hans Aaron Mensing (SG Flensburg-Handewitt) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 19:16.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
31:03:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller hält den Wurf von Sascha Pfattheicher.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
HALBZ,,,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
29:59:00,,SG Flensburg-Handewitt wechselt den Torwart. Kevin Møller kommt für Benjamin Buric.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
29:58:00,19:15,Jan Forstbauer (TVB Stuttgart) trifft von (RM/fern). Neuer Spielstand in Porsche-Arena: 19:15.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
29:20:00,,"Der Torwart von TVB Stuttgart, Silvio Heinevetter pariert den Wurf.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
29:11:00,18:15,Tor (6M)! Marino Maric (TVB Stuttgart) netzt ein zum neuen Spielstand von 18:15.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
28:18:00,17:15,Franz Semper (SG Flensburg-Handewitt) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 17:15.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
27:42:00,17:14,Tor! Adam Lönn (TVB Stuttgart) netzt ein zum neuen Spielstand von 17:14.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
27:07:00,16:14,"Neuer Spielstand in Stuttgart, 16:14 durch den Treffer 6M von Johannes Golla für SG Flensburg-Handewitt.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
26:10:00,16:13,"Neuer Spielstand in Stuttgart, 16:13 durch den Treffer von Jan Forstbauer für TVB Stuttgart.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
25:36:00,,"Parade des Torwarts von TVB Stuttgart, Silvio Heinevetter.",TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
24:24:00,15:13,Jan Forstbauer (TVB Stuttgart) trifft zum Spielstand von 15:13 in Porsche-Arena.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
23:44,,Johannes Golla (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 14:13.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
23:35,14:12,Marino Maric (TVB Stuttgart) trifft von (6M). Neuer Spielstand in Porsche-Arena: 14:12.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
22:51,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
21:58,13:12,Max Häfner (TVB Stuttgart) trifft zum Spielstand von 13:12 in Porsche-Arena.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
21:21,,Tor! Johannes Golla (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 12:12.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
21:17,,Franz Semper (SG Flensburg-Handewitt) trifft nur den Pfosten.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
20:13,,Auszeit TVB Stuttgart,TVB Stuttgart,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
20:09,12:11,Tor (RA)! Johan Hansen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 12:11.,TVB Stuttgart,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
