Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Miljan Vujovic (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
59:52:00,,Auszeit FRISCH AUF! Göppingen,TVB Stuttgart,FRISCH AUF! Göppingen,0,1,0,0,0,1,0,0
59:45:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
59:34:00,24:24:00,"Neuer Spielstand in Stuttgart, 24:24 durch den Treffer von Patrick Zieker für TVB Stuttgart.",TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
59:17:00,,Auszeit TVB Stuttgart,TVB Stuttgart,FRISCH AUF! Göppingen,1,0,0,0,0,1,0,0
59:02:00,,2-Minuten-Strafe für David Schmidt. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
58:58:00,23:24,Tor (RR/fern)! David Schmidt (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 23:24.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:32:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
57:18:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
57:10:00,23:23,Marino Maric (TVB Stuttgart) trifft von (6M). Neuer Spielstand in Porsche-Arena: 23:23.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
55:38:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
55:31:00,,Kresimir Kozina (FRISCH AUF! Göppingen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
55:30:00,,"Der Torwart von FRISCH AUF! Göppingen, Daniel Rebmann pariert den Wurf.",TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:37:00,22:23,Jon Lindenchrone Andersen (FRISCH AUF! Göppingen) trifft zum Spielstand von 22:23 in Porsche-Arena.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:44:00,22:22,Patrick Zieker (TVB Stuttgart) überwindet den Torwart von (LA) zum neuen Spielstand von 22:22.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:31:00,,"Parade des Torwarts von TVB Stuttgart, Miljan Vujovic.",TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
52:56:00,,"Wurf von Jerome Müller (TVB Stuttgart), aber der Ball landet nur am Pfosten.",TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
52:17:00,,Miljan Vujovic (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
51:55:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
51:42:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
51:33:00,21:22,Adam Lönn (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 21:22.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
51:06:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
50:06:00,20:21,49:58:00 20:21 Der 7-Meter wurde von Jorge Serrano Villalobos (TVB Stuttgart) erfolgreich verwandelt.,TVB Stuttgart,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
