Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:55:00,32:28:00,Tor (6M)! Adam Lönn (TVB Stuttgart) netzt ein zum neuen Spielstand von 32:28.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
59:34:00,31:28:00,Fabian Wiede (Füchse Berlin) trifft von (RM/fern). Neuer Spielstand in Porsche-Arena: 31:28.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
59:29:00,31:27:00,Tor (6M)! Patrick Zieker (TVB Stuttgart) netzt ein zum neuen Spielstand von 31:27.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
59:06:00,30:27:00,Robert Weber (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 30:27.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
58:59:00,,"Der Torwart von Füchse Berlin, Lasse Ludwig hält den Wurf von Max Häfner.",TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
58:42:00,,Lasse Ludwig (Füchse Berlin) mit einer Parade.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
58:38:00,,Siebter Spieler eingewechselt TVB Stuttgart.,TVB Stuttgart,Füchse Berlin,0,0,1,0,0,0,0,0
58:26:00,,Mathias Gidsel von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
58:16:00,,"Block von Samuel Röthlisberger, der den Torwurf von Mathias Gidsel verhindert.",TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
58:09:00,30:26:00,Egon Hanusz (TVB Stuttgart) trifft zum Spielstand von 30:26 in Porsche-Arena.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
57:44:00,,Mathias Gidsel (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 29:26.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
57:26:00,,Lasse Ludwig (Füchse Berlin) bleibt Sieger im 7-Meter-Duell gegen Sascha Pfattheicher (TVB Stuttgart).,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
56:32:00,,Fehlwurf von Jacob Holm (Füchse Berlin).,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
56:04:00,,Lasse Ludwig (Füchse Berlin) mit einer Parade.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
55:31:00,,"Der Torwart von TVB Stuttgart, Miljan Vujovic pariert den Wurf.",TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
55:25:00,,Überragende Parade des Torwarts Miljan Vujovic (TVB Stuttgart)! Nils Lichtlein kann den Ball nicht im Tor unterbringen!,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
55:13:00,,Auszeit Füchse Berlin,TVB Stuttgart,Füchse Berlin,0,1,0,0,0,0,0,0
55:06:00,29:25:00,"Neuer Spielstand in Stuttgart, 29:25 durch den Treffer RM/fern von Jan Forstbauer für TVB Stuttgart.",TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
54:27:00,28:25:00,Tor! Ole Machner (Füchse Berlin) netzt ein zum neuen Spielstand von 28:25.,TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
54:14:00,28:24:00,"Neuer Spielstand in Stuttgart, 28:24 durch den Treffer von Patrick Zieker für TVB Stuttgart.",TVB Stuttgart,Füchse Berlin,0,0,0,0,0,0,0,0
