Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:53:00,31:34:00,Fynn-Luca Nicolaus (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 31:34.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:48:00,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,1,0,0,0
59:25:00,30:34:00,"Neuer Spielstand in Stuttgart, 30:34 durch den Treffer von Marius Steinhauser für Hannover-Burgdorf.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,1,0,0,0
58:58:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,Hannover-Burgdorf,0,0,1,0,1,0,0,0
58:53:00,30:33:00,Marian Michalczik (Hannover-Burgdorf) trifft zum Spielstand von 30:33 in Porsche-Arena.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,1,0,0,0
58:24:00,,Patrick Zieker (TVB Stuttgart) scheitert am Torwart Dario Quenstedt (Hannover-Burgdorf).,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,1,0,0,0
57:47:00,,Adam Lönn (TVB Stuttgart) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,1,0,0,1
56:34:00,30:32:00,"Tor von der 7-Meter Linie von Egon Hanusz (TVB Stuttgart), neuer Spielstand 30:32.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:40:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,Hannover-Burgdorf,0,0,1,0,0,0,0,0
55:35:00,,Marius Steinhauser vergibt den Strafwurf für Hannover-Burgdorf.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:49:00,,"Chance für Nico Schöttle (TVB Stuttgart), er trifft aber nur den Pfosten.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53:57:00,,Auszeit TVB Stuttgart,TVB Stuttgart,Hannover-Burgdorf,1,0,0,0,0,0,0,0
53:57:00,,Torwartwechsel bei TVB Stuttgart. Miljan Vujovic kommt für Silvio Heinevetter.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53:50:00,29:32:00,Uladzislau Kulesh (Hannover-Burgdorf) trifft von (RL/fern). Neuer Spielstand in Porsche-Arena: 29:32.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:52:00,,"Block von Evgeni Pevnov, der den Torwurf von Egon Hanusz verhindert.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:20:00,,"Wurf von Evgeni Pevnov (Hannover-Burgdorf), aber der Ball landet nur am Pfosten.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:38:00,29:31:00,Egon Hanusz (TVB Stuttgart) trifft von (RM/fern). Neuer Spielstand in Porsche-Arena: 29:31.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:26:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,Hannover-Burgdorf,0,0,1,0,0,0,0,0
50:57:00,28:31:00,Evgeni Pevnov (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 28:31.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
50:19:00,28:30:00,"Neuer Spielstand in Stuttgart, 28:30 durch den Treffer 6M von Patrick Zieker für TVB Stuttgart.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
50:14:00,,Der Wurf von Hannover-Burgdorf wurde geblockt.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
50:01:00,27:30:00,Tor (6M)! Branko Vujovic (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 27:30.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
49:36:00,27:29:00,48:59:00 27:28:00 Nico Schöttle (TVB Stuttgart) trifft zum Spielstand von 27:29 in Porsche-Arena.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
48:37:00,,Maximilian Gerbl blockt den Wurf von Nico Schöttle.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
48:08:00,26:29:00,Tor! Evgeni Pevnov (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 26:29.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
48:01:00,,Zeitstrafe vorbei Hannover-Burgdorf,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,1,0,0
47:03:00,26:28:00,"Neuer Spielstand in Stuttgart, 26:28 durch den Treffer von Sascha Pfattheicher für TVB Stuttgart.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,1,0,0
46:59:00,,"Evgeni Pevnov wirft auf das Tor, trifft aber nur den Pfosten.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,1,0,0
46:59:00,,Auszeit Hannover-Burgdorf,TVB Stuttgart,Hannover-Burgdorf,0,1,0,0,0,1,0,0
46:49:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,TVB Stuttgart,Hannover-Burgdorf,0,0,0,1,0,1,0,0
46:13:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,Hannover-Burgdorf,0,0,1,0,0,1,0,0
46:05:00,25:28:00,"Tor von der 7-Meter Linie von Egon Hanusz (TVB Stuttgart), neuer Spielstand 25:28.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,1,0,0
46:01:00,,Es gibt eine 2 Minuten Strafe für Uladzislau Kulesh (Hannover-Burgdorf).,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,1,1,0
45:23:00,,Dario Quenstedt (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 24:28.,TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
44:58:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,Hannover-Burgdorf,0,0,1,0,0,0,0,0
44:47:00,24:27:00,"Neuer Spielstand in Stuttgart, 24:27 durch den Treffer von Branko Vujovic für Hannover-Burgdorf.",TVB Stuttgart,Hannover-Burgdorf,0,0,0,0,0,0,0,0
