Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:45:00,23:26,"Neuer Spielstand in Stuttgart, 23:26 durch den Treffer 6M von Rogerio Moraes Ferreira für MT Melsungen.",TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,0
59:44:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,0
59:15:00,23:25,Tor (6M)! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 23:25.,TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,0
59:06:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,MT Melsungen,0,0,1,0,1,0,0,0
58:52:00,22:25,"Neuer Spielstand in Stuttgart, 22:25 durch den Treffer von David Mandic für MT Melsungen.",TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,0
58:35:00,,Marino Maric (TVB Stuttgart) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,1
58:13:00,,Adam Morawski (MT Melsungen) hält den Wurf von Jerome Müller.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
58:08:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,MT Melsungen,0,0,1,0,0,0,0,0
57:57:00,,Auszeit TVB Stuttgart,TVB Stuttgart,MT Melsungen,1,0,0,0,0,0,0,0
57:45:00,22:24,Rogerio Moraes Ferreira (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 22:24.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
56:35:00,,Max Häfner von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
56:08:00,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,0
55:59:00,22:23,Tor! Timo Kastening (MT Melsungen) netzt ein zum neuen Spielstand von 22:23.,TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,0
55:46:00,,Der Wurfversuch von Jorge Serrano Villalobos (TVB Stuttgart) wurde durch einen Block von Elvar Örn Jonsson verhindert.,TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,0
54:11:00,,Der 7-Meter von Aidenas Malasinskas (MT Melsungen) landet nicht im Tor.,TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,0
54:06:00,,"Nach einem harten Foul hat Adam Lönn (TVB Stuttgart) nun zwei Minuten Zeit, um sich auszuruhen.",TVB Stuttgart,MT Melsungen,0,0,0,0,1,0,0,1
53:18:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,MT Melsungen,0,0,1,0,0,0,0,0
52:51:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
52:06:00,,Der Wurfversuch von Agustin Casado Marcelo (MT Melsungen) wurde durch einen Block von Samuel Röthlisberger verhindert.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
51:40:00,,Adam Morawski (MT Melsungen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
50:30:00,22:22,Jerome Müller (TVB Stuttgart) überwindet den Torwart von (6M) zum neuen Spielstand von 22:22.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
50:30:00,21:22,Kai Häfner (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 21:22.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
50:30:00,21:21,Tor (RM/fern)! Sascha Pfattheicher (TVB Stuttgart) netzt ein zum neuen Spielstand von 21:21.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
50:30:00,20:21,"Neuer Spielstand in Stuttgart, 20:21 durch den Treffer RA von Sascha Pfattheicher für TVB Stuttgart.",TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
50:30:00,19:21,"Tor von der 7-Meter Linie von Aidenas Malasinskas (MT Melsungen), neuer Spielstand 19:21.",TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
49:30:00,19:20,Max Häfner (TVB Stuttgart) trifft zum Spielstand von 19:20 in Porsche-Arena.,TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
48:51:00,18:20,"Neuer Spielstand in Stuttgart, 18:20 durch den Treffer von Agustin Casado Marcelo für MT Melsungen.",TVB Stuttgart,MT Melsungen,0,0,0,0,0,0,0,0
48:28:00,,Zeitstrafe vorbei MT Melsungen,TVB Stuttgart,MT Melsungen,0,0,0,0,0,1,0,0
