Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,30:37:00,Tor! Harald Reinkind (THW Kiel) netzt ein zum neuen Spielstand von 30:37.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
59:23:00,30:36:00,Lukas Laube (TVB Stuttgart) überwindet den Torwart von (6M) zum neuen Spielstand von 30:36.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
59:09:00,,Karl Wallinius (THW Kiel) scheitert am Torwart Silvio Heinevetter (TVB Stuttgart).,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
58:57:00,,Fynn-Luca Nicolaus blockt den Wurf von Karl Wallinius.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
58:11:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
57:58:00,29:36:00,Tor (6M)! Adam Lönn (TVB Stuttgart) netzt ein zum neuen Spielstand von 29:36.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
57:06:00,28:36:00,Hendrik Pekeler (THW Kiel) überwindet den Torwart zum neuen Spielstand von 28:36.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
56:54:00,,Der 7-Meter wurde von Magnus Landin (THW Kiel) erfolgreich verwandelt.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
56:28:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
56:14:00,,Überragende Parade des Torwarts Niklas Landin (THW Kiel)! Daniel Fernandez Jimenez kann den Ball nicht im Tor unterbringen!,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
55:51:00,,Hendrik Pekeler (THW Kiel) trifft von (6M). Neuer Spielstand in Porsche-Arena: 28:34.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
55:39:00,28:34:00,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
55:17:00,,Niklas Landin (THW Kiel) mit einer Parade.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
55:03:00,,Auszeit TVB Stuttgart,TVB Stuttgart,THW Kiel,1,0,0,0,0,0,0,0
54:14:00,28:33:00,Patrick Wiencek (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 28:33.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
53:24:00,28:32:00,"Neuer Spielstand in Stuttgart, 28:32 durch den Treffer RM/fern von Harald Reinkind für THW Kiel.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
52:44:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
52:31:00,28:31:00,"Neuer Spielstand in Stuttgart, 28:31 durch den Treffer von Adam Lönn für TVB Stuttgart.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
51:48:00,27:31:00,Sander Sagosen (THW Kiel) trifft zum Spielstand von 27:31 in Porsche-Arena.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
51:18:00,,Silvio Heinevetter (TVB Stuttgart) hält den Wurf von Harald Reinkind.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
50:35:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
50:24:00,27:30:00,Tor! Fynn-Luca Nicolaus (TVB Stuttgart) netzt ein zum neuen Spielstand von 27:30.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
50:15:00,,"Der Torwart von TVB Stuttgart, Silvio Heinevetter hält den Wurf von Rune Dahmke.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
49:59:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
49:58:00,,THW Kiel wechselt den Torwart. Niklas Landin kommt für Tomas Mrkva.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
49:46:00,,Adam Lönn blockt den Wurf von Domagoj Duvnjak.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
49:34:00,26:30:00,Adam Lönn (TVB Stuttgart) trifft zum Spielstand von 26:30 in Porsche-Arena.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
49:14:00,,"Chance für Harald Reinkind (THW Kiel), er trifft aber nur den Pfosten.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
49:02:00,,Zeitstrafe vorbei THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
48:57:00,,Auszeit THW Kiel,TVB Stuttgart,THW Kiel,0,1,0,0,0,1,0,0
48:49:00,,"Tor Max Häfner, TVB Stuttgart",TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
48:41:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
48:26:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,1,0,0
48:25:00,25:30:00,"Tor Max Häfner, TVB Stuttgart",TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
48:17:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
47:53:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,1,0,0
47:48:00,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,0,0,1,1,0,0
47:43:00,24:30:00,"Neuer Spielstand in Stuttgart, 24:30 durch den Treffer 6M von Max Häfner für TVB Stuttgart.",TVB Stuttgart,THW Kiel,0,0,0,0,1,1,0,0
47:24:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,1,1,0,0
47:13:00,,"Parade des Torwarts von TVB Stuttgart, Silvio Heinevetter.",TVB Stuttgart,THW Kiel,0,0,0,0,1,1,0,0
46:58:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,1,1,0,0
46:45:00,,Harald Reinkind (THW Kiel) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,TVB Stuttgart,THW Kiel,0,0,0,0,1,1,1,0
46:41:00,23:30,Max Häfner (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 23:30.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
46:28:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,1,0,0,0
46:04:00,22:30,"Neuer Spielstand in Stuttgart, 22:30 durch den Treffer von Rune Dahmke für THW Kiel.",TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
45:37:00,,2-Minuten-Strafe für Jorge Serrano Villalobos. TVB Stuttgart muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,1
45:34:00,22:29,Patrick Zieker (TVB Stuttgart) trifft von der 7-Meter Linie.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
44:36:00,21:29,Tor (6M)! Domagoj Duvnjak (THW Kiel) netzt ein zum neuen Spielstand von 21:29.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
44:09:00,21:28,Tor! Rune Dahmke (THW Kiel) netzt ein zum neuen Spielstand von 21:28.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
43:47:00,,"Parade des Torwarts von TVB Stuttgart, Silvio Heinevetter.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
43:23:00,21:27,Daniel Fernandez Jimenez (TVB Stuttgart) trifft von (6M). Neuer Spielstand in Porsche-Arena: 21:27.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
42:54:00,20:27,Daniel Fernandez Jimenez (TVB Stuttgart) überwindet den Torwart von (LA) zum neuen Spielstand von 20:27.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
42:17:00,19:27,Sander Sagosen (THW Kiel) überwindet den Torwart zum neuen Spielstand von 19:27.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
41:38:00,19:26,Tor (6M)! Patrick Wiencek (THW Kiel) netzt ein zum neuen Spielstand von 18:26.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
41:28:00,,Sascha Pfattheicher von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
41:28:00,,Auszeit TVB Stuttgart,TVB Stuttgart,THW Kiel,1,0,0,0,0,0,0,0
40:28:00,18:25,Gegenstoßtreffer von Yannick Fraatz (THW Kiel). Neuer Spielstand: 18:25.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
39:27:00,18:24,Tor! Miha Zarabec (THW Kiel) netzt ein zum neuen Spielstand von 18:24.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
38:52:00,18:23,Jonas Truchanovicius (TVB Stuttgart) trifft zum Spielstand von 18:23 in Porsche-Arena.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
38:41:00,17:23,"Neuer Spielstand in Stuttgart, 17:23 durch den Treffer 6M von Hendrik Pekeler für THW Kiel.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
38:13:00,17:22,"Neuer Spielstand in Stuttgart, 17:22 durch den Treffer von Marino Maric für TVB Stuttgart.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
38:04:00,,"Der Torwart von TVB Stuttgart, Silvio Heinevetter pariert den Wurf.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
37:29:00,,Zeitstrafe vorbei THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
37:10:00,16:22,"Tor von der 7-Meter Linie von Magnus Landin (THW Kiel), neuer Spielstand 16:22.",TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
35:38:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,1,0,0
35:29:00,16:21,Patrick Zieker (TVB Stuttgart) trifft von der 7-Meter Linie und bringt den Spielstand auf 16:21.,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
35:24:00,,Patrick Wiencek (THW Kiel) erhält eine 2 Minuten Strafe.,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,1,0
35:14:00,15:21,Tor! Yannick Fraatz (THW Kiel) netzt ein zum neuen Spielstand von 15:21.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
34:35:00,,Parade von Torwart Tomas Mrkva (THW Kiel).,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
34:16:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,0,0,0,0
34:02:00,15:20,Miha Zarabec (THW Kiel) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 15:20.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
33:33:00,15:19,Jonas Truchanovicius (TVB Stuttgart) trifft zum Spielstand von 15:19 in Porsche-Arena.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
33:22:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,0,0,0,0
33:08:00,14:19,Magnus Landin (THW Kiel) trifft von der 7-Meter Linie.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
32:22:00,14:18,Jonas Truchanovicius (TVB Stuttgart) trifft von (6M). Neuer Spielstand in Porsche-Arena: 14:18.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
32:11:00,13:18,"Neuer Spielstand in Stuttgart, 13:18 durch den Treffer 6M von Patrick Wiencek für THW Kiel.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
31:52:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
31:41:00,,Tomas Mrkva (THW Kiel) mit einer Parade.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
31:21:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,0,0,0,0
31:02:00,13:17,Tor (6M)! Miha Zarabec (THW Kiel) netzt ein zum neuen Spielstand von 13:17.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
30:58:00,,Der Wurfversuch von Miha Zarabec (THW Kiel) wurde durch einen Block von Jonas Truchanovicius verhindert.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
HALBZ,13:16,HALBZEIT (13:16),TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
29:58:00,13:16,Sander Sagosen (THW Kiel) überwindet den Torwart zum neuen Spielstand von 13:16.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
29:49:00,,Auszeit THW Kiel,TVB Stuttgart,THW Kiel,0,1,0,0,0,0,0,0
29:41:00,,Sascha Pfattheicher (TVB Stuttgart) scheitert am Torwart Tomas Mrkva (THW Kiel).,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
28:46:00,13:15,"Neuer Spielstand in Stuttgart, 13:15 durch den Treffer von Yannick Fraatz für THW Kiel.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
28:26:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
28:13:00,,Tomas Mrkva (THW Kiel) hält den Wurf von Patrick Zieker.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
28:04:00,,Silvio Heinevetter (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
27:57:00,,"Jan Forstbauer (RM/fern) wirft, jedoch neben das Tor.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
27:38:00,,Jan Forstbauer (TVB Stuttgart) trifft nur den Pfosten.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
27:27:00,,"Der Torwart von TVB Stuttgart, Silvio Heinevetter hält den Wurf von Hendrik Pekeler.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
27:14:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
26:57:00,,Überragende Parade des Torwarts Tomas Mrkva (THW Kiel)! Adam Lönn kann den Ball nicht im Tor unterbringen!,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
26:19:00,,Niclas Ekberg (THW Kiel) vergibt den 7-Meter.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
25:52:00,,Der eingewechselte Torwart Silvio Heinevetter (TVB Stuttgart) steht nun zwischen den Pfosten.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
24:58:00,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,0,0,0
24:39:00,,Tomas Mrkva (THW Kiel) mit einer Parade.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
24:29:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,0,0,0,0
24:08:00,,Auszeit TVB Stuttgart,TVB Stuttgart,THW Kiel,1,0,0,0,0,0,0,0
24:04:00,13:14,Sander Sagosen (THW Kiel) trifft zum Spielstand von 13:14 in Porsche-Arena.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
23:20,13:13,Hendrik Pekeler (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 13:13.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
22:53,,Max Häfner von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
22:34,,"Gute Torchance, aber Sander Sagosen (THW Kiel) kann diese nicht erfolgreich verwandeln.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
21:37,13:12,"Neuer Spielstand in Stuttgart, 13:12 durch den Treffer von Sascha Pfattheicher für TVB Stuttgart.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
21:32,,"Patrick Zieker wirft auf das Tor, trifft aber nur den Pfosten.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
21:26,12:12,Miha Zarabec (THW Kiel) überwindet den Torwart zum neuen Spielstand von 12:12.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
20:59,,Miljan Vujovic (TVB Stuttgart) mit einer Parade.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
20:56,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
20:08,12:11,Tor! Sascha Pfattheicher (TVB Stuttgart) netzt ein zum neuen Spielstand von 12:11.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
19:34,,Max Häfner (TVB Stuttgart) scheitert am Torwart Tomas Mrkva (THW Kiel).,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
19:02,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,1,0,0,0
18:56,11:11,Niclas Ekberg (THW Kiel) trifft von der 7-Meter Linie und bringt den Spielstand auf 11:11.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
18:51,,Es gibt eine 2 Minuten Strafe für Samuel Röthlisberger (TVB Stuttgart).,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,1
18:05,11:10,"Neuer Spielstand in Stuttgart, 11:10 durch den Treffer RR/fern von Adam Lönn für TVB Stuttgart.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
17:25,10:10,Sander Sagosen (THW Kiel) trifft von (6M). Neuer Spielstand in Porsche-Arena: 10:10.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
17:18,,Tomas Mrkva (THW Kiel) hält den Wurf von Adam Lönn.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
17:09,10:09,Tor (6M)! Patrick Wiencek (THW Kiel) netzt ein zum neuen Spielstand von 10:9.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
16:59,10:08,Patrick Zieker (TVB Stuttgart) trifft von (LA). Neuer Spielstand in Porsche-Arena: 10:8.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
16:28,,Überragende Parade des Torwarts Miljan Vujovic (TVB Stuttgart)! Niclas Ekberg kann den Ball nicht im Tor unterbringen!,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
15:36,9:08,"Neuer Spielstand in Stuttgart, 9:8 durch den Treffer RA von Niclas Ekberg für THW Kiel.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
14:39,,"Block von Hendrik Pekeler, der den Torwurf von Adam Lönn verhindert.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
14:38,9:07,"Neuer Spielstand in Stuttgart, 9:7 durch den Treffer von Marino Maric für TVB Stuttgart.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
13:56,,Nun wird Tomas Mrkva für THW Kiel im Tor stehen.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
13:49,,Domagoj Duvnjak von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
13:39,,"Parade des Torwarts von THW Kiel, Niklas Landin.",TVB Stuttgart,THW Kiel,0,0,0,0,0,0,0,0
12:57,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
12:43,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
12:32,,Der Wurf von Magnus Landin (THW Kiel) landet hinter dem Tor.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
12:07,8:07,Tor (RM/fern)! Egon Hanusz (TVB Stuttgart) netzt ein zum neuen Spielstand von 8:7.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
11:23,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,1,0,0,0
11:09,7:07,Der 7-Meter wurde von Niclas Ekberg (THW Kiel) erfolgreich verwandelt.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
10:52,,"Nach einem harten Foul hat Jonas Truchanovicius (TVB Stuttgart) nun zwei Minuten Zeit, um sich auszuruhen.",TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,1
10:37,,Samuel Röthlisberger (TVB Stuttgart) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,1
10:06,,Zeitstrafe vorbei THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
9:56,7:06,Sascha Pfattheicher (TVB Stuttgart) trifft zum Spielstand von 7:6 in Porsche-Arena.,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
9:33,6:06,Tor! Miha Zarabec (THW Kiel) netzt ein zum neuen Spielstand von 6:6.,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
9:04,,Siebter Spieler eingewechselt THW Kiel,TVB Stuttgart,THW Kiel,0,0,0,1,0,1,0,0
8:57,6:05,Sascha Pfattheicher (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 6:5.,TVB Stuttgart,THW Kiel,0,0,0,0,0,1,0,0
8:46,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,0,0,1,1,0,0
8:21,5:05,Sander Sagosen (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 5:5.,TVB Stuttgart,THW Kiel,0,0,0,0,1,1,0,0
8:08,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,0,0,1,1,0,0
8:01,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,1,1,0,0
7:58,,"Nach einem harten Foul hat Magnus Landin (THW Kiel) nun zwei Minuten Zeit, um sich auszuruhen.",TVB Stuttgart,THW Kiel,0,0,0,0,1,1,1,0
6:50,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,THW Kiel,0,0,1,0,1,0,0,0
6:41,,2-Minuten-Strafe für Egon Hanusz. TVB Stuttgart muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,1
6:40,,Hendrik Pekeler (THW Kiel) trifft zum Spielstand von 5:4 in Porsche-Arena.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
6:37,,Parade von Torwart Niklas Landin (THW Kiel).,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,0
6:02,,Fynn-Luca Nicolaus (TVB Stuttgart) erhält eine 2 Minuten Strafe.,TVB Stuttgart,THW Kiel,0,0,0,0,1,0,0,1
