Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,"Gute Torchance, aber Julian Köster (VfL Gummersbach) kann diese nicht erfolgreich verwandeln.",TVB Stuttgart,VfL Gummersbach,0,0,0,0,0,0,0,0
59:46:00,31:30:00,Tilen Kodrin (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 31:30.,TVB Stuttgart,VfL Gummersbach,0,0,0,0,0,0,0,0
59:29:00,31:29:00,Tor! Sascha Pfattheicher (TVB Stuttgart) netzt ein zum neuen Spielstand von 31:29.,TVB Stuttgart,VfL Gummersbach,0,0,0,0,0,0,0,0
59:01:00,30:29:00,Ole Pregler (VfL Gummersbach) trifft zum Spielstand von 30:29 in Porsche-Arena.,TVB Stuttgart,VfL Gummersbach,0,0,0,0,0,0,0,0
58:59:00,,Auszeit VfL Gummersbach,TVB Stuttgart,VfL Gummersbach,0,1,0,0,0,0,0,0
58:53:00,30:28:00,Ivan Sliskovic (TVB Stuttgart) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 30:28.,TVB Stuttgart,VfL Gummersbach,0,0,0,0,0,0,0,0
58:20:00,29:28:00,Lukas Blohme (VfL Gummersbach) trifft von (RA). Neuer Spielstand in Porsche-Arena: 29:28.,TVB Stuttgart,VfL Gummersbach,0,0,0,0,0,0,0,0
58:01:00,29:27:00,Tor (RM/fern)! Jonas Truchanovicius (TVB Stuttgart) netzt ein zum neuen Spielstand von 29:27.,TVB Stuttgart,VfL Gummersbach,0,0,0,0,0,0,0,0
58:00:00,,Zeitstrafe vorbei TVB Stuttgart,TVB Stuttgart,VfL Gummersbach,0,0,0,0,1,0,0,0
57:21:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,VfL Gummersbach,0,0,1,0,1,0,0,0
57:10:00,,Tom Kiesler von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,TVB Stuttgart,VfL Gummersbach,0,0,0,0,1,0,0,0
57:02:00,,"Der Torwart von VfL Gummersbach, Fabian Norsten hält den Wurf von Max Häfner.",TVB Stuttgart,VfL Gummersbach,0,0,0,0,1,0,0,0
56:24:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,VfL Gummersbach,0,0,1,0,1,0,0,0
56:02:00,,2-Minuten-Strafe für Sascha Pfattheicher. TVB Stuttgart muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,TVB Stuttgart,VfL Gummersbach,0,0,0,0,1,0,0,1
55:47:00,28:27:00,"Neuer Spielstand in Stuttgart, 28:27 durch den Treffer 6M von Marino Maric für TVB Stuttgart.",TVB Stuttgart,VfL Gummersbach,0,0,0,0,0,0,0,0
55:18:00,,Siebter Spieler eingewechselt TVB Stuttgart,TVB Stuttgart,VfL Gummersbach,0,0,1,0,0,0,0,0
55:09:00,,Fehlwurf von Julian Köster (VfL Gummersbach).,TVB Stuttgart,VfL Gummersbach,0,0,0,0,0,0,0,0
54:37:00,,Auszeit VfL Gummersbach,TVB Stuttgart,VfL Gummersbach,0,1,0,0,0,0,0,0
