,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,Julian Köster blockt den Wurf von Andreas Bornemann.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
2,59:41:00,29:28:00,Tor (6M)! Dominik Mappes (VfL Gummersbach) netzt ein zum neuen Spielstand von 29:28.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
3,59:02:00,,Yonatan Dayan von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
4,58:37:00,,Auszeit ASV Hamm-Westfalen,VFL Gummersbach,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
5,58:20:00,28:28:00,Dominik Mappes (VfL Gummersbach) trifft zum Spielstand von 28:28 in SCHWALBE arena.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
6,58:09:00,,"Der Torwart von VfL Gummersbach, Fabian Norsten pariert den Wurf.",VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
7,56:44:00,27:28:00,Tor! Dominik Mappes (VfL Gummersbach) netzt ein zum neuen Spielstand von 27:28.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
8,56:25:00,,Fabian Norsten (VfL Gummersbach) hält den Wurf von Andreas Bornemann.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
9,55:30:00,26:28:00,"Neuer Spielstand in Gummersbach, 26:28 durch den Treffer 6M von Dominik Mappes für VfL Gummersbach.",VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
10,55:20:00,,"Gute Torchance, aber Jan Von Boenigk (ASV Hamm-Westfalen) kann diese nicht erfolgreich verwandeln.",VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
11,54:26:00,25:28:00,Tor (6M)! Julian Köster (VfL Gummersbach) netzt ein zum neuen Spielstand von 25:28.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
12,54:10:00,24:28:00,Stefan Bauer (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 24:28.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
13,53:25:00,24:27:00,"Neuer Spielstand in Gummersbach, 24:27 durch den Treffer von Mathis Häseler für VfL Gummersbach.",VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
14,52:38:00,23:27,"Tor Fabian Huesmann, ASV Hamm-Westfalen",VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
15,52:34:00,,Überragende Parade des Torwarts Vladimir Bozic (ASV Hamm-Westfalen)! Julian Köster kann den Ball nicht im Tor...,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
16,52:21:00,,Siebter Spieler eingewechselt VfL Gummersbach,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
17,51:35:00,,"Der Torwart von ASV Hamm-Westfalen, Vladimir Bozic hält den Wurf von Dominik Mappes.",VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
18,51:24:00,23:26,Marian Orlowski (ASV Hamm-Westfalen) trifft von (RM/fern). Neuer Spielstand in SCHWALBE arena: 23:26.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
19,50:47:00,23:25,Dominik Mappes (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 23:25.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
20,49:53:00,22:25,"Tor Vladimir Bozic, ASV Hamm-Westfalen",VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
21,49:46:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Vladimir Bozic.",VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
22,49:08:00,22:24,"Tor Vladimir Bozic, ASV Hamm-Westfalen",VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
23,49:05:00,,Siebter Spieler eingewechselt VfL Gummersbach,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
24,49:01:00,,Markus Fuchs blockt den Wurf von Ole Pregler.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
25,48:46:00,,Auszeit VfL Gummersbach,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
26,48:46:00,,VfL Gummersbach wechselt den Torwart. Fabian Norsten kommt für Tibor Ivanisevic.,VFL Gummersbach,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
