Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:10:00,,Mathias Gidsel von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,Füchse Berlin,0,0,0,0,1,1,0,0
59:01:00,,"Der disqualifizierte Stepan Zeman muss das Spielfeld verlassen, aber VfL Gummersbach wird nach 2 Minuten wieder auffüllen dürfen.",VfL Gummersbach,Füchse Berlin,0,0,0,0,1,1,0,1
59:01:00,,Ellidi Snaer Vidarsson (VfL Gummersbach) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,VfL Gummersbach,Füchse Berlin,0,0,0,0,1,1,0,1
59:01:00,,Es gibt eine 2 Minuten Strafe für Mijajlo Marsenic (Füchse Berlin).,VfL Gummersbach,Füchse Berlin,0,0,0,0,1,1,1,0
59:01:00,,Stepan Zeman (VfL Gummersbach) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,VfL Gummersbach,Füchse Berlin,0,0,0,0,1,0,0,1
58:11:00,,Victor Kireev (Füchse Berlin) mit einer Parade.,VfL Gummersbach,Füchse Berlin,0,0,0,0,0,0,0,0
55:57:00,,"Ellidi Snaer Vidarsson (6M) wirft, jedoch neben das Tor.",VfL Gummersbach,Füchse Berlin,0,0,0,0,0,0,0,0
55:31:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Füchse Berlin,0,0,1,0,0,0,0,0
55:20:00,,Lattenkracher von Max Darj (Füchse Berlin).,VfL Gummersbach,Füchse Berlin,0,0,0,0,0,0,0,0
54:31:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Füchse Berlin,0,0,1,0,0,0,0,0
49:25:00,,Überragende Parade des Torwarts Fabian Norsten (VfL Gummersbach)! Mathias Gidsel kann den Ball nicht im Tor unterbringen!,VfL Gummersbach,Füchse Berlin,0,0,0,0,1,0,0,0
48:48:00,,Zeitstrafe vorbei Füchse Berlin,VfL Gummersbach,Füchse Berlin,0,0,0,0,1,1,0,0
47:52:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Füchse Berlin,0,0,1,0,1,1,0,0
47:19:00,,2-Minuten-Strafe für Stepan Zeman. VfL Gummersbach muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,VfL Gummersbach,Füchse Berlin,0,0,0,0,1,1,0,1
46:55:00,,Siebter Spieler eingewechselt Füchse Berlin,VfL Gummersbach,Füchse Berlin,0,0,0,1,0,1,0,0
46:44:00,,Milos Vujovic geht den Gegner zu stark an. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,VfL Gummersbach,Füchse Berlin,0,0,0,0,0,1,1,0
46:11:00,,Julian Köster von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,Füchse Berlin,0,0,0,0,0,0,0,0
57:46:00,28:30:00,Hans Lindberg (Füchse Berlin) trifft von der 7-Meter Linie und bringt den Spielstand auf 28:30.,VfL Gummersbach,Füchse Berlin,0,0,0,0,0,0,0,0
56:44:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Füchse Berlin,0,0,1,0,0,0,0,0
54:48:00,,Victor Kireev (Füchse Berlin) hält den Wurf von Tilen Kodrin.,VfL Gummersbach,Füchse Berlin,0,0,0,0,0,0,0,0
