,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,Parade von Torwart Fabian Norsten (VfL Gummersbach).,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
2,59:53:00,,Fabian Norsten (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
3,59:38:00,,"Tom Jansen (RM/fern) wirft, jedoch neben das Tor.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
4,59:08:00,,Siebter Spieler eingewechselt GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,1,0,0,0,0
5,58:55:00,26:22:00,Tom Jansen (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 26:22.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
6,58:33:00,,Auszeit VfL Gummersbach,VfL Gummersbach,GWD Minden,1,0,0,0,0,0,0,0
7,58:28:00,,Florian Kranzmann (GWD Minden) überwindet den Torwart von (LA) zum neuen Spielstand von 25:22.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
8,58:07:00,,Malte Semisch (GWD Minden) mit einer Parade.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
9,57:38:00,,"Neuer Spielstand in Gummersbach, 25:21 durch den Treffer RA von Max Staar für GWD Minden.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
10,57:30:00,,Überragende Parade des Torwarts Fabian Norsten (VfL Gummersbach)! Magnus Holpert kann den Ball nicht im Tor unterbringen!,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
11,57:23:00,,Siebter Spieler eingewechselt GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,1,0,0,0,0
12,57:05:00,,Der Wurfversuch von Niclas Pieczkowski (GWD Minden) wurde durch einen Block von Ellidi Snaer Vidarsson verhindert.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
13,56:56:00,,Tom Jansen (VfL Gummersbach) scheitert am Torwart Malte Semisch (GWD Minden).,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
14,56:11:00,,"Chance für Luka Sebetic (GWD Minden), er trifft aber nur den Pfosten.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
15,56:01:00,,Malte Semisch (GWD Minden) hält den Wurf von Miro Schluroff.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
16,55:07:00,25:20:00,Luka Sebetic (GWD Minden) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 25:20.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
17,54:32:00,,Siebter Spieler eingewechselt GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,1,0,0,0,0
18,54:24:00,25:19:00,"Neuer Spielstand in Gummersbach, 25:19 durch den Treffer von Ellidi Snaer Vidarsson für VfL Gummersbach.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
19,53:40:00,,Max Staar (GWD Minden) trifft nur den Pfosten.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
20,53:29:00,,Auszeit GWD Minden,VfL Gummersbach,GWD Minden,0,1,0,0,0,0,0,0
21,52:46:00,,Siebter Spieler eingewechselt GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,1,0,0,0,0
22,52:35:00,,"Der Torwart von GWD Minden, Malte Semisch pariert den Wurf.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
23,52:27:00,,"Parade des Torwarts von VfL Gummersbach, Fabian Norsten.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
24,52:12:00,,Siebter Spieler eingewechselt GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,1,0,0,0,0
25,52:00:00,24:19:00,Ellidi Snaer Vidarsson (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 24:19.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
26,51:34:00,23:19,Tor! Luka Sebetic (GWD Minden) netzt ein zum neuen Spielstand von 23:19.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
27,51:26:00,23:18,Lukas Blohme (VfL Gummersbach) trifft zum Spielstand von 23:18 in SCHWALBE arena.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
28,51:01:00,,Florian Kranzmann von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
29,50:45:00,,Siebter Spieler eingewechselt GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,1,0,0,0,0
30,50:29:00,,Julian Köster von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
31,50:13:00,22:18,Tor (6M)! Niclas Pieczkowski (GWD Minden) netzt ein zum neuen Spielstand von 22:18.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
32,49:00:00,,Parade von Torwart Fabian Norsten (VfL Gummersbach).,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
33,48:44:00,,Siebter Spieler eingewechselt GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,1,0,0,0,0
34,48:29:00,,Zeitstrafe vorbei GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,0,0
35,48:21:00,,Der eingewechselte Torwart Fabian Norsten (VfL Gummersbach) steht nun zwischen den Pfosten.,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,0,0
36,48:20:00,22:17,Mats Korte (GWD Minden) trifft von der 7-Meter Linie und bringt den Spielstand auf 22:17.,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,0,0
37,48:05:00,,Tibor Ivanisevic (VfL Gummersbach) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,0,0
38,47:41:00,,Siebter Spieler eingewechselt GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,1,0,1,0,0
39,47:30:00,22:16,Tor! Tom Jansen (VfL Gummersbach) netzt ein zum neuen Spielstand von 22:16.,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,0,0
40,47:19:00,21:16,Luka Sebetic (GWD Minden) überwindet den Torwart zum neuen Spielstand von 21:16.,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,0,0
41,46:42:00,,Siebter Spieler eingewechselt GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,1,0,1,0,0
42,46:36:00,21:15,Hakon Dadi Styrmisson (VfL Gummersbach) trifft von der 7-Meter Linie.,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,0,0
43,46:30:00,,Justus Nicolas Richtzenhain (GWD Minden) erhält eine Rote Karte.,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,1,0
44,46:30:00,,2-Minuten-Strafe für Justus Nicolas Richtzenhain. GWD Minden muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,1,0
45,46:01:00,20:15,"Tor von der 7-Meter Linie von Dominik Mappes (VfL Gummersbach), neuer Spielstand 20:15.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
46,45:23:00,,Niclas Pieczkowski von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
47,45:14:00,19:15,Julian Köster (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 19:15.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
48,44:54:00,18:15,"Neuer Spielstand in Gummersbach, 18:15 durch den Treffer RM/fern von Julian Köster für VfL Gummersbach.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
49,43:32:00,,Tom Jansen von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
50,43:19:00,,Auszeit GWD Minden,VfL Gummersbach,GWD Minden,0,1,0,0,0,0,0,0
51,43:01:00,17:15,Tor (6M)! Julian Köster (VfL Gummersbach) netzt ein zum neuen Spielstand von 17:15.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
52,42:54:00,,"Der Torwart von VfL Gummersbach, Fabian Norsten hält den Wurf von Niclas Pieczkowski.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
53,42:50:00,16:15,Niclas Pieczkowski (GWD Minden) trifft zum Spielstand von 16:15 in SCHWALBE arena.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
54,41:44:00,16:14,"Neuer Spielstand in Gummersbach, 16:14 durch den Treffer von Ellidi Snaer Vidarsson für VfL Gummersbach.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
55,41:14:00,15:14,Max Staar (GWD Minden) trifft von (RA). Neuer Spielstand in SCHWALBE arena: 15:14.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
56,40:26:00,15:13,Dominik Mappes (VfL Gummersbach) trifft von der 7-Meter Linie.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
57,40:10:00,14:13,Magnus Holpert (GWD Minden) überwindet den Torwart zum neuen Spielstand von 14:13.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
58,39:29:00,,Julian Köster von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
59,39:23:00,14:12,Niclas Pieczkowski (GWD Minden) trifft von (RM/fern). Neuer Spielstand in SCHWALBE arena: 14:12.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
60,39:12:00,,Malte Semisch (GWD Minden) mit einer Parade.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
61,39:01:00,,"Der Torwart von VfL Gummersbach, Fabian Norsten pariert den Wurf.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
62,38:30:00,14:11,"Neuer Spielstand in Gummersbach, 14:11 durch den Treffer RM/fern von Miro Schluroff für VfL Gummersbach.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
63,38:18:00,,Auszeit VfL Gummersbach,VfL Gummersbach,GWD Minden,1,0,0,0,0,0,0,0
64,37:39:00,,"Neuer Spielstand in Gummersbach, 13:11 durch den Treffer von Max Staar für GWD Minden.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
65,37:24:00,13:10,Tor! Ellidi Snaer Vidarsson (VfL Gummersbach) netzt ein zum neuen Spielstand von 13:10.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
66,36:52:00,,Mathias Bitsch (GWD Minden) überwindet den Torwart von (RA) zum neuen Spielstand von 12:10.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
67,36:40:00,12:09,Ellidi Snaer Vidarsson (VfL Gummersbach) trifft zum Spielstand von 12:9 in SCHWALBE arena.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
68,36:30:00,11:09,Tor (6M)! Mats Korte (GWD Minden) netzt ein zum neuen Spielstand von 11:9.,VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
69,36:25:00,,"Torwurf von Tom Jansen (VfL Gummersbach), aber der Ball trifft nur die Latte.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
70,35:56:00,,"Gute Torchance, aber Mathias Bitsch (GWD Minden) kann diese nicht erfolgreich verwandeln.",VfL Gummersbach,GWD Minden,0,0,0,0,0,0,0,0
71,35:46:00,,Zeitstrafe vorbei GWD Minden,VfL Gummersbach,GWD Minden,0,0,0,0,0,1,0,0
