Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,Auszeit VfL Gummersbach,VfL Gummersbach,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
59:49:00,31:30:00,Dani Baijens (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 31:30.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:40:00,,Auszeit Handball Sport Verein Hamburg,VfL Gummersbach,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
59:40:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,1,0,0,0,0
59:36:00,31:29:00,"Neuer Spielstand in Gummersbach, 31:29 durch den Treffer von Tilen Kodrin für VfL Gummersbach.",VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:26:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade beim 7-Meter.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:12:00,,VfL Gummersbach wechselt den Torwart. Tibor Ivanisevic kommt für Fabian Norsten.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:34:00,30:29:00,Der 7-Meter wurde von Lukas Blohme (VfL Gummersbach) erfolgreich verwandelt.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:58:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
57:55:00,29:29:00,Tor (6M)! Leif Tissier (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 29:29.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
57:37:00,,"Wurf von Casper Ulrich Mortensen (Handball Sport Verein Hamburg), aber der Ball landet nur am Pfosten.",VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
57:13:00,29:28:00,Tor! Ellidi Snaer Vidarsson (VfL Gummersbach) netzt ein zum neuen Spielstand von 29:28.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
57:08:00,,Der Wurf von VfL Gummersbach wurde geblockt.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
56:19:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,1,0,1,0,0,0
56:01:00,,Julian Köster (VfL Gummersbach) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,1
55:17:00,28:28:00,Lukas Blohme (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 28:28.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:08:00,,Dani Baijens von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:58:00,,"Der Trainer von Handball Sport Verein Hamburg, Torsten Jansen stellt nun Johannes Bitter zwischen die Pfosten.",VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:46:00,27:28:00,Lukas Blohme (VfL Gummersbach) trifft von der 7-Meter Linie.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:37:00,,"Der Trainer von Handball Sport Verein Hamburg, Torsten Jansen stellt nun Ivan Budalic zwischen die Pfosten.",VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:28:00,,Dani Baijens (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 26:28.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:18:00,,Auszeit Handball Sport Verein Hamburg,VfL Gummersbach,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
53:54:00,26:27:00,Tor (6M)! Ole Pregler (VfL Gummersbach) netzt ein zum neuen Spielstand von 26:27.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:47:00,,Fabian Norsten (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:16:00,,Dani Baijens (Handball Sport Verein Hamburg) scheitert am Torwart Fabian Norsten (VfL Gummersbach).,VfL Gummersbach,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
