,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:58:00,,Lattenkracher von Filip Kuzmanovski (Hannover-Burgdorf).,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
2,59:45:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner hält den Wurf von Hakon Dadi Styrmisson.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
3,59:35:00,27:34:00,Justus Fischer (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 27:34.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
4,58:55:00,,Dominik Mappes von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
5,58:25:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
6,58:20:00,27:33:00,Marian Michalczik (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 27:33.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
7,58:13:00,,"Torwurf von Julian Köster (VfL Gummersbach), aber der Ball trifft nur die Latte.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
8,57:57:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,1,0,0,0
9,57:13:00,,Auszeit VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,1,0,0,0,1,0,0,0
10,57:13:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
11,56:32:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,1,0,0,0
12,56:24:00,27:32:00,Maximilian Gerbl (Hannover-Burgdorf) trifft von der 7-Meter Linie.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
13,56:19:00,,Lukas Blohme (VfL Gummersbach) erhält eine Rote Karte.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,1
14,55:53:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner pariert den Wurf.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
15,55:19:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,1,0,0,0
16,55:11:00,,2-Minuten-Strafe für Miro Schluroff. VfL Gummersbach muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,1
17,55:11:00,27:31:00,"Neuer Spielstand in Gummersbach, 27:31 durch den Treffer von Uladzislau Kulesh für Hannover-Burgdorf.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
18,54:31:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
19,54:21:00,27:30:00,Justus Fischer (Hannover-Burgdorf) trifft zum Spielstand von 27:30 in SCHWALBE arena.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
20,53:43:00,27:29:00,Tor (LA)! Hakon Dadi Styrmisson (VfL Gummersbach) netzt ein zum neuen Spielstand von 27:29.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
21,53:09:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,1,0,0,0
22,52:58:00,,Justus Fischer (Hannover-Burgdorf) trifft nur den Pfosten.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,0
23,52:32:00,,"Nach einem harten Foul hat Tom Kiesler (VfL Gummersbach) nun zwei Minuten Zeit, um sich auszuruhen.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,1,0,0,1
24,51:59:00,26:29:00,Lukas Blohme (VfL Gummersbach) trifft von (RA). Neuer Spielstand in SCHWALBE arena: 26:29.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
25,51:44:00,25:29:00,"Neuer Spielstand in Gummersbach, 25:29 durch den Treffer 6M von Renars Uscins für Hannover-Burgdorf.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
26,51:14:00,,"Parade des Torwarts von Hannover-Burgdorf, Domenico Ebner.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
27,51:05:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
28,50:30:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
29,50:14:00,25:28:00,Tor! Marian Michalczik (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 25:28.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
30,49:40:00,,Julian Köster von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
31,48:47:00,25:27:00,Dominik Mappes (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 25:27.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
32,48:18:00,24:27:00,Tor (6M)! Justus Fischer (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 24:27.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
33,47:17:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,0,0,0,0
34,46:51:00,,Renars Uscins von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
35,46:11:00,,Renars Uscins (Hannover-Burgdorf) scheitert am Torwart Tibor Ivanisevic (VfL Gummersbach).,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
36,45:45:00,,Zeitstrafe vorbei Hannover-Burgdorf,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,1,0,0
37,45:32:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,VfL Gummersbach,Hannover-Burgdorf,0,0,0,1,0,1,0,0
38,45:23:00,24:26:00,Hakon Dadi Styrmisson (VfL Gummersbach) trifft zum Spielstand von 24:26 in SCHWALBE arena.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,1,0,0
39,44:48:00,,Die Schiedsrichter Schmidt/Linker zeigen Hannes Feise (Hannover-Burgdorf) die Rote Karte.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,1,1,0
40,44:16:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,VfL Gummersbach,Hannover-Burgdorf,0,0,0,1,0,1,0,0
41,43:58:00,23:26,Julian Köster (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 23:26.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,1,0,0
42,43:45:00,,Die Schiedsrichter Schmidt/Linker zeigen Hannes Feise (Hannover-Burgdorf) die Rote Karte.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,1,1,0
43,43:37:00,,"Block von Tom Jansen, der den Torwurf von Filip Kuzmanovski verhindert.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
44,43:27:00,,Der Wurf von Hannover-Burgdorf wurde geblockt.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
45,42:32:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,0,0,0,0
46,42:24:00,22:26,Filip Kuzmanovski (Hannover-Burgdorf) trifft von (RM/fern). Neuer Spielstand in SCHWALBE arena: 22:26.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
47,42:05:00,,Tom Jansen blockt den Wurf von Uladzislau Kulesh.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
48,41:47:00,,"Block von Ellidi Snaer Vidarsson, der den Torwurf von Renars Uscins verhindert.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
49,41:03:00,22:25,Hakon Dadi Styrmisson (VfL Gummersbach) überwindet den Torwart von (LA) zum neuen Spielstand von 22:25.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
50,40:17:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner hält den Wurf von Tom Jansen.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51,40:01:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,0,0,0,0
52,39:43:00,,Überragende Parade des Torwarts Tibor Ivanisevic (VfL Gummersbach)! Maximilian Gerbl kann den Ball nicht im Tor unterbringen!,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53,39:32:00,,Ellidi Snaer Vidarsson blockt den Wurf von Marian Michalczik.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54,39:05:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,VfL Gummersbach,Hannover-Burgdorf,0,0,0,1,0,0,0,0
55,38:54:00,21:25,"Neuer Spielstand in Gummersbach, 21:25 durch den Treffer von Hakon Dadi Styrmisson für VfL Gummersbach.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56,37:57:00,20:25,Der 7-Meter wurde von Dominik Mappes (VfL Gummersbach) erfolgreich verwandelt.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57,37:22:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,0,0,0,0
58,37:00:00,,Tibor Ivanisevic (VfL Gummersbach) hält den Wurf von Uladzislau Kulesh.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59,36:43:00,,Auszeit Hannover-Burgdorf,VfL Gummersbach,Hannover-Burgdorf,0,1,0,0,0,0,0,0
60,36:36:00,19:25,"Neuer Spielstand in Gummersbach, 19:25 durch den Treffer 6M von Tom Kiesler für VfL Gummersbach.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
61,36:25:00,18:25,Tor! Lukas Blohme (VfL Gummersbach) netzt ein zum neuen Spielstand von 18:25.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
62,35:21:00,17:25,Lukas Blohme (VfL Gummersbach) überwindet den Torwart von (RA) zum neuen Spielstand von 17:25.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
63,35:07:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,0,0,0,0
64,34:58:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
65,33:38:00,,Der Wurf von VfL Gummersbach wurde geblockt.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
66,33:34:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,0,0,0,0
67,32:50:00,,Auszeit VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,1,0,0,0,0,0,0,0
68,32:50:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Hannover-Burgdorf,0,0,1,0,0,0,0,0
69,32:41:00,16:25,"Neuer Spielstand in Gummersbach, 16:25 durch den Treffer RA von Maximilian Gerbl für Hannover-Burgdorf.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
70,32:29:00,,"Gute Torchance, aber Lukas Blohme (VfL Gummersbach) kann diese nicht erfolgreich verwandeln.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
71,32:20:00,16:24,Tor! Renars Uscins (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 16:24.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
72,31:44:00,,"Lukas Blohme wirft auf das Tor, trifft aber nur den Pfosten.",VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
73,31:32:00,16:23,Renars Uscins (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 16:23.,VfL Gummersbach,Hannover-Burgdorf,0,0,0,0,0,0,0,0
