Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:55:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
59:50:00,,Dominik Mappes von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
59:37:00,,Benjamin Helander von Rhein-Neckar Löwen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
59:26:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
59:19:00,29:32:00,Dominik Mappes (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 29:32.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
59:07:00,28:32:00,Juri Knorr (Rhein-Neckar Löwen) trifft von der 7-Meter Linie und bringt den Spielstand auf 28:32.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
58:43:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
58:19:00,,Überragende Parade des Torwarts David Späth (Rhein-Neckar Löwen)! Lukas Blohme kann den Ball nicht im Tor unterbringen!,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
58:07:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
57:55:00,,Theo Straub geht den Gegner zu stark an. Rhein-Neckar Löwen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,1,0
57:43:00,,Theo Straub (Rhein-Neckar Löwen) scheitert am Torwart Tibor Ivanisevic (VfL Gummersbach).,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57:02:00,,Parade von Torwart David Späth (Rhein-Neckar Löwen).,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57:01:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
56:44:00,,Auszeit VfL Gummersbach,VfL Gummersbach,Rhein-Neckar Löwen,1,0,0,0,0,0,0,0
56:33:00,28:31:00,Tor (6M)! Jannik Kohlbacher (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 28:31.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
55:59:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
55:50:00,,"Der Torwart von Rhein-Neckar Löwen, David Späth pariert den Wurf.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
55:26:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
55:21:00,,Tibor Ivanisevic (VfL Gummersbach) hält den Wurf von Theo Straub.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
54:35:00,,Der eingewechselte Torwart Tibor Ivanisevic (VfL Gummersbach) steht nun zwischen den Pfosten.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
54:30:00,,"Der Torwart von Rhein-Neckar Löwen, David Späth hält den Wurf von Finn Schroven.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
54:04:00,,Siebter Spieler eingewechselt VfL Gummersbach.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
53:59:00,28:30:00,Juri Knorr (Rhein-Neckar Löwen) trifft von der 7-Meter Linie.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
53:56:00,,Der eingewechselte Torwart Fabian Norsten (VfL Gummersbach) steht nun zwischen den Pfosten.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
53:55:00,,Tom Jansen (VfL Gummersbach) erhält eine 2 Minuten Strafe.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,1
53:02:00,,David Späth (Rhein-Neckar Löwen) mit einer Parade.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
52:37:00,28:29:00,"Neuer Spielstand in Gummersbach, 28:29 durch den Treffer 6M von Juri Knorr für Rhein-Neckar Löwen.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
52:21:00,,Nun wird David Späth für Rhein-Neckar Löwen im Tor stehen.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
52:00:00,,"Julian Köster (RM/fern) wirft, jedoch neben das Tor.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
51:53:00,28:28:00,Theo Straub (Rhein-Neckar Löwen) überwindet den Torwart von (RA) zum neuen Spielstand von 28:28.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
51:22:00,28:27:00,Der 7-Meter wurde von Dominik Mappes (VfL Gummersbach) erfolgreich verwandelt.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
51:17:00,,"Der Trainer von Rhein-Neckar Löwen, Sebastian Hinze stellt nun Joel Birlehm zwischen die Pfosten.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
51:06:00,27:27:00,Juri Knorr (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 27:27.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
50:01:00,27:26:00,Tom Jansen (VfL Gummersbach) trifft zum Spielstand von 27:26 in SCHWALBE arena.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
49:49:00,,"Neuer Spielstand in Gummersbach, 26:26 durch den Treffer von Jannik Kohlbacher für Rhein-Neckar Löwen.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
49:18:00,26:25:00,Tor (6M)! Tom Jansen (VfL Gummersbach) netzt ein zum neuen Spielstand von 26:25.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
48:24:00,,Überragende Parade des Torwarts David Späth (Rhein-Neckar Löwen)! Ellidi Snaer Vidarsson kann den Ball nicht im Tor unterbringen!,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
48:09:00,,Auszeit VfL Gummersbach,VfL Gummersbach,Rhein-Neckar Löwen,1,0,0,0,0,0,0,0
47:20:00,,Benjamin Helander (Rhein-Neckar Löwen) scheitert am Torwart Tibor Ivanisevic (VfL Gummersbach).,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
47:02:00,,Auszeit Rhein-Neckar Löwen,VfL Gummersbach,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
46:59:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
46:52:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
46:49:00,25:25:00,"Neuer Spielstand in Gummersbach, 25:25 durch den Treffer RA von Lukas Blohme für VfL Gummersbach.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
46:33:00,,"Der Torwart von VfL Gummersbach, Tibor Ivanisevic hält den Wurf von Jannik Kohlbacher.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
46:20:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
46:01:00,24:25:00,Julian Köster (VfL Gummersbach) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 24:25.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
45:46:00,,"Parade des Torwarts von VfL Gummersbach, Tibor Ivanisevic.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
45:21:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
45:04:00,23:25,Dominik Mappes (VfL Gummersbach) trifft von der 7-Meter Linie.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
45:00:00,,"Nach einem harten Foul hat Ymir Örn Gislason (Rhein-Neckar Löwen) nun zwei Minuten Zeit, um sich auszuruhen.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,1,1,0
44:52:00,22:25,Tor! Jannik Kohlbacher (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 22:25.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
43:58:00,,"Der Torwart von Rhein-Neckar Löwen, David Späth pariert den Wurf.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
43:48:00,22:24,"Neuer Spielstand in Gummersbach, 22:24 durch den Treffer von Jannik Kohlbacher für Rhein-Neckar Löwen.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
43:14:00,22:23,"Neuer Spielstand in Gummersbach, 22:23 durch den Treffer 6M von Dominik Mappes für VfL Gummersbach.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
42:36:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
42:21:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
42:10:00,21:23,"Tor von der 7-Meter Linie von Juri Knorr (Rhein-Neckar Löwen), neuer Spielstand 21:23.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
41:14:00,21:22,Hakon Dadi Styrmisson (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 21:22.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
40:40:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
40:37:00,20:22,Juri Knorr (Rhein-Neckar Löwen) trifft von der 7-Meter Linie und bringt den Spielstand auf 20:22.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
40:33:00,,Stepan Zeman (VfL Gummersbach) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,1,0,0,1
40:25:00,20:21,Julian Köster (VfL Gummersbach) trifft zum Spielstand von 20:21 in SCHWALBE arena.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
40:11:00,,Parade von Torwart Tibor Ivanisevic (VfL Gummersbach).,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
39:34:00,,Wurfversuch von Dominik Mappes (VfL Gummersbach) aber der Ball landet an der Latte.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
39:29:00,19:21,Juri Knorr (Rhein-Neckar Löwen) überwindet den Torwart von (6M) zum neuen Spielstand von 19:21.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
38:39:00,19:20,Tor (6M)! Lukas Blohme (VfL Gummersbach) netzt ein zum neuen Spielstand von 19:20.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
37:29:00,,Tibor Ivanisevic (VfL Gummersbach) hält den Wurf von Kristjan Horzen.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
37:14:00,,David Späth (Rhein-Neckar Löwen) mit einer Parade.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
37:11:00,18:20,Albin Lagergren (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 18:20.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
36:11:00,,"Chance für Hakon Dadi Styrmisson (VfL Gummersbach), er trifft aber nur den Pfosten.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
35:31:00,18:19,Tor! Julian Köster (VfL Gummersbach) netzt ein zum neuen Spielstand von 18:19.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
35:17:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
35:04:00,,Julian Köster von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
33:15:00,,Lukas Blohme (VfL Gummersbach) scheitert am Torwart David Späth (Rhein-Neckar Löwen).,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
33:07:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
32:42:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade beim 7-Meter.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
31:32:00,17:19,"Tor von der 7-Meter Linie von Dominik Mappes (VfL Gummersbach), neuer Spielstand 17:19.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
31:08:00,16:19,Juri Knorr (Rhein-Neckar Löwen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 16:19.,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
HALBZ,16:18,,VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
30:00:00,,"Der Torwart von Rhein-Neckar Löwen, David Späth pariert den Wurf.",VfL Gummersbach,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
