Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Der Wurfversuch von Sime Ivic (SC DHfK Leipzig) wurde durch einen Block von Julian Köster verhindert.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:54:00,36:36:00,"Neuer Spielstand in Gummersbach, 36:36 durch den Treffer von Dominik Mappes für VfL Gummersbach.",VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:23:00,,"Parade des Torwarts von VfL Gummersbach, Tibor Ivanisevic.",VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:36:00,,Der Wurf von VfL Gummersbach wurde geblockt.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:32:00,,Auszeit VfL Gummersbach.,VfL Gummersbach,SC DHfK Leipzig,1,0,0,0,0,0,0,0
58:16:00,,Der Wurf von Sime Ivic (SC DHfK Leipzig) landet hinter dem Tor.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:53:00,,Ellidi Snaer Vidarsson (VfL Gummersbach) scheitert am Torwart Kristian Sæverås (SC DHfK Leipzig).,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:44:00,35:36:00,Tor (6M)! Sime Ivic (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 35:36.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:05:00,,Tilen Kodrin von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:28:00,,"Patrick Wiesmach wirft auf das Tor, trifft aber nur den Pfosten.",VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:44:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:03:00,35:35:00,Maciej Gebala (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 35:35.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:48:00,35:34:00,Dominik Mappes (VfL Gummersbach) trifft zum Spielstand von 35:34 in SCHWALBE arena.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:10:00,34:34:00,Simon Ernst (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 34:34.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:26:00,,Zeitstrafe vorbei VfL Gummersbach.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,1,0,0,0
52:01:00,,Siebter Spieler eingewechselt VfL Gummersbach.,VfL Gummersbach,SC DHfK Leipzig,0,0,1,0,1,0,0,0
51:45:00,,Tibor Ivanisevic (VfL Gummersbach) hält den Wurf von Tim Matthes.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,1,0,0,0
51:22:00,34:33:00,Tor (6M)! Ole Pregler (VfL Gummersbach) netzt ein zum neuen Spielstand von 34:33.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,1,0,0,0
51:01:00,,Siebter Spieler eingewechselt VfL Gummersbach.,VfL Gummersbach,SC DHfK Leipzig,0,0,1,0,1,0,0,0
51:00:00,,Nun wird Tibor Ivanisevic für VfL Gummersbach im Tor stehen.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,1,0,0,0
50:46:00,33:33:00,Tor! Sime Ivic (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 33:33.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,1,0,0,0
50:25:00,,Julian Köster (VfL Gummersbach) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,1,0,0,1
50:16:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:10:00,33:32:00,"Neuer Spielstand in Gummersbach, 33:32 durch den Treffer 6M von Marino Maric für SC DHfK Leipzig.",VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,0,0,0
49:40:00,,Zeitstrafe vorbei SC DHfK Leipzig,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,1,0,0
49:28:00,,Parade von Torwart Fabian Norsten (VfL Gummersbach).,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,1,0,0
49:19:00,,Überragende Parade des Torwarts Fabian Norsten (VfL Gummersbach)! Oskar Sunnefeldt kann den Ball nicht im Tor unterbringen!,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,1,0,0
48:47:00,,Ellidi Snaer Vidarsson von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,1,0,0
47:55:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,VfL Gummersbach,SC DHfK Leipzig,0,0,0,1,0,1,0,0
47:50:00,,Zeitstrafe vorbei SC DHfK Leipzig,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,1,0,0
47:45:00,,Kristian Sæverås (SC DHfK Leipzig) bleibt Sieger im 7-Meter-Duell gegen Dominik Mappes (VfL Gummersbach).,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,1,0,0
47:39:00,,Maciej Gebala geht den Gegner zu stark an. SC DHfK Leipzig muss nun die nächsten zwei Minuten mit einem Spieler weniger ...,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,1,1,0
47:05:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,VfL Gummersbach,SC DHfK Leipzig,0,0,0,1,0,1,0,0
46:55:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,VfL Gummersbach,SC DHfK Leipzig,0,0,0,0,0,1,0,0
