,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:49:00,,Mike Jensen (SC Magdeburg) hält den Wurf von Tilen Kodrin.,VfL Gummersbach,SC Magdeburg,0,0,0,0,0,0,0,0
2,59:40:00,28:30:00,"Tor von der 7-Meter Linie von Omar Ingi Magnusson (SC Magdeburg), neuer Spielstand",VfL Gummersbach,SC Magdeburg,0,0,0,0,0,0,0,0
3,59:01:00,28:29:00,Dominik Mappes (VfL Gummersbach) trifft von (RM/fern). Neuer Spielstand in SCHWALBE arena: 28:29.,VfL Gummersbach,SC Magdeburg,0,0,0,0,0,0,0,0
4,58:47:00,,Auszeit VfL Gummersbach,VfL Gummersbach,SC Magdeburg,1,0,0,0,0,0,0,0
5,58:47:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,SC Magdeburg,0,0,1,0,0,0,0,0
6,58:47:00,27:29:00,Tor (LA)! Lukas Mertens (SC Magdeburg) netzt ein zum neuen Spielstand von 27:29.,VfL Gummersbach,SC Magdeburg,0,0,0,0,0,0,0,0
7,58:11:00,,"Chance für Tom Jansen (VfL Gummersbach), er trifft aber nur den Pfosten.",VfL Gummersbach,SC Magdeburg,0,0,0,0,0,0,0,0
8,57:38:00,,"Der Torwart von VfL Gummersbach, Tibor Ivanisevic hält den Wurf von Gisli Thorgeir Kristjansson.",VfL Gummersbach,SC Magdeburg,0,0,0,0,0,0,0,0
9,57:11:00,,Torwartwechsel bei VfL Gummersbach. Tibor Ivanisevic kommt für Fabian Norsten.,VfL Gummersbach,SC Magdeburg,0,0,0,0,0,0,0,0
10,56:52:00,,"Block von Daniel Pettersson, der den Torwurf von Julian Köster verhindert.",VfL Gummersbach,SC Magdeburg,0,0,0,0,0,0,0,0
11,56:50:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,SC Magdeburg,0,0,0,0,1,0,0,0
12,56:19:00,27:28:00,Tor! Omar Ingi Magnusson (SC Magdeburg) netzt ein zum neuen Spielstand von 27:28.,VfL Gummersbach,SC Magdeburg,0,0,0,0,1,0,0,0
13,56:16:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,SC Magdeburg,0,0,1,0,1,0,0,0
14,55:23:00,,Mike Jensen (SC Magdeburg) hält den Wurf von Ellidi Snaer Vidarsson.,VfL Gummersbach,SC Magdeburg,0,0,0,0,1,0,0,0
15,54:49:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,SC Magdeburg,0,0,1,0,1,0,0,0
16,54:47:00,,Zupanovic/Thone verwarnen Bennet Wiegert (SC Magdeburg) mit einer Gelben Karte.,VfL Gummersbach,SC Magdeburg,0,0,0,0,1,0,0,0
